tgrep.id,entire.sentence,Numeral.x,Numeral.y,Resolved
165394:22,do you have a two income family or one income.,num,nonum,num
93711:49,"""you may meet people, you know, thirty years older than you, or younger,""",num,nonum,num
106986:61,"""and we intend to replace our other one with a much newer car in the next couple of years, or next year probA-Bly.""",num,nonum,nonum
89425:17,"""and, the first five minutes or ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,""",nonum,num,num
28108:116,"""because if, if i had been allowed to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time, if there was, if there had been some way to work it out,""",num,nonum,nonum
22409:25,"""and, uh, i have caught one or two small sharks""",num,nonum,num
126265:70,"""well, it, it, it usually takes me A-Bout probA-Bly two, two or three to get it there""",num,nonum,num
96679:72,"""so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class.""",num,nonum,nonum
136821:73,"""you wonder if they're, it's really worth it to pay, uh, thirty-five dollars or forty dollars just to get in.""",nonum,num,num
117171:43,"""well, i don't know if we've talked our full three minutes or not.""",num,nonum,nonum
75373:37,"""and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing.""",nonum,num,num
118989:29,"""that must have been at least fifty years ago or more,""",num,nonum,nonum
49162:40,"""they were expecting an influx of something on the order of fifty thousand people or more from the navy,""",num,nonum,nonum
92173:38,"""have you, have you done this repetitively, or just once.""",num,nonum,nonum
78681:73,"""and he, uh, would like to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there, and just, you know, not, be settled anywhere,""",num,nonum,nonum
54761:52,"""it was on one of the networks, i think last weekend. uh, or two weeks ago.""",num,nonum,num
46012:28,"""i can't remember whether we played three or four quarterbacks,""",nonum,num,num
20453:61,"""and it will, if have you a thirty year note, it will take like seven or plus years off of your note.""",num,nonum,nonum
86671:25,"""actually i paid A-Bout either a thousand dollars or a little bit,""",num,nonum,nonum
170074:84,"""and it, that i, i don't know if i ever went as far as three months or not i-, i-, in keeping that kind of data.""",num,nonum,nonum
130040:62,"""well, i found out after washing out many a peanut butter jar that they're not a recycling number one or two.""",nonum,num,num
54645:43,"""you see it for, uh, you know a couple of hours or an hour""",num,nonum,nonum
109764:99,"""oh, when we first were, were here, it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full,""",num,nonum,num
123645:19,"""well, for the past week or two it's been cold and wet""",num,nonum,num
83940:43,"""i, i figured maybe i'd get one or two years out of it,""",nonum,num,num
157511:153,"""well, the, the one thing that i know does seem to happen from people i've talked toc on this, is that in the situation you just said where it's nine to three, or some such number, that there's, an effect starts being that there's starts being a lot of peer pressure going on""",num,nonum,nonum
130589:20,and i went to a vineyard or two in germany.,num,nonum,num
100890:40,"""and it, it seems in the last decade or two, um, that's true,""",num,nonum,num
93126:89,"""and i thought what are you complaining A-Boute, when you're only goingd to get picked up once a month, you know, or once a week""",num,nonum,num
13410:53,"""--n40098f being a professional and, of course, you probA-Bly belong to one or more professional organizations,""",num,nonum,nonum
15207:70,"""well, it sounded like, i mean, this is like major long term commitment, like a year or six months,""",num,nonum,num
123561:35,i've never been a big saints fan until the last year or two,num,nonum,num
37011:85,"""but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power,""",num,nonum,nonum
57651:59,"""i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that were not gas guzzlers""",num,nonum,nonum
163492:87,"""when i, when i see that money taken out of my paycheck each, each week, i, or each, every other week, i, i really think that money's history""",num,nonum,num
47691:24,"""and, i mean, mumblex four or more children are thin,""",num,nonum,nonum
1502:41,"""i would just take her the actual paperwork once, uh, every week or two,""",num,nonum,num
152148:57,"""i mean, the examinations and, and, uh, checkups every year, or every six months are free""",num,nonum,num
89978:92,"""and, and, uh, my father bought this, uh, my stepfather bought this thinking of a time when one or the other of them might need caree""",num,nonum,nonum
71322:10,"""in germany or in, in england in some cases people in my income level, at least, allege that they pay up to six-, fifty-five percent of their gross income in taxes.""",num,nonum,nonum
138826:8,two or three years in with them you can start buying stock,num,nonum,num
104819:118,"""--ing seems to be a, a topic that's going to probA-Bly take A-Bout a generation to, uh, catch on, it seems, or maybe a generation to two.""",num,nonum,num
74729:93,"""and it was A-Bsolutely clear that if you could get your book adopted by texas, then you had a built-in market because there were only A-Bout three or four textbooks in each subject""",num,nonum,num
22753:43,"""and then i was fi-, fished for another half hour or forty-five minutes, caught a few white fish and so forth,""",num,nonum,num
60210:34,"""then i would do it, you know, everyday or two days so i would clean that pan very, very rarely,""",num,nonum,num
