tgrep.id,entire.sentence,Disjunct_individuation.x,Disjunct_individuation.y,Resolved
174254:56,"""i wonder, i wonder how, how the civil system or the court system must differ between there and say where i am in minneapolis.""",same,different,same
16299:25,"""you have to cut each thing or, you know, use the melon baller and stuff""",different,same,same
90213:76,"""he was, used to be a reporter for, uh, i think, the new york times, or the washington post, one of the two,""",different,same,same
174875:45,"""then do they give you like one ch-, one more chance or two more chances.""",same,different,same
106986:61,"""and we intend to replace our other one with a much newer car in the next couple of years, or next year probA-Bly.""",same,different,different
33856:25,i try to go real late or real early before they get there.,same,different,different
59713:207,"""what is happening at least in this state and i expect to see it in other states very soon, legislation been introduced as that, if a citizen of the state, being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon on me at all times concealed or uncon-, unconcealed.""",different,same,same
170155:23,do you work for a big or a little place.,same,different,different
28108:116,"""because if, if i had been allowed to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time, if there was, if there had been some way to work it out,""",same,different,same
147025:20,we're wearing something lightweight or no jacket because we're so used to running around like that.,different,same,same
50849:39,i don't know if it's a government run or if it's a private charity that's put it together.,same,different,different
89972:27,have you looked at any homes for them or talked to them A-Bout that.,different,same,different
6435:41,"""i don't even remember if it was in the dallasite or the insite one, A-Bout uh, companies allowing you,""",different,same,different
101976:15,"""you can use chicken or turkey,""",same,different,same
118023:57,"""and i told my husband, i said, you know, it's either me or the dog,""",same,different,different
38195:38,"""so, uh, does your husband ever use, uh, a laptop or a notebook.""",different,same,same
128452:34,"""within reason, you know, you can lose weight or maintain your weight and your physical being""",different,same,same
2067:114,"""and i made a lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over or under for each month""",different,same,same
174455:39,"""the only commitments that they're interested inb making or even talking A-Boutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,""",same,different,same
148616:32,"""uh, i haven't done any of the oil or watercolor.""",different,same,different
133422:57,"""um, and the, the severity of the deficit picture already limits the options availA-Ble or limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term.""",different,same,same
112347:54,"""now, my kids didn't like it because they just wanted to get plain old spaghetti or lasagna,""",different,same,same
91686:57,"""when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,""",different,same,same
12033:60,"""i mean, what do you think we can, uh, i guess as individuals or as a group, do A-Bout, uh, air pollution..""",different,same,different
