Item_ID,Sentence,SpeechAct,Connective,LeftString,RightString,LeftDisjunct,RightDisjunct,GoodLeftDisjunct,GoodRightDisjunct,ConstituentType,ExplicitImplicature,ExplicitImplicatureGrammatical,CanReplaceOrWithAnd,ImplicatureArises,ImplicatureIsPoint,WorldKnowledgeImplicature,SpeakerBelievesOneDisjunctTrue,SimilarityOfDisjuncts,SentenceType,UncertainRightString,EitherPresent,ThreeDisjuncts,Notes,JudithNotes
165073:37,it probably won't start --n402683 really showing up until ninety-four or so.,Hedge,NA,ninety-four,so,it probably won't start really showing up until ninety-four,it probably won't start really showing up until so.,yes,no,Num,"it probably won't start really showing up until ninety-four or so, but not both.",no,no,NA,NA,NA,no,none,declarative,yes,no,,New speech act introduced,"Implicature can't arise because alternative with explicit ""but not both"" is nonsensical/ungrammatical"
168855:104,"i mean i've heard of things like, you know, making them, you know, marking them somehow or, you know, or something like that or, you know, putting them all someplace like in a kind of,",Hedge,,,,,,,,,,,,,,,,,,,no,,,
49399:23,"but for example, a curriculum supervisor or principal or someone, you know, in that, uh, in that range.",Hedge,NA,a curriculum supervisor,principal,"but for example, a curriculum supervisor","but for example, a principal",no,no,NP,"but for example, a curriculum supervisor or principal or someone, but not both, you know, in that, uh, in that range.",no,no,NA,NA,,,,,no,no,X,3 disjuncts,
153361:37,"so. well, uh, did you hear about that killeen massacre or whatever.",Hedge,NA,that killeen massacre,whatever,"so. well, uh, did you hear about that killeen massacre","so. well, uh, did you hear about whatever.",yes,no,NP,"so. well, uh, did you hear about that killeen massacre or whatever, but not both",no,no,NA,NA,NA,no,none,interrogative,yes,no,,,
117982:68,"and there's nothing you could say --n400aac bad about him, except that i was more of a cat or a small dog --n400af3 person that you could sit --n400b0e in the chair and cuddle --n400b29.",Description,IOR,a cat,a small dog,"and there's nothing you could say bad about him, except that i was more of a cat person that you could sit in the chair and cuddle.","and there's nothing you could say bad about him, except that i was more of a small dog person that you could sit in the chair and cuddle.",yes,yes,modifier NP,"and there's nothing you could say bad about him, except that i was more of a cat or a small dog person, but not both, that you could sit in the chair and cuddle.",yes,no,no,NA,NA,no,similar,declarative,no,no,,,Implicature doesn't arise because the speaker intends to convey that they prefer small pets (like cats and small dogs)
93867:26,"but if it's like a social activity or a recreational activity, i don't mind",Description,IOR,a social activity,a recreational activity,"but if it's like a social activity, i don't mind","but if it's like a recreational activity, i don't mind",yes,yes,NP,"but if it's like a social activity or a recreational activity, but not both, i don't mind",yes,no,no,NA,NA,no,similar,declarative,no,no,,,
136617:59,"well, if you're kind of a person that --n40229c likes things, you know, organized or neat",Description,AND,organized,neat,"well, if you're kind of a person that --n40229c likes things, you know, organized","well, if you're kind of a person that --n40229c likes things, you know, neat",no,no,Adj,"well, if you're kind of a person that --n40229c likes things, you know, organized or neat, but not both",yes,yes,no,NA,NA,no,synonym,declarative,no,no,,,
23901:7,sole or flounder is real good.,Repetition/Repair,AND?,sole,flounder,sole is real good.,flounder is real good.,yes,yes,NP,"sole or flounder, but not both, is real good.",yes?,yes?,no,NA,NA,both,synonym,declarative,no,no,,"New speech act introduced. This is a strange case -- using ""or"" to introduce a second way to say the same thing",Implicature doesn't arise because the speaker intends to convey that they like fish like sole and flounder
121161:13,"two years ago, or last christmas",Fragment,,,,,,no,no,,,,,,,,,,,,no,,,
129463:13,but no big mountains or anything.,Fragment,,,,,,no,no,,,,,,,,,,,,no,,,
80446:12,are you married or anything.,Hedge,NA,married,anything,are you married,are you anything.,yes,no,Adj,"are you married or anything, but not both",no,no,NA,NA,NA,no,none,interrogative,yes,no,,,
132536:65,"i remember every time, it seems like, we turned around --n400d22, they're adding another nickel or a few more cents onto the price of gasoline.",Description,XOR,another nickel,a few more cents,"i remember every time, it seems like, we turned around --n400d22, they're adding another nickel onto the price of gasoline.","i remember every time, it seems like, we turned around --n400d22, they're adding a few more cents onto the price of gasoline.",yes,yes,NP,"i remember every time, it seems like, we turned around --n400d22, they're adding another nickel or a few more cents, but not both, onto the price of gasoline.",yes,no,yes?,no,yes,yes,LER,declarative,no,no,,Right conjunct is a little more uncertain though,
167686:53,"it was a, a, it's a more or less a suburban school system.",Idiom,XOR,more,less,"it was a, a, it's a more a suburban school system.","it was a, a, it's a less a suburban school system.",no,no,Adj,"it was a, a, it's a more or less, but not both, a suburban school system.",no,no,NA,NA,,,,,no,no,,New speech act introduced,
44700:145,"like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, break something or rip up the carpet or do something just to, uh, to, to let me know that she was unhappy with what i did --n4048ee.",Description,IOR,break something,rip up the carpet,"like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, break something or do something just to, uh, to, to let me know that she was unhappy with what i did --n4048ee.","like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, rip up the carpet or do something just to, uh, to, to let me know that she was unhappy with what i did --n4048ee.",yes,yes,VP,"like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, break something or rip up the carpet, but not both, or do something just to, uh, to, to let me know that she was unhappy with what i did --n4048ee.",yes,no,yes?,no,,,,,no,no,X,3 disjuncts,
