Item_ID	Sentence	sentence_butNotBoth	sentence_and	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head	context
362:41	that's just a matter of defining priorities, i guess or some priorities anyway.	that's just a matter of defining priorities, i guess or some priorities anyway, but not both.	that's just a matter of defining priandities, i guess and some priandities anyway.	yes	yes	no	no	no	no	no	no	yes	S	###that would, certainly help.###speakera159t159.###i mean, i mean we may not, we may not have as high a standard of living###speakerb160t159.###speakerb162t162.###uh-huh.###speakera163t163.### but the qua-, but actually have a truer standard of living.###speakerb164t164.###right.
737:58	they've got, uh, they've got a couple of kids, ten or twelve years old,	they've got, uh, they've got a couple of kids, ten or twelve years old, but not both.	they've got, uh, they've got a couple of kids, ten and twelve years old,	yes	yes	no	no	no	yes	no	no	yes	S	###he's a movie critic on channel eight in dallas.###speakerb44t44.###yeah.###speakera45t45.###and he does, uh, he has a talk show on the, k l i f.###anyway, it's on from seven to nine, or something.### and, and, and people call in###and it's,###if you keep up with movies, it's kind of interesting.###there's a certain a mount of dribble that they do --n402b49.
766:47	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy, but not both.	and whether it, whether it won all kinds of awards and whether it just was okay at the box office, i think he would have been happy.	yes	yes	no	no	no	no	no	no	yes	S	###or did he just do it.###speakerb50t50.### i think that, i think he really,###his heart was in it,###but i, i don't think he really knew it was going --n40371e to be as big as it was.###i think it was something that he really wanted --n40387f to do --n40388e.###he wanted --n40394c to direct it,###he wanted --n4039b6 to, to star in it.###you know, he, he enjoyed the story line###and i think he just really w-, he really wanted it.
886:75	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab, but not both.	uh, and at the same time i think that i receive on, on the andder of, uh, probably, seven and eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.	yes	yes	no	no	no	yes	no	no	yes	S	###and it was sort of exciting###and so, that was almost an example of s-, an invasion that --n400ec8 turns out --n400ed7 to be not invasive.###speakera5t5.###uh-huh.###speakerb6t5.###speakera7t7.###right,###it turned out --n401022 to be, uh, uh, an invitation.###speakerb8t8.###exactly.
961:38	uh, i guess it comes from a sense of fact or facts	uh, i guess it comes from a sense of fact or facts, but not both.	uh, i guess it comes from a sense of fact and facts	yes	yes	no	no	no	no	no	no	yes	S	###speakerb34t34.###but i don't feel invaded by it.###speakera35t35.###uh-huh,###speakerb36t36.###i don't, have a sense of threat --n403625 in general from those sorts of things,###speakera37t37.###uh-huh.###speakerb38t38.###i'm not sure why.
967:82	um, the, the other side of that might be if, if someone found out something --n403a7d or surmised something --n403a90 that --n403a9b weren't true then i would feel probably more invaded in the gossipy sort of sense.	um, the, the other side of that might be if, if someone found out something --n403a7d or surmised something --n403a90 that --n403a9b weren't true then i would feel probably more invaded in the gossipy sort of sense, but not both.	um, the, the other side of that might be if, if someone found out something --n403a7d and surmised something --n403a90 that --n403a9b weren't true then i would feel probably mande invaded in the gossipy sandt of sense.	yes	yes	no	no	no	no	no	no	yes	S	###speakera37t37.###uh-huh.###speakerb38t38.###i'm not sure why.###uh, i guess it comes from a sense of fact or facts###and if someone finds out something about me that --n403830 is true, i, i don't have a sense of loss from that.###speakera39t39.###uh-huh.###well, you must have a relatively clean conscience then.###speakerb40t40.
1036:63	and i guess that turns out --n405829 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it	and i guess that turns out --n405829 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it, but not both.	and i guess that turns out --n405829 to be the basic problem with any invasion of privacy is whether and not you're feeling, threatened as a result of, of it	yes	yes	no	no	no	no	no	yes	yes	S	###and they wouldn't bother --n4050c2 to check that carefully anyway to someone who --n4050e9's offering, you know, full cash price, for it.###speakerb64t64.###right.###speakera65t65.###i mean, you know, you can't tell it, what a company really has --n405278 to do --n405287 with it###and there's something rather ominous about having virtually anyone, any hacker being able --n4053bd to know what your income is --n4053dc, what your spending habits are --n4053fb,### and, you know, and, and that hacker just has --n405574 to get in to, in touch with the sneak thief###and suddenly and then what --n4056d8 started as an invasion of privacy can be an invasion of your actual home.###speakerb66t66.###uh-huh.
1131:129	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded --n408a11 on a day-to-day basis or either on a growing frequency --n408a40.	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded --n408a11 on a day-to-day basis or either on a growing frequency --n408a40, but not both.	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded --n408a11 on a day-to-day basis and either on a growing frequency --n408a40.	yes	yes	no	no	no	no	no	no	yes	SQ	###speakera95t95.###because anyone can be alone for some period of time###but for me a lot of what i do --n40857d requires a sense that there's this invisible barrier around me which people wil-, will respect --n4085c8.###speakerb96t96.###yes.###speakera97t97.###and if that's gone, um, i, i really don't know how --n40875f to live --n40876e very well,###and i wonder, i really do wonder how people do that --n408895.###speakerb98t98.###that's interesting.
1147:55	have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list	have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list, but not both.	have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer and somebody going down a list	yes	yes	no	no	no	no	yes	no	yes	SQ	###speakerb100t100.###okay.###speakera101t101.###because i, any, anyone, any friend, anyone i give my number to --n40918b is welcome --n40919a to call me,###but no one is just welcome --n40930d to come by my house.###so that is more of a sense of invasion.###speakerb102t102.###so, that's another example of the invasion because of the not so...###speakera103t102.###speakera1t1.
1200:36	but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.	but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them, but not both.	but if they're going --n40168b to offer these services, and these recandded message, everything, they ought --n4016ca to be stuck --n4016dd wandking with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers fand this certain area code and call them.	yes	yes	no	no	no	no	no	no	yes	S	###speakerb12t12.###uh-huh.###speakera13t13.###we've got a thing in this country,###you can have your phone number unlisted,###speakerb14t14.###uh-huh.###speakera15t15.###and i think a law should be passed --n40147b to where any of these people,###i think it --n401557's great, that you know, freedom of speech in this country and everything,
