TGrepID	EntireSentence	context	BestResponse
143183:27	it sounds like we've been to some of the same places.	###yeah,###my cousin came over while i was there,###and she came to cameroon###and then she went over to nairobi and took a safari around you know, close to nairobi in kenya.###.###uh-huh.###.###.###oh how neat.###.###so, she'd always dreamed of --n404703 doing that too.###.###yeah,###that's great.###.###so. yeah.###so is there any place you would try --n40482c to talk me into --n404843 going to --n404852.###.###uh.###.	it sounds like we've been to all of the same places.
159146:13	you know some of the health insurance is written --n401659 that way. you know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much	###right.###.###you know, they're not going --n400e74 to sit there and lose money.###if they are losing money, then they're going --n400f52 to raise rates.###.###right.### th-, they ha-,###.###so it all comes --n40108c filtering down to us all in-, individually.###.###right.###.###and, uh, granted some people need --n4011a0 to be compensated --n4011b3 if they have really been wronged --n4011d2, you know.###.###well, how do you feel --n4012e8 about setting, like, well, for example, a car type accident where, uh, or some incident where someone loses a limb --n40135b.###.###.###do you think the jury should have a dollar figure for losing an arm, a dollar figure for losing different body parts.###.###i don't know.	you know all of the health insurance is written --n401659 that way. you know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much
4529:7	and some of them were disastrous	###yeah,###the more money they put --n405f66 into it.###.###yeah.###and,###.###i can see that.###and, cause, i,###knowing###from institutes of learning like that, i know that they've got --n4060ef to get their money somewhere,###and somebody's got --n4061e4 to be willing to pay for it, and believe in it,###so,###.###yeah,###yeah.###exactly.###and, part of it is california, you know, in, back in the sixties, had a lot of alternative movements###.###.###and some of them fizzled out	and all of them were disastrous
53913:6	and some kids need --n407fa0 to be spanked --n407fb3 at home.	### we've been too long, there's been too much negative reinforcement.###how much, da-, like, the caught --n407283 being good slips.###how about, just the john q citizen out there on the street.###.###yeah,###well that's true.### i think, i think, really though, i mean, that's one thing that##, i mean, my kids definitely get spanked --n40757d when they need they need --n407598 to be spanked --n4075ab --n4075b2.###but i really do try --n4076d0 to use positive, uh, reinforcement with them at home, also.###and it really helps.###and i mean, they, they don't get spanked --n40781e very often,###but they, they do when they deserve it --n4078f1, you know.###but, uh, i don't think any kid should be exempt from --n4079ef being spanked --n4079fe.###i mean, i, i think i wouldn't mind if a teacher spanked my child.###but, you know, that's just my personal opinion,###and that's not going --n407c6d to,###i mean, i don't think that law will ever change.###they are never going --n407d94 to let a, a teacher spank a child again.###but i don't think,###i mean, some kids don't get don't get spanked --n407ef4 at home	and all kids need --n407fa0 to be spanked --n407fb3 at home.
56842:9	uh, some countries voting is obligatory.	###.###i do t-,###.###i think our elected officials say they are speaking for us###but they're not speaking for me.###.###uh-huh,###uh-huh.###yeah,###i wouldn't mind --n40264a having, oh, more votes than i get --n402675 to have, frankly.###.###that's true.###.###anyone who --n402793 doesn't vote, it's fine with me as long as i can have their vote.###.###.###that would make me happy though.###maybe not in a, in a deep philosophical sense, but in a selfish sense, it probably would.###i don't know,###it's interesting,	uh, all countries voting is obligatory.
118734:78	and, um, i think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems.	###.###i know.###.###but the school system's afraid of --n401043 getting sued --n401052 and, um, all sorts of lawsuits i'm sure --n401089 because of things like that.###.###uh-huh.###.###.###yeah,###yeah.###.###and, i also believe we don't, even though i feel like i pay a good share towards the school system, that the teachers are still underpaid###and we still don't have enough money towards put in toward public school.###.###uh-huh,###uh-huh.###.###.###uh-huh.###.	and, um, i think that if we had enough money and paid the teachers a little bit more, that maybe that could solve all of our problems.
77398:5	some of the people that i work with --n402278 they, like when i worked on second shift --n4022ab, um, their paren-, their kids go to school during the day	### i don't, i don't have that choice.###.###yeah,###same here.###.###um, i have --n401ae8 to be at work at, at x hour, you know, at just, at, at a certain hour###and i can't, it's not flexible.###.###yeah.###.###um, it, it --n401d89 would be nice to be able --n401dac to have flexible hours### and, and maybe after we decide --n401eba to have kids i, i might find a job that --n401eed has flexible hours.### i woul-, i hope so anyway.###um, but i would, i don't know.###.###at t i, is that where you work --n402175.###.###uh-huh.###.###it's really kind of sad,	all of the people that i work with --n402278 they, like when i worked on second shift --n4022ab, um, their paren-, their kids go to school during the day
9970:53	when they give you the freedom to take care of yourself --n401cf6 then that puts some responsibility on you as well.	###and it's,###you can't eat money.###.###and they have, a, a problem, their, their whole attitude, uh,### i, i'm not sure which crop it was --n401314,###but they had a crop that --n4013c4 rotted in the fields because they couldn't get anyone to harvest it.###.###yeah.###.###and the people in the city were saying, well why should i go --n40151e do that --n40152d.### make the government do that,###that's not my job.###.###right,###they've got a lot of adjustments to make --n4016cc with --n4016d7 coming out of what they've been through --n4016fe now,###and, uh, they've been, they've been under, under the oppression that they've been under --n401878 for so long that now they have some freedoms###but they don't know how to act yet --n401a31.###they don't understand that to make that work, they've got --n401ae6 to take some responsibility for themselves.###it's not just the government's responsibility anymore.###you can't just blame it on the government	when they give you the freedom to take care of yourself --n401cf6 then that puts all responsibility on you as well.
100889:88	and maybe, uh, maybe this would be a way to get that feeling back --n402f62. um, if we've lost some of that	###.###.###gosh,###i hadn't even thought about it being out of the area###but you're right.###yeah.###i grew up in a real small town in florida.###.###oh.###.###i mean a real small town.###and, uh, i think it was just mumblex,###of course it was back in the, in the fifties###and i think it was real prevalent back then.### i mumblex, i think people thought more --n402cd1 of others than they do now. you know, as far as --n402d0c doing things for them and, and then gaining benefits from it.###.###yeah.###.###.###well,	and maybe, uh, maybe this would be a way to get that feeling back --n402f62. um, if we've lost all of that
44033:5	some of the home builders are,	###right now our house doesn't have --n40116c to have the same kind of exterior painting there,###it's more trim because it has some of the old asbestos shingles, on the back and there's some sort of stone or something in the front###.###uh-huh.###.###so there isn't as much wood that --n4013d8 has --n4013e3 to be painted --n4013f6.###um, but, i-, it,###the problem is that it hits, the sun hits it.###so preparing is a real problem,###.###uh-huh.###.###you've got --n40165d to prepare it well###or else it will flake.###.###uh-huh.###.###um,###.###here they,	all of the home builders are,
