TGrepID	EntireSentence	context	BestResponse
1177:17	i've even had some of them,	###.###that was the big one i'm talking about --n400555.###i work weird hours,###and invariably just about the time, i'm going --n400645 to sleep --n400654, the phone tears off the wall.###.###uh-huh,###uh-huh.###.###and you are trying --n400782 to crawl out of a half unconscious sleep and answer the phone,### you either hear, the cli-, as soon as you say hello, you hear the click of the recording coming on,###.###uh-huh.###.###or you hear somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already.###.###that's true,###or the ones that --n400b78 are, are generated --n400b8f by a computer.###it's just a computer voice that --n400c61 comes on the line.###those are the ones that i really, really hate --n400d1f too.###.	i've even had all of them,
1206:10	and then some of them are speaking in a foreign language that i don't even understand --n401aa7.	###and i go through them###and most of them aren't from anybody at all.###.###what i would love --n401258 to see --n401267 done to stop all of this,###.###uh-huh.###.###we've got a thing in this country,###you can have your phone number unlisted,###.###uh-huh.###.###and i think a law should be passed --n40147b to where any of these people,###i think it --n401557's great, that you know, freedom of speech in this country and everything,###but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.###.###uh-huh,###yes,###see i have an unlisted telephone number,###but i still get all of those calls	and then all of them are speaking in a foreign language that i don't even understand --n401aa7.
1214:19	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.	###you can have your phone number unlisted,###.###uh-huh.###.###and i think a law should be passed --n40147b to where any of these people,###i think it --n401557's great, that you know, freedom of speech in this country and everything,###but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.###.###uh-huh,###yes,###see i have an unlisted telephone number,###but i still get all of those calls###and then some of them are speaking in a foreign language that i don't even understand --n401aa7.###so, yeah,###i do,###i really feel that's, uh, an invasion of my privacy.###i agree with you on that particular subject there.### let me see.###.###that's about, that as far as any other everyday occurrences,	i put a stop to all of them as far as the door to door, either religious groups, or people peddling products.
2180:39	so we have, both of us have some money in an i r a that we're also trying --n40381f to figure --n40382e,	###.###uh-huh.###.###so, we don't have any long term, you know, in stocks, or anything like that right now,###so.###.###yeah,###mostly what we're doing, we've worked, we've done --n403075 the, uh, coda account with t i where they, we put in so much a month --n4030c8,### and then they,###or so much a pay check###and then they match it.###.###yeah,###that's what we're doing --n40338c.###.###so that's, that's worked out pretty good###and then, i used --n4034a8 to work for t i###and i have,###when i retired from there, or left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a###and we had an out, we had an existing i r a	so we have, both of us have all money in an i r a that we're also trying --n40381f to figure --n40382e,
2345:39	i, uh, have attended some seminars that --n402d8c had some tapes that --n402da3 went with them, but, uh, i guess not so much books although they sometimes have manuals and things,	###.###right.###.###um, every now and then i'm loaned --n402668 a tape i can stick --n402687 in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which --n40276a all, you know, betters yourself.###.###yeah.###.###.###yeah,###yeah,###well, uh, maybe i am into some things --n402ab3 occasionally that i don't think of --n402ad6 in terms of self improvement.###.###uh-huh.###.###i mean they are###but i don't label it as such.###.###like what for example.###.###well, i don't know, um,	i, uh, have attended some seminars that --n402d8c had all tapes that --n402da3 went with them, but, uh, i guess not so much books although they sometimes have manuals and things,
2454:46	and where we are --n4008ca now, what we're doing --n4008e9 is some very big lawsuits that --n400908 happen --n400913 to have a heck of a lot of boxes of documents.	###.###bye-bye.###.###.###okay, um,###i don't know about you###but where i am --n4000aa we have a like an extremely lax dress policy at work###and it varies like every day. i mean from jeans one day to business suits the next.###.###.###it's pretty bad,###but it's true, you know,###they tend --n40032a to try --n400339 to be, you know, real lax###and supposedly the policy is like, you know, we, you know, we, hire these wonderful creative people###and we don't want --n400531 to smush their creativity, you know.###we want --n4005de to go ahead and let them do what ever they want --n400611.###and, you know, you really will see people in in jeans one day and business suits the next.###.###well, i'm kind of that way too.###i work in the legal department	and where we are --n4008ca now, what we're doing --n4008e9 is all very big lawsuits that --n400908 happen --n400913 to have a heck of a lot of boxes of documents.
2767:14	i've done some of the other speech programs,	###or it would me, you know.###.###it's one of those slippery attorneys coming in here.###.###yeah,###yeah,### look at this slick guy,###i wonder what kind of money does he make --n409055,###uh-huh.###.###.###i can see it now.###well it --n409145 was good to talk to you.###it was really enjoyable.###.###yeah,### this is, this is kind of a fun project.###.###it really is.###.	i've done all of the other speech programs,
3297:34	that's, that's what some people call like --n4025d2 really heavy metal.	###.###and they just bump into each other,###.###uh-huh.###.### like, like they hit each other with their shoulders,###.###uh-huh.###.###and, then, you knock people down,###and what you do --n40223b is, you also try --n40225a to get up on stage and jump down on top of all these other people.###.###is that the kind of music that you like --n4023c7.###.###no,###i don't like that music.###.###oh, okay.###.###but, that's, that's what they do --n40250c.	that's, that's what all people call like --n4025d2 really heavy metal.
3878:16	well i've gotten some good ideas from you.	###and then all the, the, the rides are free.###you know, of course, they have all the little video games and, you know, those little quarter rides, you know, --n40481e to, and stuff like that###but, they thought that was lot of fun.###.###yeah.###.###you can have birthday parties there###an, i think that was better than like showbiz pizza cause there's more for them to do --n404ac0.###.###because they can just do,###you don't have --n404c1a to have tokens for everything.###.###yeah,###right.###.###yeah.###.###so they had a lot of fun.###.###that does sound like fun.	well i've gotten all good ideas from you.
4008:21	he did, well, in some of the later movies	###i used --n4011fc to like him too,###he was my hero.###in fact, i like sean connery to this day.###.###well, they're showing uh, live and let die at this moment,###.###yeah.###.###and, it is the first appearance of roger moore as double oh seven.###.###yeah.###.###so,###.###oh, he can never cut it.###.###no,###no###that's true.###i was just thinking that today,	he did, well, in all of the later movies
