TGrepID	EntireSentence	context	BestResponse
169940:25	there's nothing, maybe a picture or two that belongs to that person	###Yeah . E_S ###I 'll tell you one thing -N4037E7 -N4037EE though \[ that -N403805 'll , \+ that , \] \+ that \] \[ I , \+ I \] saw -N403840 that -N40384B was really nice . E_S ###We saw a husband and wife , E_S ###we used -N403A21 to see a husband and wife in there , uh , together E_S ###and they were in the same room which not all husband and wives were -N403B0B E_S ###but these two were -NONE- . E_S ###SpeakerB31*t31 . ###Uh-huh . E_S ###SpeakerA32*t32 . ###And when you walked into their room -N403C0B , they had brought all their furniture from their house E_S ###SpeakerB33*t33 . ###Uh-huh . E_S ###So it gives them a sense of identity . E_S ###SpeakerA34*t34 . ###And so , E_S ###SpeakerB35*t34 . ###SpeakerA36*t36 . ###Yeah , E_S ###you walked in there E_S ###and it did n't look like , uh , you know , how , \[ yo- , \+ you , \] \+ you \] walk into some rooms -N403E58 and \[ there 's , \+ it 's \] completely generic . E_S 	there's nothing, maybe a picture or two but not both that  belongs to that person
154689:23	i only do it probably two or three times a week.	###SpeakerA13*t13 . ###Yes . E_S ###SpeakerB14*t14 . ###It 's , uh , you know , a national company E_S ###and we have a jazzercise center -N4007EB here in Plano that -N400802 has classes like all day long E_S ###so you can , E_S ###SpeakerA15*t15 . ###Are they different from aerobics E_S ###or is it the same thing . E_S ###SpeakerB16*t16 . ###No E_S ###\[ it 's really , \+ it 's \] an aerobic routine . E_S ###\[ Yo- , \+ you \] warm up E_S ###and then you have thirty minutes of aerobic activity -N400AD3 starting , you know , slowly and then working up to , uh , you know , a high heart rate E_S ###and then you gradually go down again . E_S ###SpeakerA17*t17 . ###And you do that every day E_S ###or , E_S ###SpeakerB18*t18 . ###No , E_S 	i only do it probably two or three times a week but not both.
117429:39	so you're all back to the safety catches and the whole nine yards or either watching them every minute.	###SpeakerA91*t91 . ###And little boys are around the house a whole lot more than girls . E_S ###SpeakerB92*t92 . ###A whole new world . E_S ###SpeakerA93*t92 . ###SpeakerB94*t94 . ###Uh-huh . E_S ###SpeakerA95*t95 . ###And , uh , I enjoy them coming , but for short doses . E_S ###SpeakerB96*t96 . ###I can understand . E_S ###SpeakerA97*t97 . ###It feels , E_S ###after they 've been here ten minutes , they have already explored the entire house , E_S ###they know everything . E_S ###SpeakerB98*t98 . ###Uh-huh . E_S ###SpeakerA99*t99 . ###But , they 're fun . E_S ###SpeakerB100*t100 . 	so you're all back to the safety catches and the whole nine yards or either watching them every minute but not both.
95876:34	they haven't ruled on whether they can test them or not.	###SpeakerA98*t98 . ###Right . E_S ###SpeakerB99*t99 . ###so \[ it , \+ I mean , it \] protects us in the long run hopefully when they do that -N404A1C . E_S ###SpeakerA100*t100 . ###Right . E_S ###SpeakerB101*t101 . ###\[ I , \+ I \] was trying -N404B2A to remember , E_S ###there was a court case , uh , here where I live -N404BE2 , just a few months ago . E_S ###The city workers , they wanted -N404CB3 to , um , E_S ###the city government wanted -N404D35 to institute the random drug testing E_S ###SpeakerA102*t102 . ###Uh . E_S ###SpeakerB103*t103 . ###and the city workers , uh , took them to court -N404DF1 to protest , -N404E04 saying that it invaded \[ their , \+ I guess , \[ first a- , \+ \] \[ the , \+ the \] search and seizure amendment E_S ###SpeakerA104*t104 . ###Uh-huh , E_S ###uh-huh . E_S ###SpeakerB105*t105 . ###and it 's still tied -N405025 up in the legal channels . E_S 	they haven't ruled on whether they can test them or not but not both.
171282:127	but i guess, i guess i like the system that they have in some places where the defendant gets to choose whether he's, goes before a jury for sentencing or whether the judge getsb to choose ite.	###SpeakerB20*t19 . ###SpeakerA21*t21 . ###Well if you drag twelve people into a courtroom , I trust them to make the right decision as to whether someone 's guilty or innocent . E_S ###That 's usually a matter of who -NONE- to believe -N402524 and what facts -NONE- to believe -N402543 . E_S ###SpeakerB22*t22 . ###Right . E_S ###SpeakerA23*t23 . ###But people who -N402637 \[ d- , \+ do n't \] have day in and day out life long experience with what prison is really like -N40268A and what the options are -N4026A5 , -NONE- to ask them -N4026C0 to decide for one case , on one person , based on what they see -N402703 , I think -NONE- that is maybe , uh , a little bit naive . E_S ###SpeakerB24*t24 . ###Yeah . E_S ###SpeakerA25*t25 . ###In Texas here , people tend -N4029E8 to get whipped -N4029FB up into a frenzy and slap long sentences on people . E_S ###SpeakerB26*t26 . ###Uh-huh . E_S ###SpeakerA27*t27 . ###Uh , it 's kind of , uh , uh , a hanging jury atmosphere . E_S ###SpeakerB28*t28 . ###Right . E_S ###SpeakerA29*t29 . ###But in a lot of places , I think -NONE- people bend over the other way , E_S 	but i guess, i guess i like the system that they have  in some places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it but not both .
18325:82	have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not.	###SpeakerA65*t65 . ###\[ and \+ \] but \[ I , \+ I , \] \+ I 'm \] amazed because the sun is so intense , E_S ###and the roses just seem -N4042A5 to survive just fine there . E_S ###SpeakerB66*t66 . ###Yeah , E_S ###\[ that 's , we , \+ that 's what we 're \] searching -N404370 , uh , E_S ###\[ we 've got , \+ we 've got \] all the different lake editions around the house E_S ###and \[ we 're , \+ we 're \] kind of experimenting right now . E_S ###SpeakerA67*t67 . ###Uh-huh . E_S ###SpeakerB68*t68 . ###\[ We do , \+ we 've got \] the direct sun in front E_S ###and the backyard has two great big , uh , spruce \[ and , \+ and \] an oak tree all about forty to fifty foot tall E_S ###so the backyard is just complete dark all day long . E_S ###SpeakerA69*t69 . ###Huh . E_S ###SpeakerB70*t70 . ###And , uh , \[ we 're \+ , we 're \] struggling -N40485A to find something for those areas . E_S ###SpeakerA71*t71 . ###Yeah . E_S 	have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not but not both.
25614:31	and you can just mosey on out for three or four hours and have a good time.	###SpeakerA63*t63 . ###Yeah E_S ###SpeakerB64*t63 . ###SpeakerA65*t65 . ###you do n't want -N40404E to go out and get beat -N40406D to death , E_S ###but . E_S ###SpeakerB66*t66 . ###Right , E_S ###\[ and , \+ and \] people do n't want -N404161 to play with somebody that they are going -N404188 to beat -N404197 every time , you know E_S ###SpeakerA67*t67 . ###No . E_S ###SpeakerB68*t68 . ###\[ and , \+ and , \] uh , E_S ###SpeakerA69*t69 . ###And then , you know , we 've got some guys here that -N404375 they are , you know , four and five handicappers E_S ###SpeakerB70*t70 . ###Uh-huh . E_S ###SpeakerA71*t71 . ###and they do n't like -N4044B0 to play with me because I 'm too slow for them , E_S ###\[ so . \+ You know , but \] -NONE- get somebody around your own handicap , E_S 	and you can just mosey on out for three or four hours but not both and have a good time.
175450:86	and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who must know.	###SpeakerB14*t14 . ###Oh . E_S ###SpeakerA15*t15 . ###And MUMBLEx E_S ###SpeakerB16*t16 . ###And \[ it , \+ it \] , E_S ###SpeakerA17*t17 . ###for two years we did n't . \[ And , we , \+ \] which -N4024C1 was \[ a , \+ \] kind of stupid . E_S ###\[ But , \+ uh , but \] our organization is doing something else \[ t- , \+ \] on Monday . E_S ###Uh , \[ we 're having a , \+ for all unclassified programs , \[ we 're , \+ we 're \] having \] little tables put -N40272E up in front of MUMBLEx lab in the hallways E_S ###and \[ every , \+ all \] the other employees are going -N4028D0 to come around and see what sort of things we do -N402903 . Which I thought -NONE- -N40291E was kind of interesting \[ and , \+ But , \] \+ uh , but \] \[ that , \+ that \] \[ sort , \+ sort \] of thing . E_S ###SpeakerB18*t18 . ###Yeah , E_S ###that is interesting . E_S ###SpeakerA19*t18 . ###SpeakerA21*t21 . ###But , \[ if you , \+ I think -NONE- you \] can tolerate a lot of problems if you understand what -N402C68 's going on . E_S ###SpeakerB22*t22 . ###Exactly . E_S ###SpeakerA23*t23 . 	and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who  must know but not both.
119300:32	i'll probably always have a place here in richardson or dallas.	###but , you know , E_S ###SpeakerA11*t11 . ###Oh , but how wonderful . E_S ###Are you close to -N4006B3 getting it done . E_S ###SpeakerB12*t12 . ###Yeah , E_S ###yeah , E_S ###it 's getting real close to E_S ###SpeakerA13*t13 . ###Oh . E_S ###SpeakerB14*t14 . ###you know , of course there 's still a lot of work -NONE- -N400801 to be done -N400814 , E_S ###and then when you get it completely , you know , the shell finished -N400920 , uh , you still have a lot of stuff -NONE- -N400953 to do -N400962 inside , E_S ###but , uh , E_S ###SpeakerA15*t15 . ###Are you going -N400AED to move your whole family over there then . E_S ###SpeakerB16*t16 . ###No , E_S ###actually , uh , I 'm not even sure , E_S ###I may -NONE- , E_S 	i'll probably always have a place here in richardson or dallas but not both.
77664:56	so our whole family, we take family trips to different places to visit fish stores or go to fish shows,	###um . E_S ###SpeakerB19*t19 . ###Yeah , E_S ###I , E_S ###SpeakerA20*t20 . ###we live near Washington , E_S ###so \[ we , \+ we \] would always go in for the museums . E_S ###SpeakerB21*t21 . ###Sure . E_S ###SpeakerA22*t22 . ###That 's always a big , uh , thing . E_S ###And one of my children is , uh , also a musician E_S ###so , um , one of the things that we did -N401631 with him a lot was -NONE- to go , either my husband or I , or both of us would -NONE- , t- , concerts with him . E_S ###SpeakerB23*t23 . ###Uh-huh . E_S ###SpeakerA24*t24 . ###And my other child , um , uh , is \[ in , \+ big into \] tropical fish , E_S ###SpeakerB25*t25 . ###Uh . E_S ###SpeakerA26*t26 . 	so our whole family, we take family trips to different places  to visit fish stores or go to fish shows but not both,
59327:20	because if you have two or three kids, by the, e-, way the inflation's going i think a woman's always going to have to work	###but in essence you probably would have worked out fine . E_S ###SpeakerA53*t53 . ###Right , E_S ###but I think -NONE- I would have had -N4036D3 to work . E_S ###SpeakerB54*t54 . ###Yeah . E_S ###SpeakerA55*t55 . ###If I 'd of had that many , I 'd of had -N4037A8 to work in order for my kids to , E_S ###you know , even though he brings in a real good living and everything , in order for me to keep up , I would have had -N403915 to work . E_S ###SpeakerB56*t56 . ###Yeah . E_S ###SpeakerA57*t57 . ###But I think -NONE- it 's getting more and more like , when you have one child -N403A91 now , that 's it , you know , E_S ###SpeakerB58*t57 . ###SpeakerA59*t59 . ###then you go to work E_S ###and you work , E_S ###SpeakerB60*t60 . ###Yeah . E_S ###SpeakerA61*t61 . 	because if you have two or three kids but not both, by the, e-, way the inflation's going  i think a woman's always going  to have  to work
