TGrepID	EntireSentence	context	BestResponse
164352:16	i think in some cases it --n400973 doesn't matter if it's a deterrent or not.	###.###.###okay,### looks like we're ready --n400044 to go.###capital punishment, uh,###the problem i have --n400116 with capital punishment is that, uh, uh, it's supposed --n400151 to be a deterrent to crime,###but i don't think that it really actually does that.###i don't think it deters anybody, because most of the time crimes are, uh, are committed --n400369 with a, without any thought to the consequences###and they don't think that, uh, stop and think and say, well, maybe i shouldn't do this, uh, because, uh, i might get the gas chamber or something like that.###they worry about it afterwards###and then they try and get out of it.###and, uh, how about you.###.###well, i think that in some cases, it is warranted.###.###uh-huh,###i do, too,###yep.###.###and i don't,	i think in all cases it --n400973 doesn't matter if it's a deterrent or not.
66765:5	some of the cases i've heard about --n4093c2 over the years,	###.###yeah,###yeah,###i agree.###.###and so i go, le-,###these are the kind of people i would like --n408b54 to ye-, get --n408b77 out of here and get --n408b92 out of circulation and say i don't, we don't accept your kind in our society.###.###yeah,###i agree,### i, i've, i have, uh, a low tolerance for that kind of, uh, that kind of person.###and, uh, as far as, uh, you know###there are some, some other crimes that i think, uh, you know, uh,###kidnapping, um, you know, when they,###i mean kidnapping per se has a certain, uh, uh, fine and penalty associated with it,###.###uh-huh.###.###but, um, some of these people are just out and out brutal.###i,	all of the cases i've heard about --n4093c2 over the years,
87654:14	i guess some of the best things i've ever had --n406093, um, i, some of them were just hors d'oeuvres, you know.	###.### that ar-, but those are homemade.###they are not, um, commercial bakery made.###and in that they are made --n405b57 in their homes, um,###so it, it's kind of interesting, uh,###it's out there if you want --n405c99 to pay the price###but,###.###oh, it is.###i mean, we have bakeries around here that, you know, you, you just gain weight --n405de6 going by the door --n405dfd##, you know, just like that.###.###right,###.###.###just smelling the air.###yeah.###.###right,###but i don't know	i guess all of the best things i've ever had --n406093, um, i, some of them were just hors d'oeuvres, you know.
159124:81	who it really penalizes --n400c8a is their insurance company which --n400ca5 then translates into higher rates for all of us. if they get some of those mega awards against them.	###.###well i work for an insurance company###so i see a lot of, uh, verdicts that --n40019b are pretty crazily decided --n4001b2. um, by juries particularly,###and i know in england the judges set all of the awards.###you know juries will decide the guilt or innocence,###but then they leave the awards up to more learned people.###and i think maybe that avoids some of these totally ridiculous, you know, like millions and millions of dollars.###.###uh-huh.###yeah.### that, that seems --n4005d8 to make sense###but leave it up to the more experienced person who --n40068c knows how it fits --n4006a3 into the, uh, kind of the rate for different mumblex.###.###oh, exactly.###each individual jury really doesn't have any perception of what, um, the going, you know, if you will the going, uh, award should be --n4008aa for a certain type of case, you know, within some kind of range.###.###uh-huh.###.###when you get one way out like that --n400adb###but then really doesn't pen-, wind up --n400b71 penalizing the person that they went after --n400b94.	who it really penalizes --n400c8a is their insurance company which --n400ca5 then translates into higher rates for all of us. if they get all of those mega awards against them.
63221:32	um, it's a lot more fun than some other things i could do --n4050af, i guess --n4050c6.	###.###right.###yeah,###walking is kind of boring.###i do have a few friends that --n40496c live in my apartment complex in this neighborhood,###and we try --n404a3c to, we used --n404a53 to try --n404a62 to get together,###and i think now that the weather's getting nicer we're going --n404b74 to start --n404b83 doing it again and occasionally go --n404ba2 walking.###there's a real nice residential area right behind our apartment complex.###.###uh-huh,###uh-huh.###.###and it's not as boring if you get several people###.###that's right.###.###and you can kind of talk,### and, and it, it makes it pass pretty quickly,###and the aerobics isn't too boring.###i kind of enjoy it when i'm doing it --n404fef.	um, it's a lot more fun than all other things i could do --n4050af, i guess --n4050c6.
164368:12	well, for some things.	###i do, too,###yep.###.###and i don't,###i think in some cases it --n400973 doesn't matter if it's a deterrent or not.###.###uh-huh,###yeah,###you still have --n400a9d to do it.### i, i,###.###i mean i mean, i'm thinking of an extreme case like a serial murderer###.###.###uh-huh.###.###or,###.###so you're in, you're in favor of capital punishment, then.###.	well, for all things.
55920:12	and we got some great public works out of it.	###i could see a, a full, a run-, a gamut of different kinds of opportunities.###things that --n402776 need --n402781 to be done --n402794, that --n4027a3 wou-, that --n4027b6 could be done --n4027c9 in an hour or two, uh, a day, or several hours of the week. like a half of a day on saturday or something like that. in addition to what one does --n402864, uh, besides that.###.###uh-huh.###.###.###uh-huh.###.###.###uh-huh.###.### i, i can't, imagine what kind of, uh, uh, bureaucracies --n402b6c we'd get into --n402b83 and expense --n402b92 having it be full time,###oh, you're going --n402cf7 to go to this camp###and you're going --n402d8b to, you know,###like, um, back in the depression, the c c c, the construction corps that --n402e58 went out and did things. that was great,###.###yeah.###.###it was needed --n402f8e,###it gave some folks some jobs,	and we got all great public works out of it.
13469:7	but some of them are sold --n4025fe,	###i've had them for carpet cleaning,###i've had them for, of course, for, you know, real estate investments###.###uh-huh.###.###you know, you get, uh, please send in your, uh, you know, this particular card###and you get, uh, a free trip or something along those lines.###.###right.###.###and so, that, uh, that bothers me because i, of course, i enjoy --n40210c being at home and i do not enjoy --n402133 getting called --n402142 by strangers uh, particularly solicit-, you know, soliciting.###.###uh-huh.###.###so, g-, having your,###and i know that a lot of these, of course, are random phone calls###.###uh-huh.###.###they just, you know, start --n4024ee going through the phone book or going through a series of numbers,	but all of them are sold --n4025fe,
177474:15	especially, i did some cabinets in, uh, ash and oak	###uh-huh.###.###.###uh-huh.###.###.###so the price of a good set of, uh, carbide steel, uh, bits is probably, uh, i mean, a, a good set of bits is probably going --n4035bc to run you a hundred dollars###and, uh, uh, if you're going --n403793 to use for a lifetime i suppose it's worth it.###because y-, e-, uh,###i imagine if i go and sharpen them myself, uh, they won't last.###and i've never had the bits sharpened --n403a24.###so. that's a thing to consider --n403ab1 is to,###.###uh-huh.###.###.### they, they really get hot don't they.###.###yeah.###and they, they dull after awhile.	especially, i did all cabinets in, uh, ash and oak
177105:58	uh, uh, they've, uh, looked at, uh, plutonium and uranium and, uh, some other similar things --n4027d0 to try --n4027df to remove those from radio active waste	###well what other, we-, we-, what, uh, what unique things you think, uh, that you can do --n401a2f about it in, in what, in los alamos.###.###well, uh,###.###uh, other, other than nuking it.###.###yes,###other than nuking it.###.###.###um, in fact, los alamos, uh, has, uh, done a fair amount of research, uh, in recycling things in general.###um, it, it involves, for instance, uh, creating biological organisms which --n401f2e can remove heavy elements like selenium, and barium and, uh, other things from, uh, waste material in general. and, uh, and purify the waste of specific, uh, uh, nasty elements.###.###well, isn't that a, that's a, that's pretty, uh, upscale, uh, trash, uh, uh, situation.###i don't think anybody around here would understand all the, all those exotic techniques, you know, getting rid --n4023ba of the heavy metals.###.###.###and the thing that --n402502 just was in the local news bulletin was, somebody has, uh, ter-, made some special, uh, polymers that --n402575 have the ability to, uh, make certain actinide elements adhere to them.###.###.	uh, uh, they've, uh, looked at, uh, plutonium and uranium and, uh, all other similar things --n4027d0 to try --n4027df to remove those from radio active waste
