TGrepID	EntireSentence	context	BestResponse
73755:84	people are being a little more, oh, i don't know, a little le-, a little less bigoted in some ways,	###.###.###huh-uh.###.###.###okay,###so, um, how do think, how do you think we've changed in the last ten to twenty years --n40008c.###.###uh, i'm at a little bit of a loss,###you know, i don't know,###ten years ago,###see i'm what, i'm about, uh, twenty-eight now###so when i was eighteen --n400392,###.###uh-huh.###.###things haven't changed a whole lot.###.###really.###.	people are being a little more, oh, i don't know, a little le-, a little less bigoted in all ways,
164259:34	but, i think you have --n40334a to accept some of the errors.	###.###uh-huh.###.###then, you know, there's been guys in jail for six years###and the other guy admits that he did it###and they,###it's like oops,.###but,###uh-huh.###.###well, yeah,###i mean, the system isn't perfect,###i mean, it's run --n403035 by a bunch of imperfect humans.###.###.###you do the best you can --n4030fc --n403103 to make it perfect, you know,### you, you go out of your way --n403210 to try real hard --n403227 to make it perfect.###.###right.###.	but, i think you have --n40334a to accept all of the errors.
84205:26	the blooms --n40395b are, on some of them is yellow, purple, white. just all different colors.	###now i have got some daffodils.###and, we-, everybody down here calls these flags. uh, the irises i guess, uh --n40330a,###.###they call them flags.###.###that is what they call them --n403449 down here.###they get, uh, just one bloom on the plant.### i do not, i am not sure what they are called --n40358e --n403595.###.### when does it, wh-, when does it bloom --n403688.###.###but i do not much,###.###.###well, i think they are stopped --n4037ad blooming now, in the spring.###it has got gr-,###.###and what color.###.###oh, they come in all different colors.	the blooms --n40395b are, on all of them is yellow, purple, white. just all different colors.
24962:14	in, uh, some places, uh, you couldn't go to a public school.	###people are going, whoa.###.###yeah.###.###so,###.### starts --n4065cc hitting closer to home.###.###yeah,###but i always,###see it's all, it's all money.###this,###like a couple other topics we had talked about --n40676f was crime.### it, it's, it's all money based. and what you can do --n406852 unless you just get down to the parent level### and, and then if you're in a bad situation where you have --n4069e2 to send your child to a bad school --n406a09.###who --n406b12 knows,###bu-,###maybe we do, we need some more catholic schools,### support the church instead.###they seem --n406c69 to have done a, the good job in the past.	in, uh, all places, uh, you couldn't go to a public school.
100571:7	and some of them, i think --n402e67 unconsciously do it, you know, as a just, you know, half seni-,	###.###um, she was ambulatory###and so there was a lesser care.###uh, then she got, uh, uh, hip broken --n4026cb###and then, uh, she wasn't as ambulatory###so they were almost, you know, to the point of --n4027e1 saying she can't be here anymore.###.###uh-huh.###.###but, i remember from her checking around, she ended up --n402919 staying at the arkansas house i think --n402940 out in arlington, something like that.###.###uh-huh.###.###and, uh, you know the type of facilities whether it's a shared room or two separate rooms that --n402afe share uh, a, uh, bathroom.###all of them all seem --n402c2d to say that people there are going --n402c50 to steal their items.###.###oh yeah.###that's a given.###.###they're always saying that somebody's going --n402db6 to,	and all of them, i think --n402e67 unconsciously do it, you know, as a just, you know, half seni-,
103644:40	i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well.	###it's just, you know, a possible solution in the future, i think --n404844, maybe to help in some ways.###.###yes.###.###it may not in all ways.###maybe they'll come up with fusion. you know, con-, be able --n404a0e to control it.###i don't know how long that'll take --n404b2a,###but, one of these days,###because that's perfectly clean.###.###yes.###.###it's just we can't control it.###right now it --n404cf3 takes more energy --n404d06 to cause fusion to occur then you get out,###so, it isn't,###not at all,###and you can't control it unless you gotten a huge electromagnetic field,###so that's not going --n404f3f to work.###at least not now.###but, uh, who --n404fef knows what the future will hold --n40500e. uh, as far as energy goes,		i, i think, with solving all of the energy, future energy problems, we'll probably solve all of the pollution problems as well.
89580:13	and i enjoy some of the michael j. fox movies.	###yeah,###i didn't care for the type of movie,###but he was always slick, and greasy, and seemed --n405cd3 to be conceited and had more women than he needed###and i didn't like him.###but, he has really developed into a marvelous character actor as he has come older.###.###yeah,###i thought he looked real good with a beard, too.###.###oh, yeah,###yeah,###he does###and there is just a, there's a,###i don't know, uh,###i think that beard gives him a look that he is always grinning, whether he is or not --n40616a.###.###yeah.###.###and he, he has that merry look about his eyes that --n4062a6 looks like he stays in mischief all time.###and, i enjoy those,	and i enjoy all of the michael j. fox movies.
108744:71	uh, well, it, it's, it's, it really expresses some of the opinions of, of the people who --n400db1 enjoy the music	###.###um, i enjoy, uh, a lot of the, the modern forms, um, uh,###.###do you like, like rock and those kind of things punk even.###.###right,###right.###.###.###uh, well, that gets,###.###.###some of the punk, um, when i was in high school --n400814, that was, uh, one of the big things, was punk music,###and, uh, a lot of it is, has a lot --n400987 to say --n400996, or some of it has a lot --n4009c5 to say --n4009d4,### the music does,###the lyrics do,###but the, the actual,###.###i don't think they have a whole lot --n400c5f to say --n400c6e, even.###.	uh, well, it, it's, it's, it really expresses all of the opinions of, of the people who --n400db1 enjoy the music
22018:5	some of them are interested.	###then you'll never leave.###.###yeah,###i know,###and that's, that's what --n4086b7 happened to my brother.###he came to school up here,###and then when he went down there --n4087eb, he was just so bad off, you know from --n40881e not being able --n408831 to stay up here that his life just went down the drain.###.###oh.###.###.###uh-huh.###.###so.###.###well maybe something will open up for you.###.###yeah,###i've been calling a lot of companies.###there,	all of them are interested.
50706:31	it --n400d60 would be great to have some of those organizations like you mentioned --n400d9f that --n400daa were during the depression or coming out of the depression available for kids.	###well, i think it was, uh, thought --n4002b0 up when there was so much controversy about reviving a draft --n4002e7###and people said, well, they, uh, young people who --n40040f were drafted --n40041e have --n400429 to provide military service to the country,###but there are an awful lot of young people who --n400580 would benefit from, um, some sort of public service, like the conservation corps back in the thirties or, uh, various other things of that sort.###.###uh-huh.###.###and it seems to me that it's, it's not a totally bad idea,###but i don't quite see how they'd make it work --n400889.###.###uh-huh.###.###how would they decide who --n40094c goes into, uh, building fire breaks in yosemite national park and who --n40098f goes to saudi arabia --n4009a6.###.###right,###yeah.###i,###the,###my first impression was, um, it would be v-, very good.###i think it --n400c12 would be good for people to serve,###but i don't know if it should be an option.	it --n400d60 would be great to have all of those organizations like you mentioned --n400d9f that --n400daa were during the depression or coming out of the depression available for kids.
