Item_ID	Sentence	rightDisjunct	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head
137:48	you know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like --n40343b finding a proper nursing home.		yes	yes	no	no	no	no	no	no	yes	FRAG
225:152	i mean, i, i, i di-, i don't know how i would, how i would deal --n405049 if one of my parents came with, with alzheimer's. or something like, that which --n4050a4 is, which --n4050b7 is far more devastating.	something like, that which --n4050a4 is, which --n4050b7 is far more devastating	yes	yes	no	no	yes	no	no	no	yes	S
317:70	you know i mean, of course there, there comes other issues, you know, whether or not any of the grandparents whether we feel like are going to be a good, they're going --n406cdf to be a good caretaker for our children.		yes	yes	yes	no	no	no	no	yes	yes	S
362:41	that's just a matter of defining priorities, i guess or some priorities anyway.	some priorities	yes	yes	no	no	no	no	no	no	yes	S
497:5	suits or slacks, you know, jeans, whatever.		yes	yes	no	no	no	no	no	no	yes	NP
704:3	or is it just suspenseful.		no	yes	no	no	no	no	no	no	no	SQ
708:51	i mean, there's not really any, uh, blood and guts --n401fff in it or anything like that.	anything like that	yes	yes	no	no	yes	no	no	no	yes	S
732:32	anyway, it's on from seven to nine, or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
737:58	they've got, uh, they've got a couple of kids, ten or twelve years old,		yes	yes	no	no	no	yes	no	no	yes	S
756:3	or did he just do it.		no	yes	no	no	no	no	no	no	yes	SQ
766:47	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.		yes	yes	no	no	no	no	no	no	yes	S
886:75	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.		yes	yes	no	no	no	yes	no	no	yes	S
888:26	from, from personal parties or from these, um, phone answer, phone, uh, commercial things.		yes	yes	no	no	no	no	no	no	no	PP
927:63	and, i mean, you know, the classic, oh, i don't know c i a conspiracy theories or whatever, would have such parties --n4026e2 trying --n4026ed to do it without your knowledge.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
935:58	i don't think i'd like the k g b is monitoring my phone or anything like that.	anything like that	yes	yes	no	no	yes	no	no	no	yes	S
961:38	uh, i guess it comes from a sense of fact or facts		yes	yes	no	no	no	no	no	no	yes	S
967:82	um, the, the other side of that might be if, if someone found out something --n403a7d or surmised something --n403a90 that --n403a9b weren't true then i would feel probably more invaded in the gossipy sort of sense.	surmised something --n403a90	yes	yes	no	no	no	no	no	no	yes	S
971:23	ev-, more harmed or something.	something	yes	yes	no	no	yes	no	no	no	no	FRAG
997:14	so, or if my call rate of, of eight t-, or so a week went up even higher because, uh, someone had, had,		yes	yes	no	yes	no	no	no	no	yes	SBAR
997:68	so, or if my call rate of, of eight t-, or so a week went up even higher because, uh, someone had, had,		yes	yes	no	no	yes	no	no	no	yes	SBAR
1036:63	and i guess that turns out --n405829 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it		yes	yes	no	no	no	no	no	yes	yes	S
1049:60	if i deviate from social norms of behavior, if i run up and down the street --n405fb0 yelling or something, someone's going --n405fd3 to invade my privacy very quickly.	something	yes	yes	no	no	yes	no	no	no	yes	S
