"tgrep.id","entire.sentence","DE_operator.x","DE_operator.y"
"145577:99","""um, i might try that because i, i have one card that i've had for A-Bout, uh, i don't know, nine or ten years.""","not available","relclause"
"156317:102","""all we, all i do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month,""","not available","relclause"
"7684:47","i don't know how long it takes whether it takes five minutes or twenty minutes.","not available","wh"
"28706:47","""we find it hard to believe sometimes, or hard to understand when, uh, we work for a computer company, and, uh,""","negpredicate","not available"
"82987:41","""and i think a lot of people either, don't care, or don't realize it, you know.""","negation","not available"
"176020:91","""and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which was, was fourteen or fifteen hundred dollars""","relclause","not available"
"133422:57","""um, and the, the severity of the deficit picture already limits the options availA-Ble or limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term.""","negpredicate","not available"
"126911:45","""now, that's one i have watched, oh, six or eight times.""","not available","relclause"
"173602:32","""you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce.""","not available","wh"
"25593:28","""if you want to play tennis, or racquetball,""","antecedent","not available"
"73492:77","""and, and, you know, multiplied by the fact that you don't really trust the person or you're uncomfortA-Ble with the situation mumblex, as far as child care, um,""","not available","relclause"
"3053:66","""i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,""","antecedent","not available"
"126099:53","""and if you try to take anybody, you know, go to the show or go out for supper, and you go as a foursome,""","antecedent","not available"
"96713:55","""there was something on t v the other day that said that fewer than one or two percent of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.""","relclause","not available"
"39760:67","""and we have a share alike column in the paper, where people, you know, write in and share recipes or write in and say i'm looking for this recipe,""","not available","relclause"
"14012:39","""you know, kids seem like when they get ten or twelve years old they fall out of that,""","relclause","wh"
"98714:63","""and, well, uh, since now i'm in my mid-forties, when i was in grad school or when i was an undergraduate growing up in a more rural area i thought, you know, crime was, was reasonA-Bly unknown and just the situation that's developed with the, the drug aspect of, uh uh, the pushers, the dealers and the addicts, uh,""","relclause","wh"
"52499:80","""i don-, i don't think our prison system isn't set up, where we, um, rehA-Bilitate, or, you know, restore anybody.""","relclause","wh"
"164711:79","""it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, or from the country of origin.""","relclause","wh"
"145844:39","go to work when i wanted to or not","relclause","wh"
"120054:90","""there's just too many issues that come up that, uh, our senators and our congressmen vote on simply because it's a democratic issue or it's a republican issue""","relclause","not available"
"48855:166","""uh, you know, it, it really irks me to see so much effort put into preventing someone being put to death by the state when they so callously and usually so, you know, withoutf even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives.""","relclause","negation"
"103268:112","""but, uh, during the week they often have, a, a limited menu choice but, uh, very reasonA-Ble complete dinners for six ninety-nine that included the soup an-, or salad entrees and accompaniments and dessert""","negpredicate","not available"
"886:75","""uh, and at the same time i think that i receive on, on the order of, uh, probA-Bly, seven or eight a week calls of the nature where one wishes that there were a convenient way to just hang up on it.""","relclause","not available"
"134876:74","""well, i took a lot of time in choosing this site because the, the house has no heating or air conditioning.""","not available","negation"
"55769:54","""but usually, when i go into the hot tub before i go swimming, or when i come out, i'm totally relaxed when i go home.""","relclause","not available"
"13356:76","""and, and a lot of the buildings in downtown areas that, that either need demolishing, or need fixing up,""","relclause","not available"
"169514:73","""the, uh, governor, you know, has been trying to decide whether he's going to commute it or not.""","not available","wh"
"8967:44","""if we have a problem with our connection and get disconnected some time or other, don't worry A-Bout it.""","antecedent","not available"
"77821:28","you don't have grandparents near by or aunts and uncles.","negation","wh"
"118743:60","""and you know, we'll just have to wait and see whether that's approved or not.""","wh","not available"
"56045:26","should these people be allowed to or not.","not available","wh"
"104287:70","""and, um, i don't, i don't know if he's really serious A-Bout it yet or not, you know,""","not available","wh"
"77801:170","""and you want to be avail-, at least i've wanted to be availA-Ble, when they, for some reason, they had, they were bouncing something off of me. because it was something that was bothering them or they were concerned A-Bout,""","relclause","not available"
"89756:75","""i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred.""","wh","antecedent"
"124597:121","""and it's just incredible to think that there's, uh, there are players who are the sons of ball players that used to play against nolan or with nolan, you know,""","relclause","not available"
"103194:59","""my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night""","relclause","not available"
"153770:93","""you know, it's like what can you do with that, that you can't do in a self protection situation with like a seven or a twenty shot twelve.""","relclause","not available"
"64760:20","whenever they say it two or three times.","wh","not available"
"125651:119","""um, some of the qualifications that i look for was that, uh, you know, the cost, and, um, exactly what they did, if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were, and if the place was clean and um, the hours""","wh","not available"
"18012:53","""i don-, i don't know if i get e s p n or not.""","wh","not available"
"48874:116","""and, you know, i could go along with that, if, if i could be assured that it would be their natural life in jail and not parole after ten, or twelve years.""","antecedent","not available"
"27966:70","""there was not, there's not supposed to be any reason to use this education or this brain that you might have for anything other than your house and your children and how clean can the bathroom floors be on any given day.""","negation","not available"
"73050:45","""especially, you know, if you catch yourself short on cash or if you're on vacation, it's just easier to put everything on a card.""","antecedent","wh"
"6194:35","""so. i don't know if you participate in that or not,""","not available","wh"
"150670:77","""well, i remember back during the, uh, during the war, everyone here at work always had the radio or the t v on, because that, they were going constantly with that stuff.""","antecedent","not available"
"29159:97","""and, uh, i talked to a thirteen year old last night who's, uh, goes to, uh, one of the plano high schools or junior highs, i guess,""","relclause","not available"
"143964:138","""i think if it's, uh, if it's a con-, if it's a convicted, uh, felon on parole uh, and he goes out and, and commits another crime or kills somebody, i, you know, i, i feel the same way,""","antecedent","not available"
"4682:83","""but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things.""","relclause","not available"
"13665:45","i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon.","wh","not available"
"54841:46","""do you go by the adsf when you look at thema, or the reviews.""","wh","not available"
"72563:57","""for some reason it seems to interest me, like people that make a big comeback or, you know, orel hershiser, things like that.""","relclause","not available"
"133415:190","""um, i'm not really, uh, sure that i even understand why the administration is proposing, for instance, tax reductions, because it seems to me that if, if, if they're talking A-Bout reducing, uh, the tax that needse to be paid, or the tax that's currently being paid, then that can't, it seems to me it can't possibly, you know, help with the, the deficit picture.""","wh","not available"
"24757:57","""even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider moving if i had a child.""","antecedent","not available"
"105245:83","""but, the other thing that i thought of on this is, i wonder if there isn't enough money, uh, in our economy or in our system.""","wh","negation"
"153470:46","""so, we are on a schedule where i try every, uh, three or four years to, to buy a new one.""","wh","not available"
"170713:59","""do you know anyone that, uh, is, is in a nursing home or has ever been in one.""","relclause","not available"
"86874:94","""but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have to buy it, or sign up for it,""","antecedent","not available"
"27828:55","""our generation was, uh, so in tuned to music of that time that we identify goodness or badness with, uh, things now with the music that's behinds them.""","relclause","not available"
"152640:26","""and when you send it to washington or send it to your state capitol, uh, a lot of it stays there""","relclause","wh"
"45877:58","""because e-, everything, i mean anything that tom landry wanted or had, he was going to change it.""","relclause","not available"
"170776:46","""if, if you can take care of yourself at all or have someone that can take care of you, then you stay where you aref.""","antecedent","not available"
"95254:54","""and i couldn't just, you know, wait for eight, three or four months and then bring them back to her""","negation","not available"
"42766:91","""because i started shooting, my dad started letting me shoot like a little air b b gun, when i was probA-Bly five or six years old.""","relclause","not available"
"52656:78","""and, and go ahead and get the punishment phase out of the way, because it doesn't do the criminal or the victim's family, r-, r-, any of us, the taxpayer any good to have him sitting around for months and years.""","negation","not available"
"34018:36","""uh, my gun hasn't been shotf in a year or two.""","negation","not available"
"9412:60","""it's, it's not, not that it's just hot or dry,""","not available","relclause"
"50680:36","""what do you think A-Bout the, uh, peace corps or public service commitment.""","wh","not available"
"173549:65","""of course, if he's fallen in love with drugs and there isn't anything but getting stoned or high is, is the only thing in life that seems to be meaningful, then maybe there is no hope.""","antecedent","not available"
"79690:66","""but now i think there are tests that can be conducted, uh, to tell whether or not the puppies have the, have it.""","not available","wh"
"1147:55","have you ever gotten one of those calls that is either generated by a computer or somebody going down a list","relclause","not available"
"39230:62","""but with little ones, i'd be kind of scared, to get anything that has teeth or claws.""","relclause","not available"
"130040:62","""well, i found out after washing out many a peanut butter jar that they're not a recycling number one or two.""","negation","not available"
"134089:60","""and they do post, uh, uh, warnings for people who have, uh, heart diseases or respiratory problems during that summer season.""","relclause","not available"
"83455:205","""uh, i think that the judges should be leftd to do most of the sentencing, simply because, uh, there is always, uh, there is, there is always a jury that might be swayedb, uh, by the moment, uh, to either to be too lenient or too vengeful, i guesse.""","relclause","not available"
"95445:55","""we use it more for just writing programs when we need to or, um, doing research, looking at the speech signal and then doing writing, and also as a just as a terminal,""","relclause","not available"
"103930:153","""you know, that's, that's scary because, you know, i'm not sure, i think we're paroling them without even knowing if they're, you know, goingb to be committing any more violent acts or not.""","wh","not available"
"122138:110","""um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room, or when people like look through my things in my bedroom.""","antecedent","wh"
"7486:45","""they're real liberal now and to where probA-Bly fifty or a hundred years ago, um, the democrat party being liberal like they are now, you know, would never be thought of,""","relclause","not available"
"111943:55","""where do you go if you like to have a nice meal out, or a big meal.""","wh","not available"
"48916:100","""and that's where a lot of aggravation comes, i think, is, is, uh, these guys spend so much time in the appeal process or just in the waiting process,""","relclause","not available"
"63755:97","""i thought maybe they would convert to, uh, metric back when they went to the fifty-five mile an hour speed limit, because what is it fifty-six or fifty-seven's a hundred, uh, qua-, a hundred kilometers,""","wh","not available"
"20140:22","and i haven't taken the time or effort to learn what they are.","wh","negation"
"169005:87","""well, it depends on whether you, whether we figure that we have that we have a defense oriented military or an aggressive, aggression oriented military.""","relclause","wh"
"48175:48","and we tried to be a part of it but not overshadowing him or making him feel that we had to be there all the time.","not available","negation"
"52732:129","""because too, too often, there can be extremism that, that hurts from, from any direction, regardless of wha-, whatever you're arguingb or concerneda A-Bout.""","relclause","wh"
"88646:66","""and, uh, when, when i was first here in, in dallas or in plano, um, and was finally A-Ble to, this is, oh, been like fourteen years ago we moved here. and i was finally A-Ble to afford a new typewriter,""","relclause","not available"
"166593:34","once i found out that that's really not necessary or legal then i just refuse","relclause","negation"
"2462:69","""but if we're going to have a meeting, where we're having the attorneys come in, or people from, uh, other party's attorneys and stuff, then i normally dress up.""","relclause","not available"
"84644:31","i do not know what the world is or is not.","relclause","wh"
"44672:63","""and she knew whether to, to, to quietly come up to me or to just run and knock me over.""","not available","wh"
"12595:51","""so i can't say whether that, that i'm pro israel or anti israel.""","relclause","wh"
"119572:54","""i said, well, i can tell them how to fish with a minnow or how to fish with a worm.""","not available","wh"
"25318:34","i don't like it when it's too cool or too warm.","not available","wh"
"35001:135","""i, i have a hard time sticking with something like, like on t v, because, it, like, it gets real aggravating if you miss it, for a week or two.""","antecedent","not available"
"85435:43","""so we really don't know whether there's enough fossil fuel left or there isn't,""","wh","not available"
"95657:81","""i, i especially agree that if it's an area where they could cause somebody else, you know harm or injury, A-Bsolutely.""","antecedent","not available"
"81749:49","""and, and you're not sure whether it will be any good or not""","not available","wh"
"55488:50","but i don't havef to be conscious of what i'm doing or how i'm doing it.","wh","negation"
"93126:89","""and i thought what are you complaining A-Boute, when you're only goingd to get picked up once a month, you know, or once a week""","wh","not available"
"150256:47","""and i don't know who looks forward to it more, the students or the teachers and the staff.""","wh","negation"
"59303:31","""and, if i'd of probA-Bly had three or four children, i don't see how we could have made it, you know, without me working.""","antecedent","not available"
"25625:63","and never yet have i met anybody on the golf course that wouldn't allow me to join their twosome or threesome.","relclause","negation"
"141145:35","that is why we only do it once every five or ten years.","wh","not available"
"24941:98","""even though we've, uh, enjoyed very good employment here for the past ten years, now we got eight percent, uh, unemployment when it used to be four or five.""","relclause","not available"
"73520:26","they are not all things to all people or all children.","not available","negation"
"2927:38","""rarely a day went by when the wind was less than fifteen or twenty miles an hour. summer and winter,""","relclause","not available"
"126179:58","""i'm goingf to do it right, and see if i can actually play this game or not.""","not available","wh"
"55495:27","and no one is staring at anybody else or worrying A-Bout what anything else is doing.","not available","negation"
"28255:99","""they're going to say to the kids you need do this, because it needs to be done not because it's a woman's job or a man's job, but because it's dirty and it needs to be clean.""","not available","negation"
"147141:84","""and, and there's this big debate apparently A-Bout whether the ozone, there's a hole in the ozone or not""","not available","wh"
