"tgrep.id","entire.sentence","Sentence_type","DE_operator","Numeral","And_test","Or_both_test","Actually_test","Disjunct_relation","Disjunct_individuation","MainReferent","Habituality","SIMean","PropGoodSentence","SentenceLength","eitherPresent","orNotPresent","cluster","PrototypicalSentence8","n","Cluster"
"1786:119","""i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that is really due to them.""","declarative","negation","nonum","change","not available","change","A~B","same","generic","habitual",0.463333333333333,0.777777777777778,204,"no","no",1,"no",113,"1--113"
"162681:59","""you know, i don't know for, if you're familiar with that or not.""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.32,0.444444444444444,66,"no","yes",2,"no",147,"2--147"
"155506:58","""and, uh, she really enjoys it right now because she doesn't have to wash dishes or cook.""","declarative","negation","nonum","nochange","not available","change","A~B","different","non-generic","habitual",0.458888888888889,0.555555555555556,90,"no","no",3,"no",120,"3--120"
"70251:35","""and then it seems sort of like a san antonio early winter or fall, year-round.""","declarative","not available","nonum","nochange","not available","change","A~B","same","expletive","static",0.45,0.777777777777778,80,"no","no",1,"no",113,"1--113"
"113176:393","""uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want to, rent a car if i want to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not.""","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","static",0.748888888888889,0.444444444444444,443,"no","yes",2,"no",147,"2--147"
"174254:56","""i wonder, i wonder how, how the civil system or the court system must differ between there and say where i am in minneapolis.""","declarative","wh","nonum","change","nochange","nochange","A<B","same","generic","static",0.276666666666667,0.555555555555556,127,"no","no",4,"no",98,"4--98"
"71908:46","""and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,.""","declarative","not available","num","change","not available","nochange","A~B","same","generic","habitual",0.478888888888889,0.444444444444444,127,"no","no",5,"no",381,"5--381"
"145577:99","""um, i might try that because i, i have one card that i've had for about, uh, i don't know, nine or ten years.""","declarative","not available","num","change","not available","change","A~B","same","non-generic","static",0.612222222222222,0.555555555555556,111,"no","no",5,"no",381,"5--381"
"88687:32","""well, i guess i have used it once or twice.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.56,0.777777777777778,45,"no","no",5,"no",381,"5--381"
"62903:64","""and it kind of has to start from the top and, and go clea-, or from the bottom maybe and go clear up.""","declarative","not available","nonum","change","not available","change","A~B","different","expletive","habitual",0.562222222222222,0.888888888888889,103,"no","no",6,"no",169,"6--169"
"156317:102","""all we, all i do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","habitual",0.457777777777778,0.666666666666667,189,"no","no",5,"no",381,"5--381"
"102716:9","""one or two times in my life i've ever had venison, i've loved it.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","episodic",0.312222222222222,0.666666666666667,67,"no","no",5,"no",381,"5--381"
"116776:42","""i, i mean i could have had that or a down payment on a new car""","declarative","not available","nonum","change","change","change","A~B","different","non-generic","static",0.858888888888889,0.888888888888889,64,"no","no",6,"no",169,"6--169"
"36021:57","""and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy.""","declarative","not available","num","change","not available","nochange","A~B","same","expletive","habitual",0.597777777777778,0.888888888888889,115,"no","no",5,"no",381,"5--381"
