TGrepID	EntireSentence	context	BestResponse
161668:20	you actually, some catamarans you can actually pull people --n403e90 behind --n403e9b, the skiers,	###yeah.###.###so it's, it's not too bad,###it's pretty easy to get the hang of --n403751, i think --n403768###and, uh, generally, everybody i've, i've known --n403852 has kind of gotten into it,###but some people are more motorboaters, you know which --n40397e is fine.###.###yeah.###.###.###well, that's about all we have --n403a5f.###.###yeah,###yeah,###lot of people don't, don't see the excitement in sailing,###but, then, again, they may nev-, m-, they may never have tried anything like, uh, catamaran###.###uh-huh.###.###and, uh, that's when you really start --n403d87 getting into speed --n403d9a. you know,	you actually, all catamarans you can actually pull people --n403e90 behind --n403e9b, the skiers,
32931:10	we planted some yellow peppers this year.	###.###and some we do --n40a532 --n40a539 green###and then my wife puts them on pizzas. and, and chops them up in recipes and things like that.###.###uh-huh.###.###.###sure.### makes, uh, makes a colorful salad too.###.###.###oh, yeah.### put them in salad,###yeah.###.###uh-huh.###.### you're, you're making me hungry here.###.###.	we planted all yellow peppers this year.
99291:5	some of those male coaches, that might really,	###.###right.###.###right.###.###and so you try --n4045ce to maybe follow those if you know you're going there,###you don't want --n4046cd to dress too tacky because you're going --n4046f4 to be in the same room with them.###.###right.###well, and you always,###course, it's a standing joke, you know, when the, when the men come in in a, a tie and a suit coat --n4048dc, you say, you know, what, have you got a job interview today###or, there, there's, there's usually, yeah, there's usually something going on that, that, uh, and --n404b9b would, would, uh, cause that to happen###.###or you're going --n404dcf to be observed --n404de2.###.###.###yeah.###.###and i, i don't know how a coach --n404e9b would feel if, that --n404ec2 teaches health or eng-, you know, english, or whatever --n404ef9 that they had --n404f0c to wear a tie.###i,	all of those male coaches, that might really,
155746:10	i know some senators,	###generally, i don't think they are.###uh, my, my personal opinion is that, uh, the politicians are out for their own good because they, they're entrenched.###.###uh-huh.###.###they don't ever have --n40032a to go out and get a real job.###they just stay in their current job,###.###uh-huh.###.###you know what i mean --n400466.###.###i agree, uh, with, with both of those things,###but, uh, do you see any way of like altering it so that they would become more honest.###.###i think by --n40069c putting term limitations on you could, you could slow down some of the problems.###.###uh-huh.###.###uh, but it has --n4007fb to be not just at the national level but at the, you know, the state --n400846 and the local --n400859 level, too.	i know all senators,
11233:53	you know that was one thing we noticed --n402a90 last week that we had some new people move into our building and, you know, the nice cardboard boxes that you move, packing boxes. and they were just used --n402b1b one time and thrown --n402b32 in the dumpster	###.###well that's a neat idea.###.###well, it, it defrays the cost of buying the paper, i think --n40257b.###i,###not by much,###but it does defray it some.###.###right.###.###enough to make it --n40272a worth our while to have several bins through out the building.###.###well that's, that's really good,###i mean at least they're trying.###.###yeah.###.###yeah###i know a lot of companies that --n40296f waste so much that,###i'm even trying,	you know that was one thing we noticed --n402a90 last week that we had all new people move into our building and, you know, the nice cardboard boxes that you move, packing boxes. and they were just used --n402b1b one time and thrown --n402b32 in the dumpster
104196:61	not, not, you know, the bouncy, you know sing along kind but some of the old, older ones that	###no,###no,###no.###just by itself,###just by itself.###.###yeah.###oh.###.###it was real nice.###.###well, that's really, yeah that's, i bet that was nice.###.###yeah.###it went well,###it was a change, you know, from your traditional, normal, you know, stuff, and since it was christmas time and, and, uh, we had the church decorated --n403420 with christmas hollies and poinsettias and, you know, stuff like that###and so, we did the harpsichord with old-time traditional christmas carols,###.###oh.###.	not, not, you know, the bouncy, you know sing along kind but all of the old, older ones that
82296:18	and they were just screening some candidates,	###yeah.###.###well, they, um, you can really feel it, you know, in your breathing, even normal people,###and if you're older, um, i mean, you can really deplete your oxygen,###and it'll, you know, pass out,###.###uh-huh.###.###and it's, you know, it's killed several people.###.###do you, uh, smoke.###.###um, actually, i'm a very, i just smoke one in the evening if that.###so, i'm a very, very light smoker.###.### w-, yeah,###it's kind of l-,###.###it was kind of funny.###they were doing some, uh, ozone testing, and, uh, th-, the e p a	and they were just screening all candidates,
157049:37	well, i, i think on some of it, you have --n405293 to say someone's responsible for his actions.	###.###right###and, the, the other thing is that, you know,###i was reading through a book on, uh, geneo, human geneo research###.###uh-huh.###.###and there, more and more things like schizophrenia###and why, does it just turn out --n404db9 to be genetic or biochemical in origin --n404ddc.###.###right.###.###so if someday we can go to jeff dahlmer and say, well, the problem is you, you've got an endorphin imbalance###and, you know, if you take this regularly, you'll be a sane and productive member of society you know,###.###uh-huh.###.###you really get back to the question of, you know, is someone responsible for their actions.###.###yeah,	well, i, i think on all of it, you have --n405293 to say someone's responsible for his actions.
65668:54	it's, uh, something we're really irritated about --n407cca around here. or some people are really irritated about --n407cf9.	###.###uh-huh.###.###.###well how much are the box seats there --n40782c.###do you know offhand.###.###box seats run from, oh, like eight dollars to twelve dollars.###.###yeah.### that's, um, that's a little steeper.###i think the, uh, most expensive seats in memorial are eleven bucks.###but we're getting a new stadium next year###so,###.###oh, so it'll go up.###.###yeah,###it'll go up.###and, if it opens.	it's, uh, something we're really irritated about --n407cca around here. or all people are really irritated about --n407cf9.
155741:63	i think by --n40069c putting term limitations on you could, you could slow down some of the problems.	###so what i,###.###.###uh, so, do you think our politicians are honest at this point in time.###.###generally, i don't think they are.###uh, my, my personal opinion is that, uh, the politicians are out for their own good because they, they're entrenched.###.###uh-huh.###.###they don't ever have --n40032a to go out and get a real job.###they just stay in their current job,###.###uh-huh.###.###you know what i mean --n400466.###.###i agree, uh, with, with both of those things,###but, uh, do you see any way of like altering it so that they would become more honest.###.	i think by --n40069c putting term limitations on you could, you could slow down all of the problems.
130276:4	some people,	###right.###.###and everybody knows exactly what, what for --n40154f.###.###right.###.###uh, and, you know, and here, with our court system and, and ways of sort of screwing it around and stuff you can, you can kind of always count on the fact,### or, or there is a good chance you're going --n401876 to get off.###.###uh-huh.###and also, it doesn't seem like it does that many harm,###i mean, sure, their life is taken --n401a29,###but they'd spend the rest of their life in jail anyway,###so i think sometimes they'd prefer --n401b5a just to get it over with###.###uh-huh.###yeah,###.###so it's more of the easy way out than making them pay for the con-, for the you know, what they've done --n401cad.###.	all people,
158966:17	then i know of some of the people that --n401270 have gotten their masters	###exactly.###.###yeah.###.###what about you.###.###well, um, t-, i-, i'm research stuff here now###so what they, they have, uh, um, okay, benefits package.###it's not quite as good as industry###but one of the significant, um, benefits here is that you can take, uh, up to two courses a semester, um,###and they pay for you know, pay for the classes.###.###huh.###.###so, carnegie mellon that works out --n401057 to be, um, a reasonable, a reasonable benefit.###.###yeah.###.###.###uh, they do that i think --n401173 if you're, uh, research mumblex here	then i know of all of the people that --n401270 have gotten their masters
103477:18	but i know in some areas, it's really, it, it really is bad.	###.###.###okay.###um,###.###where do you live --n400053.###.###in plano.###.###in plano.###.###yes.###where do you live --n400112.###.###in dallas.###.###oh, okay.###.###uh, the air pollution isn't too bad in our area.###so, we're very fortunate	but i know in all areas, it's really, it, it really is bad.
56072:31	and they, they've started some recycling campaigns that --n407056 a year before that had been turned down --n40707d because they said, well, it's not feasible,	###we had visited relatives in virginia, not too long ago,###and i thought i had seen, when we were traveling around the state --n40671d, some similar signs --n406734 up that --n406743 indicated that certain sections were being policed and cleaned up --n406772###and,###.###yeah.###i think virginia's got it###and i know maryland does,###and we just, we went to indianapolis last weekend, and back.###and, um, i'm pretty sure i saw, yeah, stuff --n406acc in ohio and indi-, indiana --n406af3 about it and pennsylvania, maybe pennsylvania,###i don't remember for sure now.###.###and i don't know about your part of the country,###but, uh, down here in the last, oh, year plus, i, it was las-, beginning with last year's earth day there's just been more of a turn toward uh, environmental concerns,###.###uh-huh.###.###and e-, i work for texas instruments.###.###uh-huh.###.	and they, they've started all recycling campaigns that --n407056 a year before that had been turned down --n40707d because they said, well, it's not feasible,
156938:9	but in some cases, yes.	###b-,###.###.###yeah,###but you also have --n401006 to think whether it's worthwhile on the individual basis,###for example, someone like, uh, jeffrey dahlmer,###do you want,###by putting him in prison for life, there is still a possibility that he will get out again.###.###yeah,### one, one way or another.###.###whereas if you kill him, there is not that possibility.###.###.###yeah,### but, but the other side to that is, if you put him in prison for life, there's a chance that he might do things in prison, or, you know, and somehow redeem himself.###.###yeah,###i don't think he could ever redeem himself,	but in all cases, yes.
148456:26	i, i like some of it, um,	###.### it just, it just doesn't do anything.###.###what about the blues or something like that.###.###uh, uh, blues are okay.### i, i tell you,###i do like, um,###i grew up on blue grass music.###my dad is a big blue grass fan,###and so###.###uh-huh.###.###um, i wouldn't have admitted it when i was in high school --n40224f###but, i really do like it a lot.###.###.###so.###.	i, i like all of it, um,
115525:57	and i like --n403267 to read, uh, i like --n40328a to read some self help books like, uh,	###yep.###.###that,### and, and, uh, even stuff about, not like ghost stories, but real encounters with ghosts and supposedly haunted houses.###.###uh-huh.###.###i like,###i'm kind of a doubting thomas###and i like --n4030dc to read stuff like that.###some of it really freaks me out.###.###yeah.###.###.###uh-huh.###right,###definitely.###uh,###.	and i like --n403267 to read, uh, i like --n40328a to read all self help books like, uh,
30504:13	and we have some education programs that he likes --n4039de.	###so.###.###and you know there's not going --n40309d to be those adding mistakes that we all make --n4030c8.###.###that's exactly why.### he said, you know, he said, used --n403209 to be i always sat --n403228 looking for those, you know.###he said this way there isn't any.###you know, it does it for you.###so. this, you know,###there are some definitely, some, some advantages to it.###it's just a matter of, like you say, are the advantages, does it justify the cost, if you're using it strictly for personal business.###so.###.###right.### i, i think in most cases i'd have --n4037b3 to say no.###not unless somebody really enjoys it. or perhaps is using it for education.###.###right.###.###i have a four year old son,	and we have all education programs that he likes --n4039de.
67466:21	they want --n403486 to put some equipment on their bike and go for a tour.	###.###it --n402e0b's good to have a partner.###.###yeah###it really is.###.###are you think of --n402f02 doing any, like, centuries, or...###.###yeah,###that would be cool sometime if i could, you know, work up to that.###.###uh-huh.###yeah,###i just wondered if you were going --n4030f0 to do that --n403103 mostly or more like, you know, uh, uh, touring like from vermont or, you know, that kind of, thing.###.###oh.###.###i mean people seem --n4032ff to get into different aspects.###one is more of a distance,###and one's more, just, you know,	they want --n403486 to put all equipment on their bike and go for a tour.
50719:6	and some people would get military service	###right,###yeah.###i,###the,###my first impression was, um, it would be v-, very good.###i think it --n400c12 would be good for people to serve,###but i don't know if it should be an option.###it --n400d60 would be great to have some of those organizations like you mentioned --n400d9f that --n400daa were during the depression or coming out of the depression available for kids.###and i think there are some available now where they are able --n400f70 to work --n400f7f,###but making it a mandatory thing kind of,###.###yeah,### the, the difficulty would be in whether it's voluntary or involuntary.###.###right.###.###and the people who --n4011df were proposing it said that it should be involuntary, that it should be like a draft.###.###uh-huh.###.	and all people would get military service
