TGrepID	EntireSentence	context	BestResponse
128817:104	i, i'd also advise them that, uh, if mom and dad paid for their college, that, uh, if they decided to drop a course or decided that they need another year, then they'd have to get a loan to continue.	###Yes , E_S ###I 'm thinking \[ what , \+ what \] problems my children might have -N401D94 in that , uh , E_S ###SpeakerB20*t20 . ###You think so . E_S ###SpeakerA21*t21 . ###but I agree with you . E_S ###SpeakerB22*t22 . ###Uh , -NONE- let 's see , E_S ###what else . E_S ###Uh , well , climate would be , you know , E_S ###you 'd have -N402018 to E_S ###SpeakerA23*t23 . ###Uh-huh . E_S ###SpeakerB24*t24 . ###you know , is somewhat , E_S ###\[ if , \+ uh , if \] it 's something different than the one -NONE- they 're used to -N402122 , I guess , uh , E_S ###if they 're used to the northern weather then the southern weather they might kind of feel like they need -N40229A to go out and play all the time , not be in -N4022D1 studying . If you 're in Florida or California . E_S ###Uh , E_S ###SpeakerA25*t24 . ###SpeakerB26*t26 . 	i, i'd also advise them that, uh, if mom and dad paid for their college, that, uh, if they decided  to drop a course or decided that they need another year but not both, then they'd have  to get a loan  to continue.
150122:69	uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members.	###-NONE- seems like all the good logical ideas take forever -N403574 to come about E_S ###but that . E_S ###SpeakerA51*t51 . ###Well , they do \[ the , \+ all the \] testing that we have -N403660 to do -N40366F through the government , E_S ###it -N40375F 's incredible how much testing they have -N403782 to do -N403791 . E_S ###SpeakerB52*t52 . ###Oh , I 'm sure -NONE- they want -N403852 to be thorough before they . E_S ###But , uh , even , E_S ###you know , I do n't mind -N403970 spending the extra money on the car \[ if , \+ you know , even if \] they pass \[ the savings , \+ the cost \] onto the consumer , because it just seems like a real worthwhile thing . E_S ###SpeakerA53*t53 . ###Uh-huh . E_S ###SpeakerB54*t54 . ###I 'm not a real big seat belt , E_S ###my , uh , E_S ###SpeakerA55*t54 . ###SpeakerA1*t1 . ###Okay , E_S ###um , I guess -NONE- we 're going -N40004C to \[ talk , \+ \] describe , uh , job benefits , E_S ###and so what do you think , next to salary do you rank -N40016F , is the most important job benefits . E_S ###SpeakerB2*t2 . 	uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members but not both.
66676:23	now whether they finally got it or not, i don't know.	###And , uh , it turned out that the , you know , policeman survived to the point that he was able -N4060F1 to , you know , identify the guy -N406118 . E_S ###SpeakerB72*t72 . ###Uh-huh . E_S ###SpeakerA73*t73 . ###And of course , you know , they tried -N40628A to make the cop look \[ ou- , \+ \] like he was , uh , a , uh , no good rotten drunk . E_S ###SpeakerB74*t74 . ###Yeah . E_S ###SpeakerA75*t75 . ###I mean it was amazing . E_S ###SpeakerB76*t76 . ###So what -N406488 was the verdict , E_S ###what -N4064E8 was the results there . E_S ###SpeakerA77*t77 . ###Oh , he was found -N406560 guilty , E_S ###yeah . E_S ###SpeakerB78*t78 . ###Oh . E_S ###SpeakerA79*t79 . ###He , uh , um , E_S ###last -NONE- I heard -N40664D , \[ he , \+ uh , he \] beat a push for the death penalty . E_S 	now whether they finally got it or not but not both, i don't know .
76507:42	i'm not sure if it's more a problem with american families or a problem with the school system.	###and the one thing that she ended up with -N408E3D \[ is , \+ was \] the old door , \[ that -N408E70 was , \+ that -N408E83 was \] on the front door of that house E_S ###SpeakerA207*t207 . ###Uh-huh . E_S ###SpeakerB208*t207 . ###SpeakerA209*t209 . ###Yes . E_S ###SpeakerB210*t210 . ###and she has that up in her attic E_S ###and I have sworn that it , E_S ###I 'm going -N409110 to find a house -NONE- -N40912B to put that door on -N409146 before she does . E_S ###SpeakerA211*t210 . ###SpeakerB212*t212 . ###So , as far as -NONE- looking toward the future , you know , that 's my plan . E_S ###I 'm going -N409320 to have -N40932F to move fast , I think , though , because , uh , you know , as a , E_S ###SpeakerA213*t212 . ###SpeakerA1*t1 . ###Do you have any particular thoughts about the school system . E_S ###SpeakerB2*t2 . ###Well , um , \[ I , \+ I \] think that \[ in , \+ in , \] uh , E_S ###recently with the , E_S 	i'm not sure if it's more a problem with american families or a problem with the school system but not both.
135677:7	saturday or sunday they were saying,	###so \[ you , \+ you , \] \+ you \] probably go everywhere and have all sorts of weather . E_S ###SpeakerB11*t11 . ###Yeah . E_S ###SpeakerA12*t12 . ###I imagine -NONE- it -N4007F6 's kind of an experience also -NONE- trying -N40081D to land and take off in the weather . E_S ###SpeakerB13*t13 . ###Well , it was -NONE- around here last night , E_S ###I 'll tell you that . E_S ###SpeakerA14*t14 . ###Well , actually \[ I 'm , \+ I 'm , \] \+ I 've \] heard on the news that we , uh , will be setting a record -N400A69 here in the State of Texas for the , uh , large amounts of rain and moisture -NONE- we 've had -N400AC4 this year , that it 's going -N400AE7 to break all kind of records that -N400B0A were \[ set , \+ set , \] \+ set -N400B31 \] back since nineteen thirty-two . E_S ###SpeakerB15*t15 . ###No kidding . E_S ###SpeakerA16*t16 . ###So , yeah . E_S ###SpeakerB17*t17 . ###Um . E_S ###SpeakerA18*t18 . ###If it keeps on -N400EDB raining like this , E_S ###and I understand -NONE- it 's supposed -N400F6B to rain until Saturday night . E_S ###SpeakerB19*t19 . 	saturday or sunday but not both they were saying ,
170957:97	i think my wife is much better than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not	###and \[ they finding , \+ in some cases they 're finding \] -NONE- it -N40212D 's just not worth it -NONE- to work because it 's all going out in daycare . E_S ###SpeakerA29*t29 . ###Right . E_S ###SpeakerB30*t30 . ###Um . E_S ###SpeakerA31*t31 . ###Well , in our case , we made the decision that my wife would stay home until the boys were , uh , in school . E_S ###And I 'm really happy -NONE- we did it , although it was very , very difficult . E_S ###And I think -NONE- it was the right thing -NONE- -NONE- to do -N402521 E_S ###SpeakerB32*t32 . ###Um . E_S ###SpeakerA33*t33 . ###and \[ we were , \+ uh , we just decided \] that we would do it E_S ###and we went ahead E_S ###but , uh , not everybody can make that choice E_S ###and \[ even , \+ even \] though my wife was n't working , we did have , uh , one or another of the boys in , uh , child care \[ for part-ti- , \+ just for part \] of the day . Uh , or a couple of days a week just so that , uh , other things could get done -N402851 around the house and so on , E_S ###\[ so , \+ So , \] we did look around . E_S ###SpeakerB34*t34 . ###Huh . E_S ###SpeakerA35*t35 . 	i think my wife is much better  than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not but not both.
105474:35	nowadays i don't think i could afford the boat or the time,	###you name it , they had it E_S ###and we did a lot of \[ watering , \+ , water sports . \] E_S ###But I think , uh , -NONE- the thing -NONE- I liked -N40074F the best was , uh , E_S ###we spent about a summer E_S ###couple of guys , uh , restored an old wooden boat that -N40088B was built -N40089A back in the mid-thirties and got a new canvas sail for it and had a real \[ h- , \+ big \] old four- foot center board that -N400905 went down in the middle -N400920 to keep you upright when the waves , or the wind came from the side -N400963 E_S ###and we got that thing in the water and had a real good time with it . E_S ###If you ever got it dumped -N400C81 over , though , it was a mess -NONE- -NONE- to get -N400CB8 back up . E_S ###It was n't like the newer ones that -N400DC6 have nice chambers that -N400DDD keep it afloat or keep it , uh , upright again . E_S ###This one you had -N400F20 to work with -N400F33 . E_S ###You get out of the water again and get it upright . E_S ###And , uh , sailing \[ was , \+ was \] kind of nice E_S ###-N4010DB to learn the maneuvers you had -NONE- to make -N401106 to work your way down a lake or work back up against \[ the , \+ the \] wind , as it were , -N401161 tacking back and forth E_S ###and , uh , more than once we 'd get out there on a really stormy day E_S ###and , uh , the storm or the wind was due to the front blowing E_S ###and as soon as the front came over , it was calm . E_S ###So you 're out in the middle of nowhere with a paddle E_S ###and you paddle your way back in and hope -NONE- it does n't start -N4015D0 raining on you right away . E_S ###And that did n't always work . E_S ###We oftentimes got wet , . E_S ###But , uh , \[ it 's , \+ it 's \] a \[ nice , \+ nice \] hobby -NONE- -NONE- to have -N401797 . E_S 	nowadays i don't think i could afford the boat or the time but not both,
9028:77	and i'm not sure when a good time to plant those is, if they should be planted early or later.	###I think -NONE- one of them died , E_S ###but \[ I , \+ I 've got , s- , \] \+ I 've put them , \] \+ I chop them up and put them \] in jars and usually give them away because \[ I , \+ there is no way that I \] can eat all of those -N403AD2 E_S ###nobody else in the family likes them , E_S ###but -NONE- always got -N403D64 to the keep those planted . E_S ###SpeakerB48*t48 . ###Yeah , E_S ###oh , my husband does n't like them either , E_S ###but I can always give them away . E_S ###SpeakerA49*t49 . ###Well , that 's kind of the way -NONE- I am -N403F1C , um . E_S ###SpeakerB50*t50 . ###Besides they 're fun -NONE- -NONE- to grow -N403FD6 . E_S ###SpeakerA51*t51 . ###I planted , uh , zucchini last year . E_S ###Uh , I planted four hills of them . E_S ###I think -NONE- I had three or four seeds in each one of them , E_S ###and those things just flat took over . E_S ###Um , it was n't until late , I guess in the summer , E_S ###maybe it was because it was too dry , E_S ###they finally started -N404387 making zucchini , E_S 	and i'm not sure when a good time to plant those  is , if they should be planted  early or later but not both.
155861:103	but i, i think that there are, there are advantages to having seniority and, uh, turn-, or, not having a complete turnover every, some small number of years.	###Yeah . E_S ###SpeakerB44*t44 . ###and , uh , you know , \[ it , \+ it 's a , \] \+ I think -NONE- it -N403AA7 's a \] mistake -NONE- to move large agencies like that E_S ###SpeakerA45*t45 . ###Uh-huh . E_S ###SpeakerB46*t46 . ###or is it the F B I . E_S ###I do n't remember , E_S ###but I think -NONE- there 's , E_S ###SpeakerA47*t47 . ###Well , I mean , l- , E_S ###t- , E_S ###I do n't see why it makes a big difference the C I A -N403DE9 because , you know , officially \[ they do n't do , \+ they do n't have \] any operations within the United States other than administrative . E_S ###SpeakerB48*t48 . ###Yeah , E_S ###that 's officially . E_S ###SpeakerA49*t49 . ###Uh-huh . E_S ###SpeakerB50*t50 . ###I mean , we all know that that 's not necessarily true . E_S 	but i, i think that there are, there are advantages to having seniority and, uh, turn-, or, not having a complete turnover every, some small number of years but not both.
42958:70	but, boy if someone did break in, i don't, i don't know that i could or would even grab it.	###SpeakerB182*t181 . ###SpeakerA183*t183 . ###Yeah . E_S ###SpeakerB184*t183 . ###SpeakerA185*t185 . ###-NONE- hold on , E_S ###-NONE- hold on , E_S ###SpeakerB186*t186 . ###Yeah . E_S ###SpeakerA187*t187 . ###He 's in here somewhere , E_S ###I know -NONE- he is -NONE- . E_S ###SpeakerB188*t188 . ###Right . E_S ###SpeakerA189*t189 . ###Yeah . E_S ###Well , I know how -NONE- to use one -N409014 . E_S ###\[ We , \+ we \] go -N40909E hunting every once in a while E_S ###and he showed me how -NONE- to use his guns -N409169 E_S ###and I really enjoy it E_S 	but, boy if someone did break in, i don't, i don't know that i could or would even grab it but not both.
