TGrepID	EntireSentence	context	BestResponse
163866:106	what's more likely to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft, you know, it, things of that nature.	###SpeakerB82*t81 . ###SpeakerA1*t1 . ###Uh , well , I 'm not sure how it is in Georgia -N400046 , E_S ###but \[ in , \+ in \] Pittsburgh \[ the r- , \+ the crime rate \] really is not very high at the moment . E_S ###\[ Is that , \+ is that \] true \[ for , \+ for \] Atlanta . E_S ###SpeakerB2*t2 . ###Atlanta is kind of high . E_S ###Uh , \[ it 's , \+ it 's \] lower than it has been -NONE- in the past . E_S ###Uh , I guess -NONE- nineteen ninety is when it start -N400449 to drop off -N40045C , E_S ###and usually around the Christmas season is usually when the crime rate is a little bit higher -N400556 . E_S ###SpeakerA3*t3 . ###Yeah , E_S ###I , E_S ###that 's probably not true only for Atlanta , but for just about anywhere . E_S ###SpeakerB4*t4 . ###Yeah . E_S ###Uh , what kind of crime problem do you usually run into -N40072D . E_S ###Any specifics . E_S ###SpeakerA5*t5 . ###Well , uh , the least , \[ what , \+ from what -N400805 's \] on the news , uh , there are very few , like actual robberies reported -NONE- , uh , uh , \[ of , \+ of \] residences . E_S 	what 's more likely  to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft but not both, you know, it, things of that nature.
52191:66	and, a lot of times, what i wind up doing is, picking say an actor or an actress, and seeing like all,	###Oh , you just gave it away , E_S ###I guess -NONE- I ca n't go -N402F0D see it , E_S ###no . E_S ###SpeakerA58*t58 . ###No , E_S ###that 's okay , E_S ###I did n't give away the whole thing , E_S ###I just gave away just enough -NONE- to get you interested . E_S ###SpeakerB59*t59 . ###That does sound good , E_S ###is it one , E_S ###I guess -NONE- it 's a rental . E_S ###SpeakerA60*t60 . ###Yeah , E_S ###it is -NONE- . E_S ###SpeakerB61*t61 . ###Okay , E_S ###I may have -N403275 to do that . Go -N403290 see it , E_S ###or -NONE- go -N403336 rent it . E_S ###SpeakerA62*t62 . 	and, a lot of times, what i wind up  doing  is, picking say an actor or an actress but not both, and seeing like all,
155153:30	uh, well i think, either my wife or i would like to pursue advanced degrees at some point	###so I sent back MUMBLEx mail . E_S ###SpeakerA41*t41 . ###Yeah , E_S ###\[ it -N402FB8 will be interesting -NONE- to see what , \+ It -N402FE3 would be interesting -NONE- to see how \] the data base , E_S ###SpeakerB42*t41 . ###SpeakerA43*t43 . ###MUMBLEx so , well , I guess -NONE- we 're talking about the experiment . E_S ###SpeakerB44*t44 . ###Uh-huh . E_S ###SpeakerA45*t45 . ###Uh , -NONE- probably need -N403219 to try -N403228 to get back on the topic E_S ###but , uh , it -N4032EE 's hard -NONE- to talk about finances \[ without \+ without \] -N403319 getting to , uh , dollar figures I guess -NONE- -N403348 you know , E_S ###SpeakerB46*t46 . ###Uh-huh . E_S ###SpeakerA47*t47 . ###we could talk about some of the long range goals E_S ###and , E_S ###SpeakerB48*t48 . ###Well what other long range goals -N403562 do you have -N403575 besides college . E_S ###SpeakerA49*t49 . 	uh, well i think, either my wife or i but not both would like  to pursue advanced degrees at some point
33778:41	do you like to exercise because you want to or because you have to.	###that 's just the way -NONE- it 's constructed -N40520A . E_S ###SpeakerB98*t98 . ###Yeah . E_S ###SpeakerA99*t99 . ###And my husband being a T I engineer , E_S ###I said a few things to him when I got home -N40532D , E_S ###I said , who -N4053C3 has engineered that . . E_S ###SpeakerB100*t100 . ###Really . E_S ###SpeakerA101*t101 . ###But I , E_S ###-NONE- sounds you , like E_S ###one thing that I like -N4054E2 , like swimming , E_S ###you like that a lot . E_S ###SpeakerB102*t102 . ###Uh-huh , E_S ###I like swimming . E_S ###Uh-huh . E_S ###SpeakerA103*t103 . ###Do you like that , what that voice said -N405636 , E_S 	do you like  to exercise because you want  to or because you have  to but not both.
12200:93	other than that i'm not sure what, what individuals can do other than like i said get involved through a group or an organization.	###No , E_S ###SpeakerB126*t126 . ###Uh-huh . E_S ###SpeakerA127*t127 . ###you 're right E_S ###and that will solve , uh , a lot of problems . E_S ###I do n't know \[ if you , \+ uh , if you \] approached the automobile industry if they would be too keen on -N407DD4 installing something like that . E_S ###SpeakerB128*t128 . ###Uh-huh . E_S ###SpeakerA129*t129 . ###Uh , but you know a proposal to , uh , uh , I guess the proper authorities , E_S ###SpeakerB130*t130 . ###Uh-huh . E_S ###SpeakerA131*t131 . ###well you might , uh , generate some yeah , you might generate some interest in it . E_S ###SpeakerB132*t132 . ###Yeah , E_S ###the automobile regulatory agencies or something . E_S ###SpeakerA133*t133 . ###But \[ that 's , \+ that 's \] a good idea . E_S 	other than that i'm not sure what, what individuals can do  other than like i said  get involved  through a group or an organization but not both.
49341:37	uh, so, the question of whether to buy here or move to another county, say, drive twenty more miles north, buy a condominium for approximately, uh, the same price, maybe a little lower,	###Uh , for the , E_S ###and so , you , on that , E_S ###it 's not unusual , for example , for somewhere around here E_S ###\[ on a , \+ on a , \] \+ on a , \] \[ what we would , \+ you know , what you \] described -N405B39 as your house and what I would describe -N405B60 as my house say , for example , in Pensacola , Florida , on that house with the homestead exemption and so forth and so on , -NONE- might pay three or four hundred dollars a year taxes . E_S ###\[ May- , \+ maybe , \] \+ you know , maybe \] a little bit higher than that now , E_S ###SpeakerA121*t121 . ###Wow . E_S ###SpeakerB122*t121 . ###SpeakerA123*t123 . ###Yeah . E_S ###SpeakerB124*t124 . ###but that same house here , you 'd pay almost six thousand dollars a year , taxes on it . E_S ###SpeakerA125*t124 . ###SpeakerA127*t127 . ###Wow . E_S ###SpeakerB128*t127 . ###SpeakerA129*t129 . ###Wow , that 's , E_S ###SpeakerB130*t130 . ###So , it 's , E_S 	uh, so, the question of whether to buy here or move to another county but not both, say, drive twenty more miles north, buy a condominium for approximately, uh, the same price, maybe a little lower,
98714:63	and, well, uh, since now i'm in my mid-forties, when i was in grad school or when i was an undergraduate growing up in a more rural area i thought, you know, crime was, was reasonably unknown and just the situation that's developed with the, the drug aspect of, uh uh, the pushers, the dealers and the addicts, uh,	###\[ What , \+ what \] do you think -NONE- -N4019EF can prevent crime . E_S ###SpeakerA34*t34 . ###Well , the thing is , -NONE- I do n't , E_S ###it 's one of those things where , if you 're a grad student you can appreciate the statistics on E_S ###SpeakerB35*t35 . ###Uh-huh . E_S ###SpeakerA36*t36 . ###Unfortunately there are often these correlations that -N401C6A are inverse of what they should be -N401C8D like , uh , wherever there are more , uh , criminals -N401CC4 , there are more policemen E_S ###SpeakerB37*t37 . ###Yeah . E_S ###SpeakerA38*t38 . ###but that 's which -N401E4D came first . E_S ###SpeakerB39*t39 . ###Yeah . E_S ###SpeakerA40*t40 . ###But , on the other side of it is E_S ###\[ it 's , \+ it 's \] \+ basically \[ the , \+ the \] problem is \] \[ within the , \+ in the \] society and the society 's views E_S ###SpeakerB41*t41 . ###Uh-huh . E_S ###SpeakerA42*t42 . 	and, well, uh, since now i'm in my mid-forties, when i was in grad school  or when i was an undergraduate but not both  growing up in a more rural area i thought, you know, crime was, was reasonably unknown and just the situation that 's developed  with the, the drug aspect of, uh uh, the pushers, the dealers and the addicts, uh,
13468:42	they just, you know, start going through the phone book or going through a series of numbers,	###SpeakerB30*t30 . ###I 've had them for carpet cleaning , E_S ###I 've had them \[ for , \+ of course , for , \] you know , real estate investments E_S ###SpeakerA31*t31 . ###Uh-huh . E_S ###SpeakerB32*t32 . ###you know , you get , uh , -NONE- please send in \[ your , \+ uh , you know , this \] particular card E_S ###and you get , uh , a free trip or something along those lines . E_S ###SpeakerA33*t33 . ###Right . E_S ###SpeakerB34*t34 . ###And so , \[ that , \+ uh , that \] bothers me because \[ I , \+ of course , I \] enjoy -N40210C being at home and I do not enjoy -N402133 getting called -N402142 by strangers uh , particularly \[ solicit- , \+ you know , soliciting . \] E_S ###SpeakerA35*t35 . ###Uh-huh . E_S ###SpeakerB36*t36 . ###So , -NONE- \[ g- , \+ \] having your , E_S ###and I know that a lot of these , of course , are random phone calls E_S ###SpeakerA37*t37 . ###Uh-huh . E_S ###SpeakerB38*t38 . 	they just, you know, start  going through the phone book or going through a series of numbers but not both,
116314:89	i don't think the, you know, i don't think money is going to take the place of intelligence or, uh, problem solving skills.	###I think -NONE- we get short changed -N401949 on that . E_S ###SpeakerA18*t18 . ###Right , E_S ###that 's very true . E_S ###\[ What , \+ what \] state do you live in -N401A40 . E_S ###SpeakerB19*t19 . ###Texas . E_S ###SpeakerA20*t20 . ###Okay . E_S ###SpeakerB21*t21 . ###That 's , E_S ###SpeakerA22*t22 . ###What do you think -N401B35 about Robin Hood . E_S ###SpeakerB23*t23 . ###Well , I work for school district E_S ###and , uh , \[ it 's , \+ it has \] hurt us a lot . E_S ###Uh , there has -N401CCD to be some way , I think , -NONE- -NONE- to equalize education opportunities -N401D0C . E_S ###But , uh , you know , \[ our , \+ we , \] \+ we \] tend -N401E30 to think , \+ I think , -NONE- \[ e- , \+ especially \] big government , tends -N401E73 to think \] that the solution to everything is -NONE- to throw money at it . E_S ###And I do n't , you know , E_S ###that 's just not true . E_S 	i don't think the, you know, i don't think money is going  to take the place of intelligence or, uh, problem solving skills but not both.
34018:36	uh, my gun hasn't been shotf in a year or two.	###Uh , the ammunition is probably so old -NONE- I 'm afraid -N40062F to use it . E_S ###But , uh , I bought it for target practicing \[ and , \+ uh , and \] also because I wanted a weapon . E_S ###Uh , how do you feel about it -N400820 . E_S ###SpeakerA5*t5 . ###Well , I think , uh , -NONE- down here in Texas they do n't have a waiting period on handguns . E_S ###SpeakerB6*t6 . ###Huh . E_S ###SpeakerA7*t7 . ###And , I think -NONE- they need that . E_S ###Uh , and \[ I do have a , \+ I have a \] pistol . E_S ###It 's a little twenty-two E_S ###and I have a twenty-two or a twelve gauge shotgun . E_S ###SpeakerB8*t8 . ###Uh-huh . E_S ###SpeakerA9*t9 . ###An- , you know , I do like -N400BD0 to have my guns . E_S ###SpeakerB10*t9 . ###SpeakerA11*t11 . ###Uh , I do n't know if I 'll ever use it , you know . E_S ###And like you , my bullets to my little pistol 's probably , uh , about three years old . E_S 	uh, my gun hasn't been shot  in a year or two but not both.
