TGrepID	EntireSentence	context	BestResponse
92716:8	just some of the times they're continued --n4029a0,	###sometimes it --n402014's better just to tape record both of them and then watch it all in one.###.###uh-huh.###.### we, we do that sometimes.### i, i guess i'm, i'm not into real heavy stuff.###l a law is about the heaviest thing i watch --n402312.### i, i'll, mostly i'm into it for relaxation,###.###yeah.###.###so i like things like golden girls or cheers###or, uh, monday night is real good with me, you know,###major dad and, and, uh, northern exposure and, and, uh,###oh, what's that one with burt reynolds --n4026d6.###that type of show is what we what, uh, we watch --n402772.###.###uh-huh.###.###we generally just stay on one channel all, for all of monday night, just --n402891 to watch those.	just all of the times they're continued --n4029a0,
160477:87	and for the longer term i, i read, uh, like scientific american and, and, uh, readers' digest and some of those other types of magazines that --n401018 come out which, they,	###.### what about, what about you.###.###well, i read, uh,###i get a bunch of different things.###i get a newspaper every day###and i try --n40077f to at, at least have a few minutes to look through that --n4007c2###and i look through, uh,###i get a newsweek --n40090d every week which i, i pretty much read --n400938 that cover to cover###and i, as far as, you know,###that satisfies most of the short term news i get --n400ae5.###uh, don't watch much t v,### don't have enough time###and, uh, don't listen to the radio --n400c5b too much especially the news channels or anything like that, you know,###they might give you a little blurbs like this happened or that happened###.###yeah.###.###and that's about all i ever hear --n400e5f of it.###uh, but most of my news probably comes from newsweek	and for the longer term i, i read, uh, like scientific american and, and, uh, readers' digest and all of those other types of magazines that --n401018 come out which, they,
73140:10	and then some of them add late fees on it, if they don't get paid --n4021d5	###and for some strange reason those people think they need --n401d77 to get paid --n401d8a.###.###i know,###isn't that funny.###.###yeah.###.###.###and i give them,### maybe not, maybe they're not really concerned about --n401f17 getting paid###because they're,### know if you don't, then they're adding on, what, eighteen, nineteen, twenty percent.###.###.###sometimes, it's twenty-two percent interest.###.###yeah.###.###.###yeah,	and then all of them add late fees on it, if they don't get paid --n4021d5
99355:10	well, some of them, yes they do	###yeah.###.###you know, so he just left warm-ups on,### but, but, uh, no,###i think, really probably, they could, they could, uh, really,###and i don't know if, if they put, make uniforms the thing for the kids,###i guess the teachers will have --n4060c5 to follow suit with a dark skirt and a white top###and,###.###i don't think we'll ever get to that.###.###you don't think so.###.###no,###i don't think.###i think we're going the opposite direction.###it's the parochial schools that i guess many ti-,###they've had uniforms for years,###i r-, don't really know if they still do.###.	well, all of them, yes they do
95645:41	well, i, i feel in light of some of the accidents and so forth that --n4000d3 have happened lately, that i think there are some occupations that they should, such as the health field, the transportation field, uh,	###.###i do, uh, main-, mainly business data processing.###.###uh-huh.###.###i also handle production support for the systems in my area of responsibility.###.###uh-huh.###.###um, sometimes i get called --n4057b2 late at night at home because there's a production problem,###and that gives me the opportunity to, uh, come in to work and fix it, if i can't think of some thing to tell the trouble shooter --n405916 while we're on the phone.###.###.###right.###.###um, i also, uh, handle most of the calls from our users and other programmers who --n405b0d need --n405b18 to find out something connected,###.###.###what do you think --n400022 about it.###.	well, i, i feel in light of all of the accidents and so forth that --n4000d3 have happened lately, that i think there are some occupations that they should, such as the health field, the transportation field, uh,
37768:13	'cause i did some teaching part-time	###okay,###we're going --n400038 to talk about the public school system, what --n400063's wrong with it, an, or if anything is wrong with it and what we can do --n4000b6 about it, what --n4000cd should be done --n4000e0 about it.###.###okay.###.###.###fantastic.###well one thing that --n400302 pops into my mind real quick is, uh, about the, uh, funding of, the, the school system right now.###.###yeah.###.###evidently, uh, that's, that's a big problem.###.###yeah,###it's amazing, uh,###i always thought that teachers never got paid --n4005d3 nearly enough, i mean, to be doing what they're doing --n400612, uh.###.###right.###.###when i was in college --n400758 i, i enjoyed teaching,	'cause i did all teaching part-time
36611:16	um, up here some of the state parks are really nice	###.###i don't know, um,###do you do a lot of camping.###.###well, my husband and i haven't done a whole lot of camping,### we, but we bought a van last year,###.###yeah.###.###and we were hoping, uh, --n400247 to do some camping in the van, um,###we did go --n40030c camping in arkans-, not arkansas, oklahoma.###uh, last year in, we camped in a tent,###and, uh, there were two other couples with us###and there was, uh, state park.###.###oh, so mumblex,###.###and it was really nice.###.###yeah,	um, up here all of the state parks are really nice
90995:20	i think that's some of it.	###.###uh-huh.###.###but that's just how it is --n40349c.###my mother was complaining last year about th-, you know,###it's dwindling down every year,###you know, that's just, i think that's just,###.###is that just family's lack of priority, anymore, maybe###yes,###.###.###we get so involved in our work lives and just, social lives and so forth.###.###well, yeah.###.###.###yeah,###that's, uh,###yeah,	i think that's all of it.
126761:30	e-, even in some families some people talk a little bit different.	###i've had the same experiences,###.###uh-huh.###.###all right around here.###.###uh-huh.###.###yeah,###i don't know, uh,###i wonder if they really,###i don't know if they could possibly teach a machine --n403d84 to recognize all the different accents.###.###.### there's just, there's so many with this one town you know.###.###uh-huh.###uh-huh.###.###.	e-, even in some families all people talk a little bit different.
127011:17	i can associate with some of the people in that movie because of the young students i see --n13425 over at the medical school.	###we rent a lot of movies###so we, we often sit around and say, what movies should we rent --n12f1f.###.###.###and we don't know.###.###well if you, if you can get green card, go for it.###.###all right,###we'll try that one.###.###i have been working at, uh, as an accountant at the medical school here in dallas###and i have watched, uh, gross anatomy.###have you seen that one.###.###yeah,###i did.###.###okay.###and i don't know	i can associate with all of the people in that movie because of the young students i see --n13425 over at the medical school.
55219:110	and my reasons are based --n400210 upon not only from what i read --n40023f in the newspapers, what i see --n400262 on the newspapers, but up against some of the, fun and exciting things i ran into --n4002b5 during my six years as a soldier in the fifth special forces group.	###yeah,### enjoyed it bob.###.###you guys have a good time,### keep those printers coming.###.###hey,###we'll do it.###.###all right,###bye.###.###bye.###.###.### go ahead.###.###okay,###do i still can-, still can feel that the soviet union, as such, is still a threat to the civilized western world.###absolutely.	and my reasons are based --n400210 upon not only from what i read --n40023f in the newspapers, what i see --n400262 on the newspapers, but up against all of the, fun and exciting things i ran into --n4002b5 during my six years as a soldier in the fifth special forces group.
169857:78	i think i'd look for a home where they got a lot of attention --n400a78 and, uh, where they did some things --n400aa3 to try --n400ab2 to keep them, um, mentally alive --n400ad9. and where there was, uh, caring and compassionate, where there were caring and compassionate people, uh, operating it --n400b40.	###so we're, uh, our discussion's about, uh, the care of the elderly.###.###that's right,###that's right.###you know, what, what, uh, what do you think --n4001e4 is important.###if you were,###uh, i don't know how, how old you are --n400349,###but if you had, if you had, uh, parents say or, or, or th-, grandparents, whatever it is --n400481, uh, who --n400498 were ready, who, who you thought --n4004c3 might benefit from a nursing home, what do you think you would look for --n40050a.###.###.###uh, well i, actually my dad's, my dad's almost ninety###and he lives by himself###.###huh.###.###and he's in good shape.###.###yeah.###.###uh, but, uh, some friends of mine have, uh, gone through this.	i think i'd look for a home where they got a lot of attention --n400a78 and, uh, where they did all things --n400aa3 to try --n400ab2 to keep them, um, mentally alive --n400ad9. and where there was, uh, caring and compassionate, where there were caring and compassionate people, uh, operating it --n400b40.
81221:70	i think you have to let, yo-, you got --n4052d5 to segregate some of it.	###.###how do you feel about it --n404c46.###i guess i, i got --n404cc7 to say, if that's the subject, if the subject is do i feel that we're well enough equipped to,###i don't know### if, if it said that. i feel i'm well enough equipped.###.###do we get enough news or something like that.###.###yeah.###to,###.### do we get, uh do we get the news that we want --n4050d3.###.###yeah.###.###and i do.###i really think.###.###yeah,###i think i do too.	i think you have to let, yo-, you got --n4052d5 to segregate all of it.
11991:7	and some of it runs off right away into the, in to the streams and rivers	###.###i mean the stuff i've read --n403014 recently in technology review basically indicates that acid rain may be a little bit, uh, overstated. that a lot of the die off they've seen --n403093 in forests may not really be due to acid rain at all.###um, ye-,###i'm not an expert.###.###yeah,###no.###didn't they just have an article, oh, on, uh,###they were dumping lime.###.###up here.###.### up, upstate new york somewhere, over huge areas,###.###i haven't read that.###.###.###oh yeah.###.###and they thought that was more beneficial because, you know it, it, some of it does soak in	and all of it runs off right away into the, in to the streams and rivers
114588:104	uh, because i, i need --n40273b to have it tuned, you know, tuned --n402766 up and i don't know, replace some of the belts.	###so i've been thinking, especially now is a good time to buy a car --n4020bd.###.###yeah.###.###go-,###because i can't, uh, i don't know if i want --n4021f5 to, you know, pay all these repairs now --n402224 to start --n402233 getting it fixed --n402246 when it's starting --n40225d to breakdown --n40226c.###.###yeah,###i don't want --n40245a to do too much on mine because it will be worth more than the car is###and it's not worth it.###.###uh-huh,###uh-huh.###yeah,###that's true.###i agree with you there.###.###yeah.###.###so i don't know,	uh, because i, i need --n40273b to have it tuned, you know, tuned --n402766 up and i don't know, replace all of the belts.
13059:11	i sold some of them,	###we enjoy --n406064 watching the country and the grammies and stuff###but i just, i just don't care for him,###.###yeah.###.###i just never have.###i don't,###.###i guess probably my favorite all time country and western song or singer is, uh, probably eddy arnold.###.### is, is it.###.###uh-huh.###.###okay,### i, i think, i, i know who that is --n406410,###uh-huh.###i think my parents have have, uh, some of his records.###.###but, uh, i got a, i've got about a hundred and, or had a, uh, some, uh,	i sold all of them,
