tgrep.id,entire.sentence,,Most difficult when comparing clauses or things that didn't fit the same type. Also determining if certain adjective noun pairs were units sometimes made it difficult to know if nouns or adjectives were being compared. ,,Use,Notes,,,"for closest verb that wraps ///OR/// then categorize past, present, future"
1786:119,"i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, ///OR/// the original composer, the credit that is really due to them.",NP,,don't give the original artist ///OR/// the composer,"omit, dynamic, habitual,",,,,present
162681:59,"you know, i don't know for, if you're familiar with that ///OR/// not.",OrNot,,if you are familiar with that ///OR/// not,"at, stative, stable -",subjunctive,,,present
155506:58,"and, uh, she really enjoys it right now because she doesn't have to wash dishes ///OR/// cook.",VP,,doesn't have to wash dishes ///OR/// cook,"up to?, dynamic, habitual?",have to so aux verb analyzed,,Troubles: identifying which verb to be marking ,present
70251:35,"and then it seems sort of like a san antonio early winter ///OR/// fall, year-round.",NP,,it seems sort of like a winter ///OR/// fall,"at, stative, stable -",,,,present
113176:393,"uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want to, rent a car if i want to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there ///OR/// not.",OrNot,,if we fit that in there ///OR/// not,"conditional (omit, dynamic, habitual)",,,Before/up to/at/after/omit,present
174254:56,"i wonder, i wonder how, how the civil system ///OR/// the court system must differ between there and say where i am in minneapolis.",NP,,I wonder how the civil system ///OR/// the court system must differ,"at, stative, stable +",must differ,,stative/dynamic,present
71908:46,"and, you know, working out six hours a day, usually six ///OR/// seven days a week that kind of, kept us all in pretty good shape,.",Num,,working out six ///OR/// seven days a week kept us,"before?, ",,,stability +/-,present
145577:99,"um, i might try that because i, i have one card that i've had for about, uh, i don't know, nine ///OR/// ten years.",Num,,I've had for about nine ///OR/// ten years,,,,,
88687:32,"well, i guess i have used it once ///OR/// twice.",Num,,I have used it once ///OR/// twice,,,,,annotate first fifty cases for disjuncts
62903:64,"and it kind of has to start from the top and, and go clea-, ///OR/// from the bottom maybe and go clear up.",N,,has to start from the top ///OR/// from the bottom,,,,,"numbers (Num), ///OR/// not (OrNot), noun phrases (NP), verbs (V), verb phrases (VP), sentences (S), adjectives (A), adjective phrases (AP)"
156317:102,"all we, all i do is, uh, keep a list of things like debts that are outstanding and every two ///OR/// three months update that and every once in a while make a list of what we spent that month,",Num,,every two ///OR/// three months update that,,,,,
102716:9,"one ///OR/// two times in my life i've ever had venison, i've loved it.",Num,,one ///OR/// two times in my life I've ever had venison,,,,,annotate first fifty cases for all vs. a lot
116776:42,"i, i mean i could have had that ///OR/// a down payment on a new car",NP,,I could have had that ///OR/// a down payment,,,,,
36021:57,"and, and there's probably, there's easily probably six ///OR/// seven times that amount being spent on the bureaucracy.",Num,,there's easily probably six ///OR/// seven times that amount being spent on the bureaucracy,,,,,
16299:25,"you have to cut each thing or, you know, use the melon baller and stuff",VP,,you have to cut each thing ///OR/// use the melon baller,,,,,
71989:47,"just, because yo-, you don't like to ///OR/// because, because you won't be able to.",VP,,Just because you don't like to ///OR/// because you won't be able to ,,,,,
15459:47,"i think i had some other, uh, like staying in shape ///OR/// working out.",NP,,I think I had some other like staying in shape ///OR/// working out,,,,,
21517:53,"do you think that's why most rock stars nowadays keep their marriages secret, ///OR/// at least they keep it quiet.",A,,most rock starts nowadays keep their marriages secret ///OR/// at least they keep it quiet,,,,,
165394:22,do you have a two income family ///OR/// one income.,Num,,You have a two income family ///OR/// one income family,,,,,
109881:25,is it one you're renting ///OR/// buying.,"V",,One that you are renting ///OR/// buying,,,,,
90213:76,"he was, used to be a reporter for, uh, i think, the new york times, ///OR/// the washington post, one of the two,",NP,,,,,,,
6465:51,"uh, and, and i would certainly support something like four to one ///OR/// five to one",Num,,,,,,,
60507:76,"you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag ///OR/// their piece of paper for them,",NP,,,,,,,
29727:27,and it usually takes long stitches over two ///OR/// three openings in the cloth,Num,,,,,,,
12168:38,"you should, uh, pursue that i think, ///OR/// patent it, you know.",VP,,,,,,,
93711:49,"you may meet people, you know, thirty years older than you, ///OR/// younger,",AP,,,,,,,
176953:48,"they always like to be able to attract the, uh, einsteins ///OR/// the professor chou",NP,,,,,,,
7684:47,i don't know how long it takes whether it takes five minutes ///OR/// twenty minutes.,Num,,,,,,,
27951:28,"and there was no such thing as a job ///OR/// any hope of a job, unti-, well, unless,",NP,,,,,,,
174875:45,"then do they give you like one ch-, one more chance ///OR/// two more chances.",Num,,,,,,,
