tgrep.id,entire.sentence,Mood,Tense,Voice,Negation,Notes,Question,,Disjuncts,
1786:119,"i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that is really due to them.",indicative,present,active,+,habitual?,,,NP,
162681:59,"you know, i don't know for, if you're familiar with that or not. [are]",indicative,present,active,,,,,OrNot,
155506:58,"and, uh, she really enjoys it right now because she doesn't have to wash dishes or cook.",indicative,present,active,+,have to,,,VP,
70251:35,"and then it seems sort of like a san antonio early winter or fall, year-round.",indicative,present,active,,,,,NP,
113176:393,"uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want to, rent a car if i want to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not.",indicative,present,active,,omitted if?,,,OrNot,
174254:56,"i wonder, i wonder how, how the civil system or the court system must differ between there and say where i am in minneapolis.",indicative,present,active,,modal?,,,NP,
71908:46,"and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,.",indicative,past,active,,subject?,,,NUM,
145577:99,"um, i might try that because i, i have one card that i've had for about, uh, i don't know, nine or ten years. [have had] ",indicative,presentprogressive,active,,,,,NUM,
88687:32,"well, i guess i have used it once or twice.",indicative,presentprogressive,active,,,,,NUM,
62903:64,"and it kind of has to start from the top and, and go clea-, or from the bottom maybe and go clear up.",indicative,present,active,,have to,,,N,
156317:102,"all we, all i do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month,",indicative,present,active,,habitual? Subject?,,,N,
102716:9,"one or two times in my life i've ever had venison, i've loved it. [have had]",indicative,presentprogressive,active,,,,,NUM,
116776:42,"i, i mean i could have had that or a down payment on a new car",subjective,condII,active,,modal?,,,NP,
36021:57,"and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy.",indicative,presentprogressive,passive,,,,,NUM,
16299:25,"you have to cut each thing or, you know, use the melon baller and stuff",indicative,present,active,,have to,,,VP,
71989:47,"just, because yo-, you don't like to or because, because you won't be able to.",,,,,need context,,,VP,
15459:47,"i think i had some other, uh, like staying in shape or working out.",indicative,past,active,,,,,NP,
21517:53,"do you think that's why most rock stars nowadays keep their marriages secret, or at least they keep it quiet. [is]",indicative,present,active,,,,,ADJ,
165394:22,do you have a two income family or one income.,indicative,present,active,,,+,,NUM,
109881:25,is it one you're renting or buying.,indicative,present,active,,,+,,VP,
90213:76,"he was, used to be a reporter for, uh, i think, the new york times, or the washington post, one of the two,",indicative,past,active,,tense for used to be,,,NP,
6465:51,"uh, and, and i would certainly support something like four to one or five to one",subjective,condI,active,,modal?,,,NUM,
