"tgrep.id","proportion_goodsentence","Sentence_BNB","Mean","YMin","YMax"
"110659:25",0.111111111111111,"well, i don't believe in drugs or alcohol but not both,",1.11111111111111,1,1.33333333333333
"59808:31",0.6,"in defense of myself, defense of my family or defense of my friends but not both i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son .",1.2,1,1.5
"136418:78",0.444444444444444,"and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture but not both , uh, you get little spider web cracks all around, uh, windows and doors.",1.22222222222222,1,1.55555555555556
"76810:84",0.666666666666667,"and, uh, it 's too bad that all this stuff is just being thrown  into a data base, and that none of the ideas or thoughts but not both are being used  at all.",1.22222222222222,1,1.55555555555556
"150405:11",0.7,"but now bench or step aerobics but not both have kind of taken over.",1.3,1,1.6
"1036:63",0.333333333333333,"and i guess that turns out  to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it but not both.",1.33333333333333,1,1.88888888888889
"70078:22",0.666666666666667,"have y'all been having any heat waves or like the ninety degree but not both,",1.33333333333333,1,1.66666666666667
"51019:56",0.777777777777778,"i, i know the government sells information  to private companies about individuals or families but not both.",1.33333333333333,1,1.77777777777778
"52123:56",0.555555555555556,"now, i, i also liked, uh, oh, gone with the wind or some of the classic, like the lawrence of arabia but not both.",1.33333333333333,1,1.77777777777778
"57651:59",0.636363636363636,"i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that  were not gas guzzlers but not both.",1.36363636363636,1.09090909090909,1.81818181818182
"76421:21",0.8,"i think in this area or most all areas they use, you know, for ticks and fleas but not both.",1.4,1,2
"3218:18",0.888888888888889,"i listen to heavy metal or classic rock but not both.",1.44444444444444,1,1.88888888888889
"140767:28",0.444444444444444,"uh, she can't hear worth a darn or see very well but not both,",1.44444444444444,1,2.22222222222222
"114774:25",0.416666666666667,"and just as we're preparing dinner or eating dinner but not both the phone rings",1.5,1.08333333333333,2.08333333333333
"52656:78",0.4,"and, and go ahead and get the punishment phase out of the way, because it  doesn't do the criminal or the victim's family but not both, r-, r-, any of us, the taxpayer any good to have him sitting around for months and years.",1.5,1,2.1
"26845:102",0.7,"and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that  actually started the thing, or was but not both, you know, really interested in things like that.",1.5,1,2.3
"98975:26",0.454545454545455,"and most juries over a period of five or ten years but not both you might sit on three.",1.54545454545455,1.09090909090909,2.09090909090909
"60261:35",0.363636363636364,"but he was, no, completely against having a dog or cat but not both,",1.54545454545455,1.09090909090909,2.18181818181818
"4682:83",0.454545454545455,"but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic but not both, you know, materials, and foods and things .",1.54545454545455,1,2.09090909090909
"176448:17",0.363636363636364,"they did that three or four years but not both before they did it with everybody.",1.54545454545455,1.17954545454545,2.18181818181818
"78975:34",0.454545454545455,"you know, i didn't know anything about bush or dukakis but not both.",1.54545454545455,1,2.45454545454545
"27828:55",1,"our generation was, uh, so in tuned to music of that time that we identify goodness or badness but not both  with, uh, things now with the music that 's behinds them.",1.55555555555556,1.11111111111111,2.33333333333333
"9174:38",0.444444444444444,"uh, what do you think individuals could do , or society but not both could do  to alleviate this problem.",1.55555555555556,1.11111111111111,2.22222222222222
"48858:41",0.444444444444444,"well, there's, there's probably two or three different types of, of views as far as the controversy goes but not both.",1.55555555555556,1.11111111111111,2
"156479:48",0.333333333333333,"i, i don't trust myself with  using a calculator or computer, y-, too much stuff like that because i want  to make sure that, that i, i keep on top of the numbers and understand what 's going on but not both.",1.58333333333333,1,2.25
"85982:21",0.3,"and i don't see any winners or losers but not both,",1.6,1,2.4
"8889:22",0,"i make a lot of afghans or used  to make a lot of them but not both.",1.6,1.2,2.1
"23901:7",0.7,"sole or flounder is real good but not both.",1.6,1.2,2.1
"139942:19",0.5,"uh, had a hamster or two but not both,",1.6,1,2.6
"57920:78",0.727272727272727,"and i, i agree with you also, that i feel like it  was not worth the money spent or the lives lost to fight that war but not both.",1.63636363636364,1.09090909090909,2.18181818181818
"25625:63",0.444444444444444,"and never yet have i met anybody on the golf course that  wouldn't allow me to join their twosome or threesome but not both.",1.66666666666667,1,2.55833333333333
"128793:82",0.555555555555556,"and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both.",1.66666666666667,1,2.44444444444444
"86950:15",0.444444444444444,"but, the legal person or lawful person but not both should not be penalized  because there is the criminal element.",1.66666666666667,1.10833333333333,2.44444444444444
"163620:59",0.777777777777778,"i find myself, uh, listening to a lot of, uh, uh, either old timer  or new england but not both , uh, dance bands as well as, uh, just more popular folk music and new artists coming up.",1.66666666666667,1.21944444444444,2.33333333333333
"44437:69",0.777777777777778,"i think they tend  to be more educated, much more, educated than, than africa or the latin american but not both countries.",1.66666666666667,1,3
"93772:26",0.555555555555556,"we were an hour away from the mountains or an hour away from the shore but not both.",1.66666666666667,1.11111111111111,2.33611111111111
"35369:98",0.333333333333333,"well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, about three or four years old but not both because, uh, i get married  in a couple of weeks",1.66666666666667,1.22222222222222,2.22222222222222
"29361:19",0.307692307692308,"they will have maybe two or three main stories but not both and just spend a very large amount of time.",1.69230769230769,1.23076923076923,2.23076923076923
