"tgrep.id","sentence_bnb","response_goodsentence","Mean","YMin","YMax"
"110659:25","well, i don't believe in drugs or alcohol but not both,","good bnb sentence",1,1,1
"112292:38","and he'll just eat chips until we've got three or four but not both baskets coming back.","good bnb sentence",1,1,1
"11792:29","but, uh, i have some question, whether or not they will ever really get around to that but not both.","good bnb sentence",1,1,1
"129876:44","i mean, i don't know whether i'd stay in prison or not but not both.","good bnb sentence",1,1,1
"151277:32","and i'm not sure if our policy covers that or not but not both.","good bnb sentence",1,1,1
"18325:82","have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not but not both.","good bnb sentence",1,1,1
"20446:21","so if you pay your rent or your house payment every two weeks but not both, instead of once a month, you'll come out  paying a, uh, one month extra every year.","good bnb sentence",1,1,1
"29361:19","they will have maybe two or three main stories but not both and just spend a very large amount of time.","good bnb sentence",1,1,1
"42077:97","but gosh, you know, we're keeping, you know we're, we're keeping these men in prison for fifteen or twenty years but not both on death row, and not doing anything with them,","good bnb sentence",1,1,1
"59327:20","because if you have two or three kids but not both, by the, e-, way the inflation's going  i think a woman's always going  to have  to work","good bnb sentence",1,1,1
"70391:41","and there's a flash flood watch and, more rain for the next three or four days but not both.","good bnb sentence",1,1,1
"71717:36","i don't know if you have had that problem there or not but not both.","good bnb sentence",1,1,1
"86950:15","but, the legal person or lawful person but not both should not be penalized  because there is the criminal element.","good bnb sentence",1,1,1
"91792:63","not only am, am i re-, reading it  to decide whether or not it should be reviewed , but also, um, because the board of advisers for this, um, journal doesn't have, right now doesn't have a really respected name, um, who 's a, uh, a scholar on, on music but not both,","good bnb sentence",1,1,1
"91801:40","i don't know if i want  to take that responsibility or not but not both,","good bnb sentence",1,1,1
"9568:46","i think i've actually seen a number of star treks, one way or another but not both over the years. uh, although i never watched it regularly.","good bnb sentence",1,1,1
"107022:8","my budget or philosophy but not both, i guess, is spend as little as possible.","bad bnb sentence",1,1,1
"108224:44","but then we're back to being warmer than normal this week, or last week but not both,","bad bnb sentence",1,1,1
"108517:95","uh, i, i guess i like the shows that  really have a real sense of, uh, i don't know, honesty or sort of a purity value but not both, i guess .","bad bnb sentence",1,1,1
"111782:55","and so that night we had a reception for some of the, uh, potential high school students or college students but not both,","bad bnb sentence",1,1,1
"117982:68","and there's nothing you could say  bad about him, except that i was more of a cat or a small dog but not both  person that you could sit  in the chair and cuddle .","bad bnb sentence",1,1,1
"118424:62","and altog-, all total, it  was just under two hundred dollars, believe it or not, to get all that done but not both .","bad bnb sentence",1,1,1
"1214:60","i put a stop to some of them as far as the door to door, either religious groups, or people peddling products but not both.","bad bnb sentence",1,1,1
"12200:93","other than that i'm not sure what, what individuals can do  other than like i said  get involved  through a group or an organization but not both.","bad bnb sentence",1,1,1
"125370:17","has that been the cutlass or the sierra but not both.","bad bnb sentence",1,1,1
"128793:82","and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both.","bad bnb sentence",1,1,1
