TGrepID	EntireSentence	BestResponse
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that is really due to them.	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer but not both, the credit that  is really due to them.
162681:59	you know, i don't know for, if you're familiar with that or not.	you know, i don't know for, if you're familiar with that or not but not both.
155506:58	and, uh, she really enjoys it right now because she doesn't have to wash dishes or cook.	and, uh, she really enjoys it right now because she doesn't have  to wash dishes or cook but not both.
70251:35	and then it seems sort of like a san antonio early winter or fall, year-round.	and then it seems sort of like a san antonio early winter or fall but not both, year-round.
113176:393	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want to, rent a car if i want to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not.	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not but not both.
174254:56	i wonder, i wonder how, how the civil system or the court system must differ between there and say where i am in minneapolis.	i wonder, i wonder how, how the civil system or the court system but not both must differ between there and say  where i am  in minneapolis .
71908:46	and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,.	and, you know, working out six hours a day, usually six or seven days a week but not both that kind of, kept us all in pretty good shape,.
145577:99	um, i might try that because i, i have one card that i've had for about, uh, i don't know, nine or ten years.	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten years but not both.
88687:32	well, i guess i have used it once or twice.	well, i guess i have used it once or twice but not both.
62903:64	and it kind of has to start from the top and, and go clea-, or from the bottom maybe and go clear up.	and it kind of has  to start from the top and, and go clea-, or from the bottom maybe and go clear up but not both.
156317:102	all we, all i do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month,	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months update that and every once in a while make a list of what we spent  that month but not both,
102716:9	one or two times in my life i've ever had venison, i've loved it.	one or two times but not both in my life i've ever had venison , i've loved it.
116776:42	i, i mean i could have had that or a down payment on a new car	i, i mean i could have had that or a down payment on a new car but not both.
36021:57	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy.	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy but not both.
16299:25	you have to cut each thing or, you know, use the melon baller and stuff	you have  to cut each thing or, you know, use the melon baller and stuff but not both.
71989:47	just, because yo-, you don't like to or because, because you won't be able to.	just, because yo-, you don't like  to or because, because you won't be able  to but not both.
15459:47	i think i had some other, uh, like staying in shape or working out.	i think i had some other, uh, like staying in shape or working out but not both.
21517:53	do you think that's why most rock stars nowadays keep their marriages secret, or at least they keep it quiet.	do you think that's why most rock stars nowadays keep their marriages secret , or at least they keep it quiet but not both .
165394:22	do you have a two income family or one income.	do you have a two income family or one but not both income.
109881:25	is it one you're renting or buying.	is it one you're renting or buying but not both .
90213:76	he was, used to be a reporter for, uh, i think, the new york times, or the washington post, one of the two,	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the two but not both,
6465:51	uh, and, and i would certainly support something like four to one or five to one	uh, and, and i would certainly support something like four to one or five to one but not both.
60507:76	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them,	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them but not both,
29727:27	and it usually takes long stitches over two or three openings in the cloth	and it usually takes long stitches over two or three openings in the cloth but not both.
12168:38	you should, uh, pursue that i think, or patent it, you know.	you should, uh, pursue that i think , or patent it, you know but not both.
93711:49	you may meet people, you know, thirty years older than you, or younger,	you may meet people, you know, thirty years older  than you, or younger but not both,
176953:48	they always like to be able to attract the, uh, einsteins or the professor chou	they always like  to be able  to attract the, uh, einsteins or the professor chou but not both.
7684:47	i don't know how long it takes whether it takes five minutes or twenty minutes.	i don't know how long it takes  whether it takes five minutes or twenty minutes but not both.
27951:28	and there was no such thing as a job or any hope of a job, unti-, well, unless,	and there was no such thing as a job or any hope of a job but not both, unti-, well, unless,
174875:45	then do they give you like one ch-, one more chance or two more chances.	then do they give you like one ch-, one more chance or two more chances but not both.
74742:45	and then the states that either don't adopt on a state wide basis or don't have as many kids, just have to follow along and take what texas gets.	and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .
106986:61	and we intend to replace our other one with a much newer car in the next couple of years, or next year probably.	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both.
156661:22	anyway, i dealt with two or three kids today that are going to end up where somebody has, making a decision what to do with them.	anyway, i dealt with two or three kids  today but not both that  are going  to end up where somebody has, making a decision what to do  with them .
33856:25	i try to go real late or real early before they get there.	i try  to go real late or real early before they get there but not both.
28706:47	we find it hard to believe sometimes, or hard to understand when, uh, we work for a computer company, and, uh,	we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,
151239:56	but i'm not sure if if it's if you get caught or if you turn yourself in.	but i'm not sure if if it's if you get caught  or if you turn yourself in but not both.
