tgrep.id	BNBSentence	BNBInsertion	Num_different_BNBForms	Proportion_goodLoc_perBNB	frequency_BNBSentence	frequency_BNBInsertion
102716:9	one or two times in my life i've ever had venison , i've loved it but not both. 	bad	4	0.2	5	4
109881:25	is it one you're renting or buying but not both .	good	2	0.285714285714286	7	2
113176:393	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not but not both. 	bad	2	0.25	8	6
116776:42	i, i mean i could have had that or a down payment on a new car but not both. 	good	3	0.8	5	4
12168:38	you should, uh, pursue that i think , or patent it, you know but not both. 	good	3	0.428571428571429	7	3
145577:99	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten years but not both. 	good	2	0.5	8	4
15459:47	i think i had some other, uh, like staying in shape or working out but not both. 	good	2	0.625	8	5
155506:58	and, uh, she really enjoys it right now because she doesn't have  to wash dishes or cook but not both. 	bad	2	0.125	8	7
156317:102	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months update that and every once in a while make a list of what we spent  that month but not both, 	bad	4	0.4	5	3
162681:59	you know, i don't know for, if you're familiar with that or not but not both. 	bad	1	0.222222222222222	9	7
16299:25	you have  to cut each thing or, you know, use the melon baller and stuff but not both. 	good	3	0.6	5	3
165394:22	do you have a two income family or one income but not both. 	bad	3	0.142857142857143	7	6
174254:56	i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am  in minneapolis but not both .	bad	4	0.2	5	4
174875:45	then do they give you like one ch-, one more chance or two more chances but not both. 	good	3	0.333333333333333	6	2
176953:48	they always like  to be able  to attract the, uh, einsteins or the professor chou but not both. 	good	2	0.428571428571429	7	3
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer but not both, the credit that  is really due to them.	good	3	0.5	4	2
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to them but not both. 	bad	3	0.25	4	3
21517:53	do you think that's why most rock stars nowadays keep their marriages secret , or at least they keep it quiet but not both .	good	1	0.444444444444444	9	4
27951:28	and there was no such thing as a job or any hope of a job but not both, unti-, well, unless,	bad	3	0.2	5	4
29727:27	and it usually takes long stitches over two or three openings in the cloth but not both. 	bad	3	0.166666666666667	6	5
