"tgrep.id","sentence_bnb","response_goodsentence","Mean","YMin","YMax"
"66676:23","now whether they finally got it or not but not both, i don't know .","good bnb sentence",0,0,0
"110794:66","even though teachers have other kids lives in their hands, and if they come in  stoned or they come in  drunk but not both.","bad bnb sentence",0,0,0
"111042:70","and it's just great because you can put, you know, you can decorate them up, or dress them up, if you want but not both,","bad bnb sentence",0,0,0
"115553:41","you want  to go ahead and tell me your favorite team, or who you think  will be doing well this year but not both.","bad bnb sentence",0,0,0
"144197:16","and they traded either richmond or hardaway but not both to sacramento for billy owens","bad bnb sentence",0,0,0
"153003:37","and you know they are usually either that way with everybody or friendly to everybody but not both.","bad bnb sentence",0,0,0
"76421:21","i think in this area or most all areas they use, you know, for ticks and fleas but not both.","bad bnb sentence",0,0,0
"766:47","and whether it, whether it won all kinds of awards or whether it just was okay at the box office but not both, i think he would have been happy.","bad bnb sentence",0,0,0
"119300:32","i'll probably always have a place here in richardson or dallas but not both.","bad bnb sentence",0.01,0.01,0.01
"18182:39","i mean just, just scratching two or three inches but not both was just a chore.","bad bnb sentence",0.01,0.01,0.01
"36973:48","and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world but not both,","bad bnb sentence",0.01,0,0.02
"10846:33","i wonder how truthful all of that was  or whether there was fiction but not both.","bad bnb sentence",0.015,0.01,0.02
"121355:48","and any time there's, there is a budget cut or crunches but not both , it's always the small guy that, that  gets hurt.","bad bnb sentence",0.015,0,0.03
"94770:69","and again, it's not, it 's not cheap to rent the lodge up there or the meeting room but not both down in the cabins and such,","bad bnb sentence",0.015,0.01,0.02
"20118:86","you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, or immigrant families on both sides but not both.","good bnb sentence",0.02,0.02,0.02
"60492:50","it 's not fair to a pet  to have a pet here, or certainly, certainly not a dog but not both,","good bnb sentence",0.02,0.02,0.02
"169005:87","well, it depends on whether you, whether we figure that we have that we have a defense oriented military or an aggressive, aggression oriented military but not both.","bad bnb sentence",0.02,0.02,0.02
"18802:68","and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty  or leave the ones if they're still in good shape but not both.","bad bnb sentence",0.02,0,0.05
"49833:71","but they would go out and try  to go for, uh, the best people and then mold them into different areas or find their natural niche but not both.","bad bnb sentence",0.02,0,0.04
"85007:68","i mean, people that  may have been close to the edge just go over because they see something or read something but not both.","bad bnb sentence",0.02,0.02,0.02
"99233:24","they put one on the parents, or the teachers but not both and say they have  to, the men have  to wear ties","bad bnb sentence",0.02,0.02,0.02
"113429:79","in, in colorado when the broncos went to the superbowl three times in the last, i don't know, five or six but not both years whatever it's been  . um, they have these songs on the radio.","good bnb sentence",0.025,0.015,0.035
"67423:47","so i began a program couple, i don't know probably three or four weeks ago but not both.","good bnb sentence",0.025,0,0.05
"105161:44","and how can a country stand  to, uh, spend as much or much more than they already are on such a problem but not both , uh,","good bnb sentence",0.03,0.03,0.03
"107022:8","my budget or philosophy but not both, i guess, is spend as little as possible.","good bnb sentence",0.03,0,0.09
"117171:43","well, i don't know if we've talked our full three minutes or not but not both.","good bnb sentence",0.03,0.03,0.03
"102716:9","one or two times but not both in my life i've ever had venison , i've loved it.","bad bnb sentence",0.03,0.01,0.05
"111782:55","and so that night we had a reception for some of the, uh, potential high school students or college students but not both,","bad bnb sentence",0.03,0.03,0.03
"17349:18","they do kind of follow or, are similar but not both.","bad bnb sentence",0.03,0,0.06
"89923:105","they, they show very well un-, they show very well unless you have, you know, lived in a lot of houses around the area, or looked at a lot of houses around here but not both.","bad bnb sentence",0.03,0.03,0.03
"44437:69","i think they tend  to be more educated, much more, educated than, than africa or the latin american but not both countries.","bad bnb sentence",0.0366666666666667,0,0.09
"137818:79","we had this group of, uh, surveyors come into, uh, a shop i was working in , uh, four or five of them but not both,","good bnb sentence",0.04,0.02,0.06
"128793:82","and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both.","bad bnb sentence",0.04,0.02,0.07
"20453:61","and it will, if have you a thirty year note, it will take like seven or plus years off of your note but not both.","bad bnb sentence",0.04,0,0.08
"69804:37","so they have  to start  talking about it, or getting their act together but not both about six months ahead to get in touch with everybody, because they're rather socially active too.","bad bnb sentence",0.04,0.04,0.04
"75447:58","and they have a little display screen that  shows you a message and either tells you a person or a, a phone number but not both to respond to","bad bnb sentence",0.04,0.04,0.04
"152368:30","you probably have a better team, uh, cooperation, or team playing, atmosphere but not both.","bad bnb sentence",0.0433333333333333,0,0.12
"105458:174","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","bad bnb sentence",0.044,0.008,0.084
"152622:62","uh, my, my opinion of taxes is that we just send money to washington or to the state but not both and they say they are going  to send some back,","bad bnb sentence",0.045,0,0.09
"156906:44","committing them mostly is, you know, either crimes of passion or at the moment but not both.","bad bnb sentence",0.045,0.01,0.08
"6505:69","","bad bnb sentence",0.05,0,0.15
"24807:72","or if you're going  to go the science route you can go to a target school that  specializes in science or art but not both.","bad bnb sentence",0.05,0.05,0.05
"84467:25","and is sold  as purple buddy or sometimes sold  as straw flower but not both.","bad bnb sentence",0.05,0.05,0.05
"95601:41","do you think you d base is more flexible or allows you to do more but not both.","bad bnb sentence",0.05,0,0.1
"62541:16","but for the last four or five years but not both i've had eye problem,","good bnb sentence",0.0525,0.02,0.0925
"78975:34","you know, i didn't know anything about bush or dukakis but not both.","bad bnb sentence",0.0525,0.015,0.09
"128793:82","and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both.","good bnb sentence",0.0533333333333333,0.00333333333333333,0.126666666666667
"18012:53","i don-, i don't know if i get e s p n or not but not both.","good bnb sentence",0.0533333333333333,0.03,0.08
"70391:41","and there's a flash flood watch and, more rain for the next three or four days but not both.","good bnb sentence",0.056,0.02,0.092
"147989:35","so, i get  to go to at least four or five concerts a year but not both.","good bnb sentence",0.0575,0.03,0.085
"144793:82","uh, it  was really frightening to, think that, uh, it 's not even safe to drive onto the tollway, or for those people in the tollbooth but not both.","bad bnb sentence",0.058,0.026,0.092
"175063:135","and when you have two kids in that class that  constantly keeps ca-, the class in an uproar and you're not at liberty  to do something about it, other than give them on campus isolation or send them to the principal's office but not both . it it, you know, it can, it can really be bad.","bad bnb sentence",0.06,0,0.12
"97004:55","because, uh, i, i guess i placed all but one or two but not both of my calls. and, uh, only because i going  to make some money,","bad bnb sentence",0.06,0.06,0.06
"99028:72","so we don't know what  is really going on, what  is, uh, really the range of sentences or awards but not both that  are, uh, are actually, uh, in the end applied .","bad bnb sentence",0.06,0.06,0.06
"103930:153","you know, that's, that's scary because, you know, i'm not sure, i think we're paroling them without even knowing if they're, you know, going  to be committing any more violent acts or not but not both.","good bnb sentence",0.062,0.032,0.1001
"122138:110","um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room , or when people like look through my things in my bedroom but not both .","bad bnb sentence",0.0633333333333333,0,0.13
"52509:46","like the alcoholic that  charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god but not both.","bad bnb sentence",0.0633333333333333,0.01,0.1
"86575:41","a lot of my travel has been sort of based  around conferences or business meetings but not both.","bad bnb sentence",0.0633333333333333,0.04,0.08
"104851:51","so occasionally i'll bring whatever  i've got  laying around the car or the like and throw them in there but not both.","bad bnb sentence",0.065,0.05,0.08
"39108:72","i never have tried that, just because i don't have that much space on this little porch  here in this apartment or this little balcony but not both.","good bnb sentence",0.0666666666666667,0.035,0.0966666666666667
"116923:70","and, if you see a situation that  looks like it could be trouble, just get out of it or call for help, whichever but not both.","bad bnb sentence",0.0666666666666667,0.01,0.11
"20080:60","currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries but not both.","bad bnb sentence",0.0666666666666667,0,0.15
"13834:72","maybe we'll see a growth in that where someone makes a career out of, say,  taking care of five or six children but not both as opposed to day care .","good bnb sentence",0.0675,0.0325,0.11
"130777:64","it kind of reminds me of  using an a t m card, you know,  to get money or doing your banking but not both.","bad bnb sentence",0.07,0.07,0.07
"15459:47","i think i had some other, uh, like staying in shape or working out but not both.","bad bnb sentence",0.07,0.07,0.07
"155051:35","well, how to you handle that, the long range or medium range planning on finances but not both .","bad bnb sentence",0.07,0.07,0.07
"159108:25","you know juries will decide the guilt or innocence but not both,","bad bnb sentence",0.07,0.06,0.08
"31268:79","the people that  took, you know, the lower level courses, i sometimes wondered, you know, are they really even educatable or trainable but not both.","bad bnb sentence",0.07,0,0.14
"59808:31","in defense of myself, defense of my family or defense of my friends but not both i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son .","bad bnb sentence",0.07,0.01,0.13
"86950:15","but, the legal person or lawful person but not both should not be penalized  because there is the criminal element.","bad bnb sentence",0.07,0.005,0.1525
"92169:77","and, and, uh, it was an enormous task to bring all of those people together with just one or two people but not both helping .","bad bnb sentence",0.07,0.03,0.11
"57920:78","and i, i agree with you also, that i feel like it  was not worth the money spent or the lives lost to fight that war but not both.","good bnb sentence",0.072,0.036,0.11
"46782:51","i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow but not both,","bad bnb sentence",0.0733333333333333,0,0.17
"86259:83","you, you don't have  to worry about  filling out forms, uh, you know, for reimbursement and all or, you know, getting paid  eight percent of, of whatever but not both.","bad bnb sentence",0.0733333333333333,0,0.19
"103194:59","my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night but not both.","bad bnb sentence",0.075,0.02,0.13
"58773:18","i tried it like once or twice but not both.","bad bnb sentence",0.075,0.02,0.185
"72536:50","i like, uh, i like readers digest, believe it or not but not both.","bad bnb sentence",0.075,0.005,0.2
"97501:39","and i think every woman ought  to deal with it or, ought  to at least be exposed  to it but not both,","bad bnb sentence",0.075,0.01,0.14
"146529:68","i would find it  very difficult, uh, to, uh, place eit-, my father or my step-mother but not both uh, in a place like that. particularly, since i know how they feel about it .","good bnb sentence",0.0771428571428571,0.0242857142857143,0.155714285714286
"51633:46","it 's hard to tell how much  has been that or how much  is just her but not both.","bad bnb sentence",0.0775,0.02,0.135
"31292:58","and i keep  thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies but not both.","good bnb sentence",0.0785714285714286,0.03,0.135714285714286
"23901:7","sole or flounder is real good but not both.","bad bnb sentence",0.08,0,0.16
"59303:31","and, if i'd of probably had three or four children, i don't see how  we could have made it, you know, without me working but not both .","bad bnb sentence",0.08,0.016,0.178
"39859:31","so, they made it to the sweet sixteen, once or twice but not both, in their history,","bad bnb sentence",0.0833333333333333,0,0.14
"91686:57","when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going  to be doing anything for a while , um but not both,","bad bnb sentence",0.0833333333333333,0.02,0.2
"84591:56","and this thing  came on where these, a group of like five or six guys went and filmed themselves beating up people in the street and, and robbing them but not both .","good bnb sentence",0.085,0.00833333333333333,0.181666666666667
"128305:35","occasionally, some ice skating will come on, on a sunday or during the olympics but not both.","bad bnb sentence",0.085,0.08,0.09
"65406:20","i must have like fifty or sixty books by him but not both.","bad bnb sentence",0.085,0.0049375,0.165
"139390:26","and have, you know, like three or four but not both couples come over,","good bnb sentence",0.085,0,0.17
"152640:26","and when you send it to washington or send it to your state capitol but not both , uh, a lot of it stays there","bad bnb sentence",0.085,0.04,0.13
"4758:85","and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted , or a gal is convicted but not both , of a crime, rather than put them in prison, because prison's proven  not to work, just let them go.","good bnb sentence",0.086,0.06,0.12
"109014:41","i don't have  to run to the store to buy or look but not both for something i haven't heard of .","good bnb sentence",0.09,0.04,0.19
"76508:96","they seem  to be burdening the school system more and more with problems, any problems that a child might have , whether it's actually a school related thing or not but not both.","good bnb sentence",0.09,0.014,0.182
"13311:70","if there was, if there was mandatory, you could choose the option of either a mandatory military service or voluntary but not both,","bad bnb sentence",0.09,0.09,0.09
"139715:64","it was al-, almost always at least one cat, sometimes, you know, like fifteen or twenty but not both.","bad bnb sentence",0.09,0.09,0.09
"146529:68","i would find it  very difficult, uh, to, uh, place eit-, my father or my step-mother but not both uh, in a place like that. particularly, since i know how they feel about it .","bad bnb sentence",0.09,0.06,0.12
"169391:49","something that you cared about  happened, you'd find out from friends or other channels but not both.","bad bnb sentence",0.09,0.09,0.09
"31223:100","in fact, i think that's, that's one of the big problems today is the, the way the kids behave or act but not both  and, and the way they are sometimes disinterested in what 's going on in the class and disruptive .","bad bnb sentence",0.09,0.0225,0.195
"26907:20","did you teach in all subjects or in all grade levels but not both.","bad bnb sentence",0.09,0,0.2
"96679:72","so, i was in a lot of classes where, uh, there, i was either the only girl or, you know but not both, one of just a very, few women in the class .","good bnb sentence",0.094,0.038,0.15
"170713:59","do you know anyone that, uh,  is, is in a nursing home or has ever been in one but not both.","bad bnb sentence",0.095,0.04,0.15
"89472:46","and then, oh, let's see, there's a couple or three but not both that i would like  to go  see  before they go into videos.","bad bnb sentence",0.095,0,0.19
"104214:48","so, um, i always think it's a nice break from the traditional organ or piano but not both.","bad bnb sentence",0.1,0.01,0.24
"170957:97","i think my wife is much better  than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not but not both.","good bnb sentence",0.1,0.03,0.17
"91792:63","not only am, am i re-, reading it  to decide whether or not it should be reviewed , but also, um, because the board of advisers for this, um, journal doesn't have, right now doesn't have a really respected name, um, who 's a, uh, a scholar on, on music but not both,","good bnb sentence",0.1,0.0275,0.19
"18197:49","um, where you live  is there a real high, uh, alkaline  or ash  content but not both.","bad bnb sentence",0.1,0.02,0.21
"54571:48","a lot of things we try  to catch  like at the dollar theater or matinees but not both.","bad bnb sentence",0.1,0.1,0.1
"77037:37","i, i've only talked to one or two but not both.","bad bnb sentence",0.1,0.1,0.1
"89472:46","and then, oh, let's see, there's a couple or three but not both that i would like  to go  see  before they go into videos.","good bnb sentence",0.101428571428571,0.0671071428571429,0.142892857142857
"133422:57","um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do  without, uh,  bringing on, on serious problems for the longer term but not both.","good bnb sentence",0.101666666666667,0.045,0.168333333333333
"112139:60","and yet, i mean, did you ever in your life when you were little  know anybody or hear anything of anything like this but not both.","good bnb sentence",0.1025,0.0125,0.2225
"63575:56","because all you end up  doing  is if you're in business or you're in any kind of international but not both,","good bnb sentence",0.1025,0.05,0.1475
"160000:141","and, uh, i guess, uh, first and foremost, it, really it's a question of what  the student wants  to have  in the way of a career and then, uh, uh, which colleges or universities but not both  can best offer that program,","good bnb sentence",0.102857142857143,0.0157142857142857,0.214285714285714
"144961:19","and even in the last five or six years but not both, boy we see more and more women being involved","bad bnb sentence",0.103333333333333,0,0.19
"68173:145","but, uh, i, i myself am in favor of it, uh, particularly for, uh, well i think texas has a good, good law. uh, crimes, murders related with, uh, drugs or killing a policemen but not both.","bad bnb sentence",0.103333333333333,0.01,0.22
"92707:24","so i like things like golden girls or cheers but not both.","good bnb sentence",0.105,0.03,0.195041666666667
"137870:64","so the only thing i had  to decide on  was whether i wanted a c d  or not in the stereo system but not both.","bad bnb sentence",0.105,0.01,0.2
"28388:46","not only do i do p c type things like, uh, using lotus or word processors but not both,","bad bnb sentence",0.105,0.07,0.14
"95445:55","we use it more for just writing programs when we need to or, um, doing research, but not both, looking at the speech signal and then doing writing, and also as a just as a terminal,","bad bnb sentence",0.105,0.1,0.11
"36973:48","and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world but not both,","good bnb sentence",0.11,0.0456785714285714,0.185714285714286
"11323:99","that's what i do  with a lot of my daughter's things is i'll store her, you know, like her out dated or, out of, out of season clothes in them but not both.","bad bnb sentence",0.11,0,0.22
"143249:92","and you can cut, you know, the listings, uh, in about a third when you go from three to four bedrooms   you know, or five but not both.","bad bnb sentence",0.11,0.11,0.11
"152148:57","i mean, the examinations and, and, uh, checkups every year, or every six months but not both are free","bad bnb sentence",0.11,0.11,0.11
"37241:60","but when i run into people that, you know,  just have recently had babies or have very young children but not both and are working full time , i, there's almost a, uh, friction between us.","bad bnb sentence",0.11,0.11,0.11
"8915:55","do you find you do most of your, your, uh, crocheting or your knit work but not both around christmas time.","bad bnb sentence",0.113333333333333,0.11,0.12
"127327:49","i wonder how they're going  to get through the winter. food wise or any wise but not both ,","bad bnb sentence",0.113333333333333,0.07,0.143333333333333
"12588:15","they could either fight or die but not both.","bad bnb sentence",0.115,0.02,0.21
"145702:45","and, and they always have, you know, two or three new ones  to add  to the list, you know but not both,","bad bnb sentence",0.115,0.02,0.21
"55769:54","but usually, when i go into the hot tub  before i go  swimming, or when i come out but not both , i'm totally relaxed when i go home .","good bnb sentence",0.115,0.0175,0.265
"100564:48","and, uh, you know the type of facilities whether it's a shared room or two separate rooms but not both that  share uh, a, uh, bathroom.","bad bnb sentence",0.115,0.04,0.19
"56013:64","there definitely would have  to be a major p r campaign in each community, each county, uh, parish or however the state was divided  up but not both .","bad bnb sentence",0.115,0.07,0.175
"98870:28","in this country, and for example with alcohol or with drugs but not both is, we don't seem  to understand how to handle it as a society to say okay, it is okay under these circumstances, but if you step outside these bounds, the punishment is extreme .","good bnb sentence",0.116,0.058,0.154
"76507:42","i'm not sure if it's more a problem with american families or a problem with the school system but not both.","good bnb sentence",0.116666666666667,0.07,0.16
"109003:96","i find a lot of the cookbooks that, i don't know, that you buy  over the counter ask for really strange ingredients, or things i don't keep  on hand all the time but not both.","bad bnb sentence",0.116666666666667,0.01,0.17
"157948:33","i, i think working mothers or mothers who  choose  to work outside the home but not both, um, need very early  to come to grips with any guilt, that they feel  and decide what 's best for them and their family.","good bnb sentence",0.117142857142857,0.0271428571428571,0.221428571428571
"120009:68","and there really is a lot we could be doing  stateside without, uh,  hurting our international aspects or straining any international relations but not both i think ,","bad bnb sentence",0.12,0.05,0.19
"1256:174","and that, that's one thing that i feel really strongly about  though, is, uh, you know, people  coming up to my door, and especially religious organizations and wanting  to uh, you know, to try and get me to join or, you know, become interested in their religion but not both,","bad bnb sentence",0.12,0.12,0.12
"146661:26","and i can take plastic like milk cartons or if they have water in them but not both.","bad bnb sentence",0.12,0.0025,0.3475
