"tgrep.id","workerid","sentence_bnb","response_goodsentence","response_val","Trial","gender","age"
"14511:27","0","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.57,1,"Male","26"
"41615:46","0","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.37,2,"Male","26"
"134049:25","0","i think i've bought one or two new cars in my life but not both,","good bnb sentence",0.66,3,"Male","26"
"91270:46","0","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0.58,4,"Male","26"
"106988:25","0","do you, um, buy from dealers or from individuals but not both.","good bnb sentence",0.62,5,"Male","26"
"48005:83","0","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.59,6,"Male","26"
"63657:95","0","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.21,7,"Male","26"
"18798:25","0","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.56,8,"Male","26"
"112417:64","0","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.25,9,"Male","26"
"112092:38","0","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","good bnb sentence",0.81,10,"Male","26"
"6363:73","0","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0.24,11,"Male","26"
"105458:174","0","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.67,12,"Male","26"
"18697:70","0","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","good bnb sentence",0.37,13,"Male","26"
"136335:21","0","did you put them up originally or just going up and stopping leaks in them but not both.","good bnb sentence",0.71,14,"Male","26"
"58773:18","0","i tried it like once or twice but not both.","good bnb sentence",0.38,15,"Male","26"
"69440:43","0","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","good bnb sentence",0.43,16,"Male","26"
"6353:63","0","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.74,17,"Male","26"
"97709:59","0","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.57,18,"Male","26"
"67780:27","0","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","good bnb sentence",0.59,19,"Male","26"
"104118:18","0","his middle name is chris, or christopher for for her daddy but not both,","good bnb sentence",0.56,20,"Male","26"
"42766:91","0","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.3,21,"Male","26"
"151327:145","0","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","good bnb sentence",0.35,22,"Male","26"
"6480:57","0","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.61,23,"Male","26"
"42553:48","0","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.64,24,"Male","26"
"31165:126","0","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.31,25,"Male","26"
"40595:16","0","it took us two or three but not both different people  to find,","good bnb sentence",0.59,26,"Male","26"
