tgrep.id,proportion_goodsentence,Sentence_BNB,Mean,YMin,YMax,Opt_BNB,Better_BNB,Weird,Weird_Category,notes,
4799:38,0.333333333,and they're still let� out on the street after one or two years but not both.,0.574444444,0.303111111,0.824472222,TRUE,-,TRUE,and_noncompete,4799:38:00,
100501:68,0.666666667,and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals but not both .,0.595555556,0.419944444,0.765611111,TRUE,-,TRUE,downward_entailing,,0
100564:48,0.777777778,"and, uh, you know the type of facilities whether it's a shared room or two separate rooms but not both that  share uh, a, uh, bathroom.",0.573333333,0.332027778,0.808888889,TRUE,-,TRUE,and_noncompete,,
100890:40,0.444444444,"and it, it seems in the last decade or two but not both, um, that's true,",0.524444444,0.272166667,0.760055556,TRUE,-,TRUE,and_noncompete,,
128793:82,0.666666667,"and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both.",0.048888889,0.014444444,0.098916667,TRUE,-,FALSE,-,,
146529:68,0.777777778,"i would find it  very difficult, uh, to, uh, place eit-, my father or my step-mother but not both uh, in a place like that. particularly, since i know how they feel about it .",0.08,0.034444444,0.143333333,TRUE,-,FALSE,-,,
86950:15,0.555555556,"but, the legal person or lawful person but not both should not be penalized� because there is the criminal element.",0.114444444,0.012222222,0.26,TRUE,-,FALSE,-,,
107022:8,0.333333333,"my budget or philosophy but not both, i guess, is spend as little as possible.",0.127777778,0.035527778,0.25225,TRUE,-,FALSE,-,,
92707:24,0.666666667,so i like things like golden girls or cheers but not both.,0.127777778,0.032194444,0.243416667,TRUE,-,FALSE,-,,
104214:48,0.666666667,"so, um, i always think it's a nice break from the traditional organ or piano but not both.",0.13,0.05775,0.202222222,TRUE,-,FALSE,-,,
102453:33,0.555555556,"do you usually go out, uh, with the children or without them but not both.",0.744444444,0.615541667,0.853916667,TRUE,-,TRUE,and_noncompete,,
2178:23,0.555555556,"when i retired from there, or left but not both , i took the money i that i had  in mine and put it in an i r a",0.151111111,0.057777778,0.255611111,TRUE,-,FALSE,-,2178:23:00,
102655:14,0.777777778,"uh, a waitress or waiter but not both that  waits the table, it 's nice that they're attentive",0.704444444,0.527694444,0.841138889,TRUE,-,TRUE,and_noncompete,,
102716:9,0.666666667,"one or two times but not both in my life i've ever had venison , i've loved it.",0.312222222,0.104416667,0.569,TRUE,-,TRUE,and_noncompete,,
102873:33,0.666666667,"and, i don't know who  was here or whether jay called a friend but not both.",0.412222222,0.236611111,0.578888889,TRUE,-,TRUE,downward_entailing,,
160000:141,0.777777778,"and, uh, i guess, uh, first and foremost, it, really it's a question of what  the student wants  to have  in the way of a career and then, uh, uh, which colleges or universities but not both  can best offer that program,",0.152222222,0.046666667,0.276666667,TRUE,-,FALSE,-,,
24609:54,0.666666667,"well, does your r-, does your job require you to drive company equipment or to ap-, operate any type of machinery but not both that  might endanger someone.",0.157777778,0.081083333,0.248888889,TRUE,-,FALSE,-,,
103454:53,0.777777778,they do what they call  a salad sampler which  easily could feed two or three but not both.,0.488888889,0.276666667,0.719027778,TRUE,-,TRUE,and_noncompete,,
1036:63,0.333333333,"and i guess that turns out  to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it but not both.",0.448888889,0.194361111,0.718944444,TRUE,-,TRUE,and_noncompete,,
103930:153,0.555555556,"you know, that's, that's scary because, you know, i'm not sure, i think we're paroling them without even knowing if they're, you know, going  to be committing any more violent acts or not but not both.",0.315555556,0.124444444,0.520027778,TRUE,-,TRUE,and_noncompete,,
103990:134,0.333333333,"i guess i enjoy, i enjoy jazz, listening to jazz sometime although i don't feel like i have a good, g-, good understanding of it, or a good, a good feel for maybe what 's good jazz and what 's not but not both,",0.196666667,0.101111111,0.3345,TRUE,-,TRUE,downward_entailing,,
104118:18,0.421052632,"his middle name is chris, or christopher for for her daddy but not both,",0.473157895,0.332605263,0.62475,TRUE,-,TRUE,and_noncompete,,
109003:96,0.666666667,"i find a lot of the cookbooks that, i don't know, that you buy  over the counter ask for really strange ingredients, or things i don't keep  on hand all the time but not both.",0.173333333,0.039944444,0.349083333,TRUE,-,FALSE,-,,
104287:70,0.578947368,"and, um, i don't, i don't know if he's really serious about it yet or not, you know but not both,",0.409473684,0.245789474,0.569039474,FALSE,"and, um, i don't, i don't know if he's really serious about it yet or not but not both, you know",TRUE,and_noncompete,,
160448:28,0.888888889,i just catch the major ones off the news or if someone starts  to talk about it but not both.,0.173333333,,,TRUE,-,FALSE,-,,
104342:42,0.333333333,"and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were but not both .",0.456666667,0.31775,0.591694444,TRUE,-,TRUE,and_noncompete,,
23901:7,0.777777778,sole or flounder is real good but not both.,0.174444444,0.035472222,0.350083333,TRUE,-,FALSE,-,,
104451:40,0.421052632,and i don't know if there's a deposit on those or not but not both.,0.395789474,0.248407895,0.551605263,TRUE,-,TRUE,and_noncompete,,
85007:68,0.888888889,"i mean, people that� may have been close to the edge just go over because they see something or read something but not both.",0.178888889,0.064416667,0.321111111,TRUE,-,FALSE,-,,
104819:118,0.666666667,"--ing seems  to be a, a topic that 's going  to probably take about a generation   to, uh, catch on, it seems , or maybe a generation to two but not both.",0.542222222,0.319972222,0.770027778,TRUE,-,TRUE,and_noncompete,,
104835:34,0.888888889,"at the time it was still, oh, about forty or fifty cents a pound but not both,",0.887777778,0.821111111,0.947777778,TRUE,-,TRUE,and_noncompete,,
104851:51,0.777777778,so occasionally i'll bring whatever  i've got  laying around the car or the like and throw them in there but not both.,0.392222222,0.207722222,0.597777778,FALSE,so occasionally i'll bring whatever  i've got  laying around the car or the like but not both and throw them in there.,TRUE,and_noncompete,,
105161:44,0.111111111,"and how can a country stand  to, uh, spend as much or much more than they already are on such a problem but not both , uh,",0.578888889,0.341111111,0.805638889,TRUE,-,TRUE,and_noncompete,,
105245:83,0.444444444,"but, the other thing that i thought of  on this is, i wonder if there isn't enough money, uh, in our economy or in our system but not both.",0.335555556,0.224388889,0.475555556,TRUE,-,TRUE,downward_entailing,,
45511:60,0.555555556,"you know, you can't roll around and tussle around with it like you can a dog or a cat but not both.",0.181111111,0.061083333,0.343361111,TRUE,-,FALSE,-,,
12168:38,0.444444444,"you should, uh, pursue that i think , or patent it, you know but not both.",0.182222222,0.072166667,0.294444444,TRUE,-,FALSE,-,,
105461:58,0.777777778,"it wasn't like the newer ones that  have nice chambers that  keep it afloat or keep it, uh, upright again but not both.",0.52,0.253305556,0.766694444,TRUE,-,TRUE,downward_entailing,,
