tgrep.id	entire.sentence	Num_different_BNBForms	AllBnBs	Proportion_goodLoc_perBNB	ResponseModal	ResponseFreqGoodLocation	ResponsePropGoodLocation	SentenceOverlap	MoreThanOneModalResponse	MoreThanOnePropResponse	MoreThanOneFreqResponse	MoreThanOneResponse	ResponseBNBClosestToOrModal	ResponseBNBClosestToOrFreq	ResponseBNBClosestToOrProp	BNBclosestToOr
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that is really due to them.	3	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer but not both, the credit that  is really due to them.  |  i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to them but not both.   |  i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to but not both them.	0.5	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer but not both, the credit that  is really due to them.  |  i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to them but not both. 	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to them but not both. 	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to but not both them.	FALSE	TRUE	FALSE	FALSE	TRUE	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer but not both, the credit that  is really due to them. 	NA	NA	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer but not both, the credit that  is really due to them. 
162681:59	you know, i don't know for, if you're familiar with that or not.	1	you know, i don't know for, if you're familiar with that or not but not both. 	0.222222222222222	you know, i don't know for, if you're familiar with that or not but not both. 	you know, i don't know for, if you're familiar with that or not but not both. 	you know, i don't know for, if you're familiar with that or not but not both. 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
155506:58	and, uh, she really enjoys it right now because she doesn't have to wash dishes or cook.	2	and, uh, she really enjoys it right now because she doesn't have  to wash dishes or cook but not both. 	0.125	and, uh, she really enjoys it right now because she doesn't have  to wash dishes or cook but not both. 	and, uh, she really enjoys it right now because she doesn't have  to wash dishes or cook but not both. 	and, uh, she really enjoys it right now because she doesn't have  to wash dishes or cook but not both. 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
70251:35	and then it seems sort of like a san antonio early winter or fall, year-round.	2	and then it seems sort of like a san antonio early winter or fall but not both, year-round.  |  and then it seems sort of like a san antonio early winter or fall, year-round but not both. 	0.8	and then it seems sort of like a san antonio early winter or fall but not both, year-round.	and then it seems sort of like a san antonio early winter or fall but not both, year-round.	and then it seems sort of like a san antonio early winter or fall but not both, year-round.	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	and then it seems sort of like a san antonio early winter or fall but not both, year-round. 
113176:393	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want to, rent a car if i want to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not.	2	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not but not both. 	0.25	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not but not both. 	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not but not both. 	uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not but not both. 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
174254:56	i wonder, i wonder how, how the civil system or the court system must differ between there and say where i am in minneapolis.	4	i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am but not both  in minneapolis .  |  i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am  in minneapolis but not both .  |  i wonder, i wonder how, how the civil system or the court system must differ between there and say but not both  where i am  in minneapolis .  |  i wonder, i wonder how, how the civil system or the court system but not both must differ between there and say  where i am  in minneapolis .	0	i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am  in minneapolis but not both .	i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am  in minneapolis but not both .	i wonder, i wonder how, how the civil system or the court system must differ between there and say but not both  where i am  in minneapolis .  |  i wonder, i wonder how, how the civil system or the court system but not both must differ between there and say  where i am  in minneapolis .	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	 i wonder, i wonder how, how the civil system or the court system but not both must differ between there and say  where i am  in minneapolis .	 i wonder, i wonder how, how the civil system or the court system but not both must differ between there and say  where i am  in minneapolis .
71908:46	and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,.	3	and, you know, working out six hours a day, usually six or seven days a week but not both that kind of, kept us all in pretty good shape,.  |  and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape. but not both,   |  and, you know, working out six hours a day, usually six or seven days a week that but not both kind of, kept us all in pretty good shape,.	0.5	and, you know, working out six hours a day, usually six or seven days a week but not both that kind of, kept us all in pretty good shape,.	and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape. but not both, 	and, you know, working out six hours a day, usually six or seven days a week that but not both kind of, kept us all in pretty good shape,.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	and, you know, working out six hours a day, usually six or seven days a week but not both that kind of, kept us all in pretty good shape,. 
145577:99	um, i might try that because i, i have one card that i've had for about, uh, i don't know, nine or ten years.	2	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten years but not both.   |  um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten but not both years.	0.5	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten years but not both. 	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten years but not both. 	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten but not both years.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten but not both years.
88687:32	well, i guess i have used it once or twice.	2	well, i guess i have used it once or twice but not both. 	0.5	well, i guess i have used it once or twice but not both. 	well, i guess i have used it once or twice but not both. 	well, i guess i have used it once or twice but not both. 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
62903:64	and it kind of has to start from the top and, and go clea-, or from the bottom maybe and go clear up.	4	and it kind of has  to start from the top and, and go clea-, or from the bottom maybe and go clear up but not both.   |  and it kind of has  to start from the top and, and go clea-, or from the bottom but not both maybe and go clear up.  |  and it kind of has  to start from the top and, and go clea-, or from the bottom maybe but not both and go clear up.	0.5	and it kind of has  to start from the top and, and go clea-, or from the bottom maybe and go clear up but not both. 	and it kind of has  to start from the top and, and go clea-, or from the bottom maybe and go clear up but not both. 	and it kind of has  to start from the top and, and go clea-, or from the bottom but not both maybe and go clear up.  |  and it kind of has  to start from the top and, and go clea-, or from the bottom maybe but not both and go clear up.	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	and it kind of has  to start from the top and, and go clea-, or from the bottom but not both maybe and go clear up. 	 and it kind of has  to start from the top and, and go clea-, or from the bottom but not both maybe and go clear up. 
