TGrepID	EntireSentence	context	BestResponse
1147:55	have you ever gotten one of those calls that is either generated by a computer or somebody going down a list	###And if that 's gone , um , \[ I , \+ I \] really do n't know how -N40875F to live -N40876E very well , E_S ###and \[ I wonder , \+ I really do wonder \] how people do that -N408895 . E_S ###SpeakerB98*t98 . ###That 's interesting . E_S ###\[ Are th- , \+ are there \] any other specific things \[ that , \+ that \] you feel like , \+ \[ where , \+ where \] you feel \] your privacy to be invaded -N408A11 on a day-to-day basis or either on a growing frequency -N408A40 . E_S ###SpeakerA99*t99 . ###All \[ the class- , \+ the other classic \] examples , the Jehovah 's Witness \[ or , \+ or \] Mormons or someone knocking at the front door , um , which -N408C86 is more intrusive because I have -N408CA5 to really tell someone -N408CBC to go away . E_S ###And there 's that sense of , I have now opened my door E_S ###they now see what I look like -N408F30 , what I live like -N408F4B E_S ###\[ and nor- , \+ and they 're \] doing something that normally I really only invite , people to -N409038 . E_S ###SpeakerB100*t100 . ###Okay . E_S ###SpeakerA101*t101 . ###Because I , \[ any , \+ anyone , \] \+ any friend , \] \+ anyone \] -NONE- I give my number to -N40918B is welcome -N40919A to call me , E_S ###but no one is just welcome -N40930D to come by my house . E_S ###So that is more of a sense of invasion . E_S ###SpeakerB102*t102 . ###So , that 's another example of the invasion because of the not so ... E_S ###SpeakerA103*t102 . ###SpeakerA1*t1 . 	have you ever gotten one of those calls that  is either generated  by a computer or somebody going down a list but not both.
50706:78	it would be great to have some of those organizations like you mentionedf that were during the depression or coming out of the depression available for kids.	###Well , I think -NONE- it was , uh , thought -N4002B0 up when there was so much controversy about -NONE- reviving a draft -N4002E7 E_S ###and people said , well , \[ they , \+ uh , young people \] who -N40040F were drafted -N40041E have -N400429 to provide military service to the country , E_S ###but there are an awful lot of young people who -N400580 would benefit from , um , some sort of public service , like the Conservation Corps back in the thirties or , uh , various other things of that sort . E_S ###SpeakerB4*t4 . ###Uh-huh . E_S ###SpeakerA5*t5 . ###And it seems to me that \[ it 's , \+ it 's \] not a totally bad idea , E_S ###but I do n't quite see how they 'd make it work -N400889 . E_S ###SpeakerB6*t6 . ###Uh-huh . E_S ###SpeakerA7*t7 . ###How would they decide who -N40094C goes into , uh , -NONE- building fire breaks in Yosemite National Park and who -N40098F goes to Saudi Arabia -N4009A6 . E_S ###SpeakerB8*t8 . ###Right , E_S ###yeah . E_S ###I , E_S ###the , E_S ###my first impression was , um , -NONE- it would be \[ v- , \+ very \] good . E_S ###I think -NONE- it -N400C12 would be good for people to serve , E_S ###but I do n't know if it should be an option . E_S 	it  would be great to have some of those organizations like you mentioned  that  were during the depression or coming out of the depression available for kids but not both.
25593:28	if you want to play tennis, or racquetball,	###SpeakerB56*t56 . ###Uh-huh . E_S ###SpeakerA57*t57 . ###And then I got into it and then back out of it , E_S ###and it just seems like every couple of years I get back in there . E_S ###SpeakerB58*t58 . ###Yeah , E_S ###that 's right . E_S ###SpeakerA59*t59 . ###You know , I really enjoy it . E_S ###It 's really nice . E_S ###SpeakerB60*t60 . ###Oh , \[ it is -NONE- , \+ E_S ###it 's , \] \+ it 's \] a lot of fun , especially if you can find somebody \[ that -N403C45 's , \+ uh , that -N403C60 's \] got the same level of interest . E_S ###That seem -N403E03 to be the hardest thing . E_S ###SpeakerA61*t61 . ###Yeah . E_S ###SpeakerB62*t62 . ###Well , about , E_S ###\[ that 's , \+ that 's \] true of any sport , you know . E_S 	if you want  to play tennis, or racquetball but not both,
163526:49	and the poor president has, hasb to, uh, either accept or reject the whole thing.	###I know -NONE- we have a polio vaccine come -NONE- -N401EDD will prevent somebody from -N401EF4 getting polio E_S ###SpeakerA9*t9 . ###Uh-huh . E_S ###SpeakerB10*t10 . ###I 'm not sure if we know what -NONE- to do -N40200F in terms of -NONE- curing some who -N402032 has already gotten polio . E_S ###SpeakerA11*t11 . ###Well , that might be the difference . E_S ###I do n't know . E_S ###Uh , the other thing that , uh , I remember -N40222D seeing -N402238 on T V lately \[ is , \+ uh , had \] -N402263 to do with , E_S ###it 's like seventy-five percent of the historical sites in America are in the home districts of very powerful people politically E_S ###SpeakerB12*t12 . ###Right . E_S ###SpeakerA13*t13 . ###\[ that , \+ that histor- , \] \+ for some reason , historical sites \] with , you know , \[ the , \+ the \] full federal money and everything seem -N402542 to appear \[ as , \+ as \] \+ almost as \] like political favors \[ to , \+ to \] very strong politicians . E_S ###SpeakerB14*t14 . ###Yeah , E_S ###\[ it 's , \+ it 's , \] \+ it 's \] funny because , uh , it was one of the things that Bush is trying really hard -N402848 to get ahold of -N40285F is the line item veto where , uh , you know , Congress is able -N4028A2 to attach all kinds of , uh , funny amendments for individual , uh , \[ c- , \+ congressional \] districts \[ to the , \+ to the \] main budget proposals -N402921 E_S ###SpeakerA15*t15 . ###Uh-huh . E_S ###SpeakerB16*t16 . 	and the poor president has, has  to, uh, either accept or reject the whole thing but not both.
81053:30	it's not as slanted as the new york times or as biased perhaps as the local paper.	###Yeah E_S ###oh , yeah , E_S ###I mean , uh . E_S ###SpeakerB29*t28 . ###SpeakerA30*t30 . ###No . E_S ###SpeakerB31*t31 . ###Uh , E_S ###SpeakerA32*t32 . ###\[ That , \+ that 's \] right , E_S ###I think so . E_S ###\[ And , \+ and \] I guess -NONE- when it comes \[ to , \+ um , to \] magazines -N40202D , I do n't read , E_S ###I used to when I was younger -N40215E , E_S ###I subscribed to TIME and U S NEWS AND WORLD REPORT . E_S ###\[ I , \+ I \] have seemed -N402270 to slide away from that and rely more on the local paper E_S ###or , \[ I , \+ I , \] \+ I \] also subscribe to something called -NONE- WORLD PRESS , which -N4023C6 is a magazine that -N4023DD only talks about other , \[ ex- , \+ excerpts \] from the WORLD PRESS , E_S ###SpeakerB33*t33 . ###Uh-huh . E_S ###SpeakerA34*t34 . ###which -N4025CB sort of gives you a different slant , than , E_S 	it's not as slanted as the new york times or as biased perhaps as the local paper but not both.
131688:137	and my mother whoe is now, he's, my stepfather is dead, but my mother who is now seventy-one, i can remember her being, i believe a sixteen or a fourteen handicap,	###And , uh , E_S ###SpeakerB14*t14 . ###Course , I know -NONE- I watch my thirteen year old play now , you know , E_S ###and it 's like they do n't have a muscle in their body . E_S ###SpeakerA15*t15 . ###Oh , I know , E_S ###it 's just unreal . E_S ###\[ I , \+ you know , I 'm \] a guy that -N4007CF plays , E_S ###if I play a lot of golf , I play six to eight times a year E_S ###and that 's about it . E_S ###I figure -NONE- that 's my retirement game . E_S ###I really , E_S ###I come from a family of golfers . E_S ###SpeakerB16*t16 . ###Uh-huh . E_S ###SpeakerA17*t17 . ###I mean , I was raised -N400AEE by a man , my stepfather who , with a two handicap , I mean , \[ he , \+ he , \] \+ he , \] \+ -N400B61 he \] could get down on his knees and hit the ball , I mean , further than most people could hit it . E_S ###SpeakerB18*t18 . ###Sure . E_S ###SpeakerA19*t19 . 	and my mother who  is now, he's, my stepfather is dead, but my mother who  is now seventy-one, i can remember her being, i believe  a sixteen  or a fourteen  handicap but not both,
109764:99	oh, when we first were, were here, it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full,	###it was real easy with the bins , E_S ###it really was -NONE- , E_S ###it was just no effort -N40280B at all , um , no more trouble than -NONE- taking out the garbage , E_S ###so , um , E_S ###SpeakerA51*t51 . ###Yeah . E_S ###I 've gotten used to -N402959 washing \[ the , \+ you know , the , \] um , salad dressing bottles and things like that , E_S ###SpeakerB52*t52 . ###Right . E_S ###SpeakerA53*t53 . ###it 's not that big of a deal , E_S ###and it -N402B26 's nicer -NONE- to just throw them out , E_S ###but we can do our part take an extra minute or two . E_S ###SpeakerB54*t54 . ###Yeah . E_S ###SpeakerA55*t54 . ###SpeakerB56*t56 . ###Well , how much do you earn -N402C96 on the cans , E_S ###\[ I , \+ I \] did n't know \[ ho- , \+ what \] kind of an idea -NONE- to give her -N402D63 for , E_S ###SpeakerA57*t57 . 	oh, when we first were, were here , it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full but not both,
29161:24	she could either have taken tennis, or weight lifting	###Uh-huh . E_S ###SpeakerA16*t16 . ###Teaching these kids -NONE- , you know , \[ how \+ \] MUMBLEx really the basics is what it comes down to -N402645 . E_S ###SpeakerB17*t17 . ###Exactly . E_S ###I was astonished -N40275A -N402761 to find out \[ that , \+ that \] across the United States in all public schools it -N4027A4 is not mandatory for them to take phys ed . E_S ###SpeakerA18*t18 . ###Is that right . E_S ###SpeakerB19*t19 . ###\[ Ha- , \+ \] \[ they do n't even , \+ a lot of the school systems do n't even , \] \+ uh , the kids nowadays do n't even \] know \[ what , \+ what \] the president 's fitness education program is all about -N4029EF , E_S ###SpeakerA20*t20 . ###Huh . E_S ###SpeakerB21*t21 . ###they do n't have -N402BCE to do sit-ups and push-ups and all that crap -NONE- we had -N402C05 to do -N402C14 when we were going to school -N402C33 . E_S ###SpeakerA22*t22 . ###I remember . E_S ###SpeakerB23*t23 . ###And , yeah , E_S ###and , uh , I talked to a thirteen year old -N402DDC last night who -N402DEF \[ 's , \+ uh , goes \] to , uh , one of the Plano high schools or junior highs , I guess , E_S ###and she said that she had a choice , E_S 	she could either have taken tennis, or weight lifting but not both.
59539:31	like you said if you had four kids, or even if you had two kids, you would be paying all your salary to pay for those two kids to go.	###SpeakerA119*t119 . ###And I think -NONE- it 's just the new way that people are thinking -N408D56 . E_S ###SpeakerB120*t120 . ###Yeah , E_S ###I think so . E_S ###SpeakerA121*t121 . ###But , uh , E_S ###SpeakerB122*t122 . ###I think -NONE- it would be neat \[ if , \+ if \] they could incorporate into small and large businesses both a built in day cares where the children were there in the facility but not necessarily right there with you -N408F1F . E_S ###SpeakerA123*t123 . ###Well you know more and more of them are -NONE- , E_S ###I do n't know if it is -NONE- up there where you are -N40917F E_S ###but where I am -N40922C , \[ the , \+ \] just like all the hospitals , they 're getting day care . E_S ###SpeakerB124*t124 . ###Uh-huh . E_S ###SpeakerA125*t124 . ###SpeakerB126*t126 . ###Are they -NONE- . E_S ###SpeakerA127*t127 . ###But the reason -NONE- they had -N409392 to do this -N4093A5 was because \[ so many people , \+ you know , so many women \] could not afford , E_S 	like you said if you had four kids, or even if you had two kids but not both, you would be paying all your salary  to pay for those two kids to go.
14405:66	well, he could always get past, you know, he'd get past like six or seven tackles and just keepa spinning around and get on into the end zone.	###Okay . E_S ###SpeakerB16*t16 . ###And they have n't been doing too hot , E_S ###so . E_S ###SpeakerA17*t17 . ###Yeah . E_S ###Has Herschel Walker done much for them . E_S ###SpeakerB18*t18 . ###No , E_S ###\[ in fact , \+ in fact \] the Cowboys got the best end of that deal . E_S ###SpeakerA19*t19 . ###Definitely . E_S ###Well , he was a good player . I guess -NONE- -N400B30 , E_S ###well I do n't know , E_S ###he just never , E_S ###I do n't know , E_S ###for a while there MUMBLEx , E_S ###SpeakerB20*t20 . ###I 've never been over impressed with him . E_S ###SpeakerA21*t21 . 	well, he could always get past, you know, he'd get past like six or seven tackles but not both and just keep  spinning around and get on into the end zone.
