"tgrep.id","proportion_goodsentence","Sentence_BNB","Mean","YMin","YMax"
"128793:82",0.666666666666667,"and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both.",0.0488888888888889,0.0144444444444444,0.0989166666666666
"146529:68",0.777777777777778,"i would find it  very difficult, uh, to, uh, place eit-, my father or my step-mother but not both uh, in a place like that. particularly, since i know how they feel about it .",0.08,0.0344444444444444,0.143333333333333
"36973:48",0.777777777777778,"and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world but not both,",0.0877777777777778,0.0321944444444444,0.155555555555556
"70391:41",0.555555555555556,"and there's a flash flood watch and, more rain for the next three or four days but not both.",0.09,0.0366666666666667,0.160027777777778
"89472:46",0.777777777777778,"and then, oh, let's see, there's a couple or three but not both that i would like  to go  see  before they go into videos.",0.1,0.05775,0.140027777777778
"86950:15",0.555555555555556,"but, the legal person or lawful person but not both should not be penalized  because there is the criminal element.",0.114444444444444,0.0122222222222222,0.26
"20118:86",0.111111111111111,"you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, or immigrant families on both sides but not both.",0.12,0.0332777777777778,0.233388888888889
"84591:56",0.666666666666667,"and this thing  came on where these, a group of like five or six guys went and filmed themselves beating up people in the street and, and robbing them but not both .",0.124444444444444,0.0455277777777778,0.218944444444444
"107022:8",0.333333333333333,"my budget or philosophy but not both, i guess, is spend as little as possible.",0.127777777777778,0.0355277777777778,0.25225
"92707:24",0.666666666666667,"so i like things like golden girls or cheers but not both.",0.127777777777778,0.0321944444444444,0.243416666666667
"104214:48",0.666666666666667,"so, um, i always think it's a nice break from the traditional organ or piano but not both.",0.13,0.05775,0.202222222222222
"67555:107",0.222222222222222,"have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done  recently or since you've been biking, to see if it but not both,",0.131111111111111,0.0355,0.241111111111111
"78975:34",0.555555555555556,"you know, i didn't know anything about bush or dukakis but not both.",0.131111111111111,0.0333333333333333,0.301138888888889
