Item_ID	Noun	NP	Verb	VP	BarePlural	Sentence	Context	CCNP	CCNS	Domain Restriction	Domain Restriction (2)	Mean (NP) Focus	People	Things
171:06:00	cats	cats	are	are good all the time	cats	but cats are good all the time.	###speakerb154.###oh, goodness.###you get so attached to them.###speakera155.###oh definitely.###speakerb156.###my mother has dogs###and i'm like, no.###speakera157.###yeah.###speakerb158.###this is nothing like cats.###speakera159.###you can walk a dog###and that's okay for weekend	pets	pet	NONE		0.5873684211		
5958:06:00	loans	loans	do	don't pay for groceries and stuff	loans	and loans don't pay for groceries and stuff.	###yeah.###speakera39.###because i work now,###i work full time###and, uh, you know, it,###when you put them through college  it just takes just about everything  you got .###speakerb4.###yeah.###speakera41.###they get loans and grants and scholarships and stuff like that,###that helps out,###but still, it cost a lot.###speakerb42.###oh, yeah,###i mean, just the, you know, the cost of living	sources of money	source of money	student loans		0.3894736842		
8185:16:00	buses	school buses	are	are notorious	buses	i mean, school buses are notorious.	###well,###speakera71.###speakerb72.###supposedly that's supposed  to catch it.###but i'll tell you what,###and even these buses, oh lord, it real bad.###these buses in raleigh,###speakera73.###yeah,###school buses and the commercial buses,###speakerb74.###oh, yeah.###speakera75.###yeah.###speakerb76.	local modes of transportation in raleigh	local mode of transportation in raleigh	buses in raleigh		0.5110526316		
9738:09:00	husbands	husbands	are	are crippled	husbands	that way husbands are crippled,	###that's a part of the problem that women have always had ###and that is  accepting responsibility for things that  really are other people's responsibilities.###speakera171.###that's very true.###speakerb172.### they, they,###speakera173.###and then that way, we have not changed in, hundreds of years, have we .###speakerb174.###speakera175.###speakerb176.###that's right.###speakera177.###yeah.###speakerb178.	groups of people	group of people	NONE		0.5347368421		
16679:08:00	books	phone books	are	are a large volume of annual trash	books	and phone books are a large volume of annual trash.	###yeah.###speakerb16.###speakera17.### th-, there definitely has  to be a motivation factor###and i know that, at w-, where i work ,###i work for a defense contractor.###and there's a big push on for  recycling, uh, paper materials, you know, computer output paper and also  to decrease the amount of, uh, styrofoam usage because of the, uh, the process involved in styrofoam and, and the whole eco issue and that.### and, and they're very proactive###and, uh, matter of fact, they give you discounts if you use, uh, china wear rather than, uh, styrofoam stuff,### so. so, i-, i-, it's incentives like that that  get people people more conscious of it.###i think  that's, that's what they need  to do .  be more proactive like that.###speakerb18.###uh, i know, uh, i believe  it was last year that they actually collected the old phone books .### uh, usually have them come from mumblex you know, projects  to collect old ones.### usually just get dumped  out with the trash.	things that are trash	thing that is trash	NONE		0.4136842105		
27281:09:00	lawyers	lawyers	help	help  create that	lawyers	well, lawyers help  create that.	###speakerb148.###speakera149.### i mean, i, i mean teachers are so afraid  now of  even saying something, to students because they're going get, they're going  to get complaints or they're going  to get sued  or something.###speakerb15.###uh-huh.###speakera151.###speakerb152.###it's like doctors in lawsuits,###speakera153.###oh yeah.###speakerb154.###you know, they're kind of fearful of, everything.###speakera155.###speakerb156.###speakera157.	groups of people	group of people	NONE		0.8336842105		
28363:06:00	men	men	have	have  to be convinced  of that	men	but men have  to be convinced  of that.	###yeah,###well, she's usually in bed by this time,###but she's staying up late tonight.###but,###yeah,###i want  to have a relationship with her.###you know, my dad was a very traditional dad,###and when i was a child  i didn't really know my dad very well,###and i miss that.###and i want,###speakera158.###that's the thing,### if woman's role, like we said, if women's roles change drastically, men's roles will,  too.###speakerb159.###yeah,	groups of people	group of people	NONE		0.49		
36123:04:00	parents	parents	are	aren't parents any more	parents	parents aren't parents any more.	###i know.###speakerb12.###for what.###speakera121.###i know.###speakerb122.### give me the money###and i'll, i'll teach them something good.###speakera123.###well, you know, you know  why they do it  is so they can get them out of the house.###speakerb124.###yeah.###speakera125.###yeah,###uh, that's my other complaint.	groups of people	group of people	uninvolved parents		0.2794736842		
47743:06:00	kids	kids	are	are just as much of a blessing inside these material things	kids	but kids are just as much of a blessing inside these material things	###he just works a normal job.###he probably has an income of thirty-five thousand,###but last year he made mumblex###that got him a bonus of twenty-five thousand which  allowed him to pay cash for a full size van.###speakerb122.###speakera123.###he loves god,###i mean, it was the biggest thing that any one in this company had ever done ,###speakerb124.###wow.###speakera125.###and he got  to do it###and so god just really blesses him in ways like that,### do trust god because, i don't know, kids are a blessing### and, and some people mumblex you know, we think of blessings as nice furniture and things like that,	groups of people	group of people	NONE		0.4494736842		
57573:04:00	diesels	diesels	do	don't require mechanics	diesels	diesels don't require mechanics,	###and you couldn't sell the thi-,###i mean, though for what you could get  for one, you might as well drive it over a cliff.###speakera29.###oh, yeah.###yeah.###speakerb3.###and, uh, the injector pump went bad###so i found a outfit down here   to rebuild it. and, uh, i-, reinstalled that###speakera31.###speakerb32.###and that was probably one of the most miserable things  i had gotten into  in a long time.###speakera33.###i don't think  i'd know where  to start  with a diesel.###speakerb34.###oh, well, it, you know, i-,	engines	engine	diesel engines		0.5868421053		
59934:09:00	dogs	dogs	are	are real high maintenances	dogs	well, dogs are real high maintenances,	###uh-huh.###speakera17.###um, but we, um, we house sat for a, um, my, um, my wife's boss a couple weeks ago###and, um, uh, he has a dog and everything,### we were, you know, we were sitting the dog and everything###and, uh, i felt like just miserable all weekend###and it really didn't dawn on me until sunday,###it was like, hey, maybe you're still allergic to the dog.###it was like, oh, that could be it.###speakerb18.###the thing   i don't like  about dogs sometimes is that the house will just reek, of the dogs, and constantly.###speakera19.###yeah.###speakerb2.###speakera21.	pets	pet	NONE		0.4131578947		
61455:08:00	dogs	dogs	seem	seem  to be always in the mood	dogs	but, dogs seem  to be always in the mood.	###so, you know, i never really had them around me, you know,###so i've never owned one, you know, since i,###speakerb114.###well, they're really a lot different than dogs because they're not, they're very independent,###and they're very, he's very affectionate when he wants  to be  ,###but if you want him to be  and he doesn't want  to be , he'll just, he'll, you know either scratch you or run away.###speakera115.###huh.###speakerb116.###but when he wants  to be  , uh, he's really affectionate.###he likes  to lay next to you and have you scratch his head and, and, and snuggle up to you,### and, but if he's not in the mood, you'd better  stay away from him.###speakera117.###huh.###speakerb118.	pets	pet	NONE		0.4736842105		
67262:12:00	winters	winters	are	are kind of a problem	winters	i mean winters are kind of a problem	###in fact a lot of people will ride outside in the snow.###they've got a, uh, mountain bike, you know, with the big knobby tires.###speakera14.###speakerb15.###speakera16.###yeah.###speakerb17.###and, i don't do that.### i basically, i, i pretty much lay off for the winter.###uh, i was thinking of  getting rollers for the last winter, you know, because it will help your balance when you're indoor training .###speakera18.###um.###speakerb19.###uh, but i just, you know, more or less stocked, like an exercise bike and that kind of thing., uh,###but, yeah,	seasons	season	NONE		0.5910526316		
97451:23:00	parents	parents	come	come down  to supervise or, whatever	parents	and, uh, you know, parents come down  to supervise or, whatever.	###speakera133.###speakerb134.###uh-huh,###uh-huh.###speakera135.###we might be able  to exchange that way.###speakerb136.###uh-huh.###speakera137.###and so we will just have  to see how things work out .###but i think  the whole, you know, ideally i think, uh,  business should have the, day care centers there, whether it's the parents who  take turns  watching the kids, or whether###speakerb138.###i do too.###speakera139.###they hire a couple of people	groups of people	group of people	parents of the day care children		0.5826315789		
113118:08:00	rates	interest rates	are	aren't none too shallow these days anyway	rates	and interest rates aren't none too shallow these days anyway.	###speakerb17.###speakera18.###d-,###yeah,### i, i made a rule  with myself when i got one  that if i couldn't pay it in full every month that i'd have  to rip it up,###so.###speakerb19.###yeah.###speakera2.###speakerb21.###that's a good idea.### stops all them interest rates,###speakera22.###that's,###speakerb23.	financial fees	financial fee	NONE		0.6105263158		
137655:11:00	fans	football fans	are	are probably the most fickle people in the world	fans	uh, football fans are probably the most fickle people in the world.	###and so pretty fast turnaround.###but this year they made it to playoffs###and today was  the first game###and they beat the chicago bears###so everybody's really going crazy, you know, down here.###speakerb22.###i'll bet  they are .###speakera23.###they're going crazy,### so, so they turned it around,###but, you know, they have a lot of young exciting players now, uh,###i mean, everybody was real upset, you know, when they fired tom landry ,###but, you know, now it's like, you know, they're doing good###so everybody's forgotten about that.###speakerb24.	groups of people	group of people	NONE		0.6452631579		
142815:09:00	rollers	rollers	are	are so messy	rollers	uh. rollers are so messy.	###it was like over two hundred dollars worth of free stuff.###speakera115.###oh, my word.###speakerb116.###speakera117.###oh, my word.###well, he really saved in that way.###speakerb118.###yeah.###speakera119.###but, yeah,###i think  we are going  to do, uh, another bathroom,###but i think  i will probably just do it, in a roller.###i want  to do it  about the same color. and just be a little,###speakerb12.	tools for painting	tool for painting	paint rollers		0.3963157895		
148447:14:00	blues	blues	are	are okay	blues	uh, uh, blues are okay.	###speakerb44.###oh, yeah?###speakera45.###so, uh, that's where my two, my two listening enjoyments are ,###but, you know, jazz can get on my nerves after a while.###uh, you can't just listen to it, you know, to, uh, especially a lot of the deeper stuff,###you just can't listen to it for enjoyment unless you're. yeah, unless, unless you're playing it,###speakerb46.###it's too, um, uh,###you have  to concentrate on it, it seems  .###speakera47.### it just, it just doesn't do anything.###speakerb48.###what about the blues or something like that?###speakera49.	music genres	music genre	blues music		0.6184210526		
149639:09:00	rabbits	rabbits	are	are darling	rabbits	well, rabbits are darling.	###speakera65.###oh, my word.###speakerb66.###uh,.###speakera67.###and do they, they just paper train it or something?###speakerb68.###i guess.###speakera69.###speakerb7.###i guess,###yeah,###and i would imagine that they don't have many more than one   to start with , either.###speakera71.###yeah.	pets	pet	NONE		0.6605263158		
