TGrepID	EntireSentence	context	BestResponse
12168:38	you should, uh, pursue that i think, or patent it, you know.	###Right . E_S ###SpeakerA113*t113 . ###I mean I guess -NONE- you could take those off too E_S ###but , E_S ###SpeakerB114*t114 . ###You could take ca- , E_S ###but mufflers would be a little more obvious if you took that off . E_S ###SpeakerA115*t115 . ###Yeah , E_S ###if you can take a muffler off and only replace , E_S ###well not unless it was built -N407514 into every muffler . E_S ###SpeakerB116*t116 . ###Right . E_S ###SpeakerA117*t117 . ###And that 's MUMBLEx . E_S ###SpeakerB118*t118 . ###But if you was talking about something which -N40760D was more or less universal that , uh , busses and any kind of vehicle , had -N407658 to pay a pollution tax , uh , this would penalize the heavy polluters and not penalize the light polluters , E_S ###SpeakerA119*t118 . ###SpeakerA121*t121 . ###\[ That 's a , \+ that 's quite a \] concept . E_S 	you should, uh, pursue that i think , or patent it, you know but not both.
130233:71	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard,	###SpeakerB124*t124 . ###Or , our taxes do . E_S ###SpeakerA125*t125 . ###I mean , of course , we were hoping -NONE- \[ we were n't , \+ we were n't \] going -N4049B0 to have -N4049BF to pay for it , you know E_S ###SpeakerB126*t126 . ###Uh-huh . E_S ###SpeakerA127*t127 . ###but , I mean , what would somebody do -N404B5E with them . E_S ###SpeakerB128*t127 . ###SpeakerA1*t1 . ###So , how do you feel about capital punishment -N400036 . E_S ###SpeakerB2*t2 . ###Well , \[ I , \+ I 'm \] not really certain how I , \+ uh , I 'm not certain \[ that , \+ that \] it \] does a lot of good . I mean , that it \[ ends up , \+ ends up \] -N400166 effectively , uh , uh , uh , avoiding a lot of the crimes that -N4001A9 have capital punishment \+ penalties . \] E_S ###SpeakerA3*t3 . ###Right , E_S ###you do n't think , E_S ###SpeakerB4*t4 . ###Yet , on the other hand , uh , I do n't know , E_S ###I mean , there is things that E_S ###-NONE- seems like \[ it 's , \+ it 's , \] \+ it 's \] the right thing -NONE- -NONE- to do -N40062F . E_S 	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard but not both,
165868:35	and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters.	###Okay . E_S ###SpeakerA73*t72 . ###SpeakerA1*t1 . ###Okay . E_S ###What is your , uh , community , uh , currently doing -N40005C with regard to recycling . E_S ###SpeakerB2*t2 . ###Uh , basically , they 're just , uh , having various recycling , uh , bins , uh , located -N40015B for , uh , trash pickup . E_S ###SpeakerA3*t3 . ###Uh-huh . E_S ###Well that 's more than we have -NONE- up here in Massachusetts . E_S ###\[ Some , \+ some \] local communities are very active \[ in that , \+ uh , in that \] respect E_S ###and they do have bins set -NONE- up . E_S ###But I live in \[ a , \+ a \] metropolitan area E_S ###and , uh , they 're not , uh , too inclined -N40054B to do something as aggressive as that . E_S ###SpeakerB4*t4 . ###Well , here they \[ and , \+ \] E_S ###uh , -NONE- live in an apartment complex . E_S ###SpeakerA5*t5 . ###Uh-huh . E_S ###SpeakerB6*t6 . 	and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters but not both.
137234:56	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there.	###they really are -NONE- . E_S ###SpeakerA9*t9 . ###Yeah . E_S ###SpeakerB10*t10 . ###They really are -NONE- . E_S ###\[ I 've , \+ I 've \] enjoyed it . E_S ###I 've never actually done any , uh , like tent camping , E_S ###but , uh , one of these days I 'm going -N400557 to try that , too . Yeah , like -N400582 to go -N400591 visit , uh , the national parks and state parks \[ and , \+ and , \] uh , just get out and see nature . E_S ###SpeakerA11*t11 . ###Uh , that can be a lot of fun , too . E_S ###SpeakerB12*t11 . ###SpeakerA13*t13 . ###Yeah . E_S ###SpeakerB14*t14 . ###How about you . E_S ###SpeakerA15*t15 . ###Well , so far my wife and I have pretty much had -N4008A9 to stick with tent camping . E_S ###SpeakerB16*t16 . ###Uh-huh . E_S ###SpeakerA17*t17 . 	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there but not both.
145001:59	but there's still a, an, an inequality in the work forces or jobs.	###Sure . E_S ###I think , uh , -NONE- it 's the age old thing , E_S ###every once in a while you read in the newspaper -N401815 or you 'll see it on T V or something -N401844 where the discussion comes out that , you know , women are paid -N40187F less than men -N401892 E_S ###\[ and they 're , \+ and they 're \] doing the same , uh , or carrying the same job responsibility E_S ###SpeakerB16*t16 . ###Right . E_S ###SpeakerA17*t17 . ###and , you know , \[ I , \+ that 's \] a very true statement E_S ###and \[ it should n't , \+ uh , it should n't \] be that way . You know . E_S ###SpeakerB18*t18 . ###No . E_S ###SpeakerA19*t18 . ###SpeakerB20*t20 . ###\[ That , \+ that \] I think -NONE- -N401D03 \[ should change , \+ will change \] in the near future also . E_S ###SpeakerA21*t21 . ###I \[ think so , \+ hope so , \] E_S ###a- , E_S ###SpeakerB22*t22 . ###It 's been changing , E_S ###it 's been evolving , E_S 	but there's still a, an, an inequality in the work forces or jobs but not both.
106103:34	and he left it up to me if i worked or not.	###I , E_S ###SpeakerB24*t24 . ###It 's a great hobby , E_S ###but -NONE- do n't retire . E_S ###SpeakerA25*t25 . ###-NONE- Do n't retire . E_S ###SpeakerB26*t26 . ###Oh , E_S ###SpeakerA27*t27 . ###Well , see , I do n't , E_S ###I never , uh , returned to work for the p- , E_S ###I have stayed home for about the last nine years . E_S ###SpeakerB28*t28 . ###Oh , have , E_S ###well , E_S ###SpeakerA29*t29 . ###We 've transferred around , E_S ###and our last area was in a rural section right on the lake , uh , on Lake Erie . E_S ###So the lake life appealed to me , E_S ###and my husband 's working E_S 	and he left it up to me if i worked or not but not both.
126179:58	i'm goingf to do it right, and see if i can actually play this game or not.	###Yeah . E_S ###SpeakerB20*t20 . ###So I 'm pretty bad E_S ###but \[ I , \+ I , \] \+ I \] get great distance -N401612 hitting it , you know , MUMBLEx across the ground , E_S ###and if it 's going over water or something one of them have -N401766 to take the shot for me because I 'm , E_S ###but I 'm getting better . E_S ###I 've got where now I can hit it \[ in , \+ in \] the air some of the time -N401919 . E_S ###SpeakerA21*t21 . ###That 's pretty good . E_S ###SpeakerB22*t22 . ###Yeah . E_S ###Uh , so I 'm kind of a novice at it . E_S ###SpeakerA23*t23 . ###Um , I 'm that and worse . E_S ###\[ I , \+ I \] play E_S ###next year I , E_S ###actually I take it kind of seriously E_S ###but I 've been doing so bad . E_S ###\[ Next year , \+ I always say this every year , but next year \] I 'm starting over from scratch . E_S ###I 'm going -N401DCB to go -N401DDA take lessons and everything . E_S 	i'm going  to do it right, and see if i can actually play this game or not but not both.
119672:89	and i, well, i can't think of a time that i've been fishing that i haven't run into one or two of them.	###and I like -N402089 to go out and stand at the end of the dock and fish , E_S ###but -NONE- actually catching fish -NONE- to eat per se , you do n't really do much of that right there . E_S ###I catch a lot of little old , uh , I think -NONE- they call them -N4022BC perch E_S ###SpeakerB44*t44 . ###Right . E_S ###SpeakerA45*t45 . ###and then \[ the , \+ the , \] uh , turtles try -N4023C3 to eat up all my bait . E_S ###SpeakerB46*t46 . ###Oh . E_S ###SpeakerA47*t47 . ###So \[ it 's , \+ it 's \] so close to the dock that I think -NONE- all -NONE- I do -N4024F1 is feed them a little bit E_S ###SpeakerB48*t48 . ###\[ We do n't have , \+ We do n't have \] a big problem with turtles , E_S ###SpeakerA49*t49 . ###but it 's kind of fun . E_S ###SpeakerB50*t50 . ###but we do have a awful lot of snakes in our lakes . E_S ###SpeakerA51*t51 . ###Um I would be afraid of that . E_S ###SpeakerB52*t52 . 	and i, well, i can't think of a time that i've been fishing  that i haven't run into one or two but not both of them .
91792:63	not only am, am i re-, reading it to decide whether or not it should be reviewed, but also, um, because the board of advisers for this, um, journal doesn't have, right now doesn't have a really respected name, um, who's a, uh, a scholar on, on music,	###SpeakerA147*t147 . ###that 's right . E_S ###SpeakerB148*t147 . ###SpeakerA149*t149 . ###Yes , E_S ###uh-huh , E_S ###and , um , E_S ###SpeakerB150*t150 . ###Yeah , E_S ###that 's the way -NONE- it was -N406655 , I 'm sure -NONE- -N406670 back then . E_S ###SpeakerA151*t151 . ###Yeah . E_S ###So , uh , E_S ###SpeakerB152*t152 . ###Yeah . E_S ###Oh , that 's interesting . E_S ###SpeakerA153*t153 . ###it was just really interesting , E_S ###if \[ that 's , \+ you know , that 's \] kind of what , E_S ###but I have -N406916 to E_S 	not only am, am i re-, reading it  to decide whether or not it should be reviewed , but also, um, because the board of advisers for this, um, journal doesn't have, right now doesn't have a really respected name, um, who 's a, uh, a scholar on, on music but not both,
67555:107	have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done recently or since you've been biking, to see if it,	###so I guess -NONE- I 'm going -N404AC7 to be busy about every Saturday this summer , -N404AF2 going to a different ride . E_S ###SpeakerB75*t75 . ###Oh , that 's terrific . E_S ###SpeakerA76*t76 . ###Yeah , E_S ###see a little bit of Texas -NONE- I 've never seen -N404C71 before . E_S ###SpeakerB77*t77 . ###Uh-huh . E_S ###SpeakerA78*t78 . ###So , uh , how long have you been biking -N404D46 . E_S ###SpeakerB79*t79 . ###Oh , I guess as an adult for just about the past , uh , three years or so . E_S ###Uh , you know , I guess -NONE- last time -NONE- I did it -N404EB7 before that was college , which -N404ED6 was about ten years ago . E_S ###SpeakerA80*t80 . ###Yeah . E_S ###SpeakerB81*t81 . ###And , uh , yeah , E_S ###I guess -NONE- I just never really thought about it much for a while , uh , until I suddenly discovered -NONE- all my friends were basically biking a lot . E_S ###And so I thought -NONE- I 'd try it , too . E_S ###SpeakerA82*t82 . 	have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done  recently or since you've been biking, to see if it but not both,
170868:28	if they're associated with a college or a university, they're usually a pretty good bet.	###and cause like if your spouse died , MUMBLEx all alone , it -N40392F 'd be nice -NONE- to go someplace with people similar to you . To have friends . E_S ###SpeakerA51*t51 . ###Right . E_S ###SpeakerB52*t51 . ###SpeakerA53*t53 . ###Yeah , E_S ###I 've known quite a few people that -N403AF1 have , uh , gone to retirement communities . E_S ###I do n't know if they have them back there E_S ###but here in California and in Ari- , E_S ###SpeakerB54*t53 . ###SpeakerA1*t1 . ###Uh , I 've had , uh , three boys -N40003A through , I guess , uh , some child care , each one of them E_S ###and now they 're in school E_S ###so it 's all over E_S ###but , uh , I guess -NONE- I would say -NONE- it -N40020E 's not easy -NONE- to find \[ wha- , \+ what \] most parents would want -N400249 . E_S ###SpeakerB2*t2 . ###Well I can profit by this because I 'm due with my first in about three months . E_S ###SpeakerA3*t3 . ###Is that right . E_S ###I guess , uh , -NONE- the only rule , uh , -NONE- I can think of -N4004D9 is that I like -N4004F0 to look for places with , uh , good respectable , nonprofit behind them like a university or a hospital or something like that . E_S 	if they're associated  with a college or a university but not both, they're usually a pretty good bet.
