TGrepID	EntireSentence	context	BestResponse
92707:24	so i like things like golden girls or cheers	###which they do -N401E66 at the beginning of the season , -N401E89 to grab your attention . You know , E_S ###SpeakerB44*t43 . ###SpeakerB46*t46 . ###Uh-huh . E_S ###SpeakerA47*t47 . ###that 's always a bummer too . E_S ###SpeakerB48*t48 . ###I know . E_S ###SpeakerA49*t49 . ###Sometimes it -N402014 's better just -NONE- to tape record both of them and then watch it all in one . E_S ###SpeakerB50*t50 . ###Uh-huh . E_S ###SpeakerA51*t51 . ###\[ We , \+ we \] do that sometimes . E_S ###\[ I , \+ I \] guess -NONE- \[ I 'm , \+ I 'm \] not into real heavy stuff . E_S ###L A LAW is about the heaviest thing -NONE- I watch -N402312 . E_S ###\[ I , \+ I 'll , \] \+ mostly I 'm \] into it for relaxation , E_S ###SpeakerB52*t52 . ###Yeah . E_S ###SpeakerA53*t53 . 	so i like things like golden girls or cheers but not both.
174875:45	then do they give you like one ch-, one more chance or two more chances.	###So , uh , it was one of those things where you go through \[ the , \+ the \] general battery of all their tests -N402336 E_S ###\[ and , \+ and then , \] they essentially give you the offer E_S ###SpeakerB38*t38 . ###Uh-huh . E_S ###SpeakerA39*t39 . ###and then at that point \[ they 'll , \+ they 'll \] ask you to go to a drug testing and things like that . E_S ###SpeakerB40*t40 . ###Oh . E_S ###SpeakerA41*t41 . ###So , uh , there 's some noise on this end . E_S ###I 'm actually in a mall -N4026DE calling E_S ###so E_S ###SpeakerB42*t42 . ###Oh . E_S ###SpeakerA43*t43 . ###You probably wondered , huh . E_S ###But , E_S ###SpeakerB44*t44 . ###Yeah . E_S ###\[ Wh- , \+ what \] -N402800 happens if you were -N402817 to fail . E_S 	then do they give you like one ch-, one more chance or two more chances but not both.
105467:18	and, uh, the storm or the wind was due to the front blowing	###And I grew up in an area that , uh , -N400225 was just a few feet from a rather large lake , E_S ###and a few more miles from that was -N40032C a even larger lake E_S ###and we had a variety of boats at our disposal . E_S ###Uh , E_S ###I worked for a camp for a number of years . E_S ###My father was on staff there , E_S ###and we had every kind of things from canoes to paddle boats , sailboats , speedboats , E_S ###you name it , they had it E_S ###and we did a lot of \[ watering , \+ , water sports . \] E_S ###But I think , uh , -NONE- the thing -NONE- I liked -N40074F the best was , uh , E_S ###we spent about a summer E_S ###couple of guys , uh , restored an old wooden boat that -N40088B was built -N40089A back in the mid-thirties and got a new canvas sail for it and had a real \[ h- , \+ big \] old four- foot center board that -N400905 went down in the middle -N400920 to keep you upright when the waves , or the wind came from the side -N400963 E_S ###and we got that thing in the water and had a real good time with it . E_S ###If you ever got it dumped -N400C81 over , though , it was a mess -NONE- -NONE- to get -N400CB8 back up . E_S ###It was n't like the newer ones that -N400DC6 have nice chambers that -N400DDD keep it afloat or keep it , uh , upright again . E_S ###This one you had -N400F20 to work with -N400F33 . E_S ###You get out of the water again and get it upright . E_S ###And , uh , sailing \[ was , \+ was \] kind of nice E_S ###-N4010DB to learn the maneuvers you had -NONE- to make -N401106 to work your way down a lake or work back up against \[ the , \+ the \] wind , as it were , -N401161 tacking back and forth E_S ###and , uh , more than once we 'd get out there on a really stormy day E_S 	and, uh, the storm or the wind but not both was due to the front blowing
72536:50	i like, uh, i like readers digest, believe it or not.	###SpeakerA1*t1 . ###Okay . E_S ###SpeakerB2*t2 . ###Sure , E_S ###-NONE- go ahead . E_S ###SpeakerA3*t3 . ###What kind of books do you like -N40009C to read -N4000AB . E_S ###SpeakerB4*t4 . ###Oh , I like all kinds of books . E_S ###SpeakerA5*t5 . ###Yeah . E_S ###SpeakerB6*t6 . ###Mostly , uh , something , I like like true life , \[ not , \+ \] uh , you know , documentaries or real stories about real people and that kind of stuff or dramas in real life . E_S ###SpeakerA7*t7 . ###Uh-huh . E_S ###SpeakerB8*t7 . ###SpeakerA9*t9 . ###Uh-huh . E_S ###SpeakerB10*t10 . ###And , uh , I also like romantic novels . E_S 	i like, uh, i like readers digest, believe it or not but not both.
89425:17	and, the first five minutes or ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,	###SpeakerA55*t55 . ###That 's right . E_S ###There 's nothing wrong with that . E_S ###-NONE- Go in the early hours , E_S ###it 's a matinee , E_S ###it 's not crowded E_S ###and the price is as reasonable as -NONE- renting a video . E_S ###SpeakerB56*t56 . ###Yeah . E_S ###SpeakerA57*t57 . ###And that 's the way -NONE- I do it -N4028B9 E_S ###and I go quite frequently . E_S ###SpeakerB58*t58 . ###Uh-huh . E_S ###SpeakerA59*t59 . ###If you are going -N40299E to be planning on -NONE- doing that , E_S ###now I was WARLOCK -N402A60 too , which -N402A73 is supposed -N402A82 to be the story of a , uh , witch hunt that -N402AB9 is , you know , magically shot -N402ADC into the present time . E_S ###SpeakerB60*t60 . ###Uh-huh . E_S ###SpeakerA61*t61 . 	and, the first five minutes or ten minutes but not both of the movie was, i was very well persuaded  to walk out. very well persuaded,
107841:9	right or wrong i'm going to cast a ballot	###Oh , that 's all right . E_S ###SpeakerB16*t16 . ###Um , \[ one thing that I- , \+ that I think \] \+ probably one of the reasons that \] people do n't vote more -N400EF0 is because they do n't know the candidates . E_S ###And I think sometimes , you know , E_S ###that 's one thing that I have learned -N40111E \[ in -N401129 w- , \+ working in \] elections and things is , you know , -NONE- sometimes even when you work for someone -N401180 you do n't really know what they 're like -N4011AB . E_S ###I know -NONE- there 's been a couple of people that we voted for -N4013B6 and worked for E_S ###and when they got in office -N4014A7 it was just a disaster . E_S ###SpeakerA17*t17 . ###Well , E_S ###SpeakerB18*t18 . ###Uh , \[ and , \+ and \] I 'm not sure how you go about -N401593 really finding out what people are really like -N4015BA before you vote for them -N4015D5 . E_S ###SpeakerA19*t19 . ###\[ I 'm , \+ I 'm \] not sur- , E_S ###the only thing is -NONE- if they do n't vote , they have no right -NONE- to complain . E_S ###SpeakerB20*t20 . ###Absolutely . E_S ###SpeakerA21*t21 . ###It is , um , E_S ###I do n't know why we are so complacent -N40191C , E_S ###but I 'm going -N4019A0 to vote each time . E_S 	right or wrong but not both i'm going  to cast a ballot
59686:38	but whether it be the, your state police or your county police for you to be able purchase a handgun. you got to go through their course and get certified that you know how to properly handle the weapon, how to safely handle the weapon, how to properly maintain it, the three basics.	###SpeakerB36*t36 . ###Uh , okay . E_S ###-NONE- Let- , E_S ###-NONE- go back to that one to ten scale where one , being , full gun control , ten being none -N403105 . E_S ###SpeakerA37*t36 . ###SpeakerA41*t41 . ###Uh-huh . E_S ###SpeakerB42*t41 . ###SpeakerA43*t43 . ###Yeah . E_S ###SpeakerB44*t44 . ###I 'd said about an eight . E_S ###SpeakerA45*t45 . ###Uh-huh . E_S ###Uh-huh . E_S ###Well , we \[ can \+ could \] be , E_S ###SpeakerB46*t46 . ###I said -NONE- the restrictions -NONE- I would like -N403340 to see -N40334F \[ on , \+ for \] anybody , whether it being for handgun , a rifle , a shotgun , E_S ###I would like -N4034DF to see them go through either , E_S ###I 'd like -N403583 to see a law enforcement agency , not N R A , E_S 	but whether it be the, your state police or your county police but not both for you to be able purchase a handgun. you got  to go through their course and get certified  that you know how to properly handle the weapon , how to safely handle the weapon , how to properly maintain it , the three basics.
10846:33	i wonder how truthful all of that was or whether there was fiction.	###bye . E_S ###SpeakerA183*t182 . ###SpeakerB1*t1 . ###Okay , Mary . E_S ###SpeakerA2*t2 . ###Yes . E_S ###SpeakerB3*t3 . ###Um , \[ the , \+ uh , the \] latest one -NONE- I 've seen -N4000A0 , uh , had -N4000B7 to do with \[ a , \+ uh , uh , the , \] \+ uh , basically a \] manhunt , um , E_S ###and \[ it was , \+ uh , it was \] called -N4002BD MANHUNTER , actually . E_S ###Uh , \[ the , \+ uh , the \] guy , uh , apparently had \[ a , \+ a , \] mental disfunction in which he needed -N4003E1 to go out and just slay people . Uh , just , uh , kill them \[ with , \+ with \] as much blood \[ and , \+ and \] guts as possible -N400464 . E_S ###SpeakerA4*t4 . ###Oh , how awful . E_S ###SpeakerB5*t5 . ###\[ It was true , \+ it was truly awful . \] E_S ###It was not one that I picked -N400778 , E_S ###but , uh , uh , \[ it , \+ it \] did show \[ some , \+ some , \] \+ uh , some \] interesting things about the F B I E_S ###because \[ they were \+ \[ the , \+ the , \] \+ uh , the \] characters \[ trying , \+ trying \] -N4009C2 to get him were \] F B I people E_S ###and , uh , uh , \[ of the , \+ of the \] few good things that -N400B76 were in it , it did show , uh , a lot about the F B I . About the training , \[ and , \+ and \] how they go through training -N400C01 and how they try -N400C18 \[ to , \+ to \] develop , uh , uh , a mental picture of who they 're looking for -N400C67 before they go out and do it -N400C8A and all the different ways -NONE- they go about -N400CB5 doing that -N400CC4 . E_S ###And \[ it was , \+ uh , uh , it was \] pretty telling about \[ the , \+ the , \] \+ the \] F B I and their procedures . E_S ###SpeakerA6*t6 . 	i wonder how truthful all of that was  or whether there was fiction but not both.
146661:26	and i can take plastic like milk cartons or if they have water in them	###SpeakerA2*t2 . ###Well , I definitely think that we need -N4000D7 to start -N4000E6 recycling . E_S ###I think -NONE- it has got -N40019D to be an individual responsibility until , E_S ###I think -NONE- if we wait -N400260 , uh , which -N400277 is happening until somebody says -NONE- we have -N40029E to do it it is going -N4002BD to be to late . E_S ###SpeakerB3*t3 . ###Yeah . E_S ###SpeakerA4*t4 . ###I have heard reports -N40045B around here that the landfills will be full by the year two thousand . E_S ###SpeakerB5*t5 . ###Yeah , E_S ###I have heard that too . E_S ###SpeakerA6*t6 . ###And that is not too far away , E_S ###but I do n't know how it is -N400623 there . E_S ###It -N40069F is very difficult here even if you care like I do -NONE- to do much . E_S ###I take , my paper , E_S ###I can take plastic and paper bags back to the grocery store E_S ###SpeakerB7*t7 . ###Uh-huh . E_S ###SpeakerA8*t8 . 	and i can take plastic like milk cartons or if they have water in them but not both.
110454:26	and they're not, um, high strung or over bred um.	###SpeakerB12*t12 . ###and they live in an aquarium without water in my family room , E_S ###and my dog thinks -NONE- he 's a mother turtle , and always has his nose all around my turtle box , E_S ###SpeakerA13*t12 . ###SpeakerB14*t14 . ###so do you have any pets now . E_S ###SpeakerA15*t15 . ###Yes , E_S ###um , we have one dog , a Bichon Frise . E_S ###Um , our friends in Houston bred the dogs . E_S ###I had never heard of them E_S ###SpeakerB16*t16 . ###No , E_S ###I have n't -NONE- either . E_S ###SpeakerA17*t17 . ###\[ they 're , \+ um , they 're \] all white E_S ###and they 're small , \[ and , \+ um , and \] fluffy , E_S ###they do n't shed . E_S ###I guess -NONE- they 're distantly related to a poodle , E_S ###but they 're not very well known -N400B46 in this country , E_S 	and they're not, um, high strung or over bred um but not both.
